run,We_cible,KE,We_real,eps,Re_lambda,eta,lambda,L,tau,kmax_eta,D_eta,U_b,V_frac,chi_max,Re_b,C_d,fragmente
we03,0.3,5,0.36,0.22106058184523808,18.923615773809523,2.289787916666667,19.584591313158857,24.683296830915154,21.03082292453081,7.6731529570972565,6.987546699648856,0.0377725287934541,0.9508368542548128,2.0,0.32585536892714256,nan,False
we07,0.7,11,0.70,0.5871313303571429,24.68768095238095,1.7935663988095238,17.522653580014147,28.81185530400466,16.835537657326373,6.010298690373868,8.92077372246713,0.03885434459383754,0.9555210825579625,2.1,0.33573695984583074,nan,False
we13,1.3,21,1.39,1.720457261904762,26.674759523809524,1.370490744047619,13.925997569591594,24.75739018459352,10.633589000875391,4.592558563533664,11.674650171474681,-0.21465766040779433,0.9456863070846966,2.1,-1.8484534026141688,nan,False
we16,1.6,25,1.57,2.0344836842105263,28.91255307017544,1.3145744298245612,13.898600248928464,26.76358390908116,10.591790160935986,4.405181196089421,12.17123932810355,0.1454034263200288,0.9530330237428758,3.85714,1.255327697331515,nan,False
we20,2.0,32,2.07,3.289853970189702,28.68140406504065,1.1669898509485095,12.259494755813181,23.356620207567104,8.240857125218238,3.9106205253905975,13.710487702181362,-0.1732793721278859,0.9522634373435619,2.66667,-1.4955891861116914,nan,False
