# t volume xc yc zc ub_x ub_y ub_z width depth height d_eq chi
164.533 2029.36 57.5809 43.6756 60.6852 -2.03869 -1.5491 -0.396124 16.875 14.0625 15.9375 15.708 1.2
164.644 2025.69 57.3815 43.5237 60.6549 -2.1504 -1.59367 -0.398679 16.875 13.125 15.9375 15.6985 1.28571
164.756 2022.93 57.1377 43.358 60.5988 -2.28161 -1.65258 -0.432832 17.8125 14.0625 15.9375 15.6914 1.26667
164.867 2026.6 56.8538 43.1723 60.5288 -2.41172 -1.72875 -0.476677 16.875 14.0625 15.9375 15.7009 1.2
164.978 2027.73 56.6064 42.9667 60.4857 -2.54886 -1.7767 -0.506281 16.875 14.0625 15.9375 15.7038 1.2
165.089 2023.54 56.3295 42.769 60.418 -2.70319 -1.85283 -0.523459 16.875 14.0625 15.9375 15.6929 1.2
165.2 2023.65 56.0216 42.5548 60.3537 -2.87422 -1.9334 -0.550295 16.875 14.0625 16.875 15.6932 1.2
165.311 2029.45 55.7 42.3445 60.2921 -3.04825 -2.03149 -0.58337 16.875 14.0625 16.875 15.7082 1.2
165.422 2022.21 55.3379 42.1121 60.2057 -3.24391 -2.14406 -0.6024 15.9375 14.0625 16.875 15.6895 1.2
165.533 2025.24 55.0011 41.8618 60.1565 -3.43109 -2.24047 -0.595114 16.875 14.0625 15.9375 15.6973 1.2
165.644 2025.04 54.6005 41.6094 60.07 -3.62624 -2.36805 -0.585759 15.9375 15 15.9375 15.6968 1.0625
165.756 2023.45 54.1947 41.3469 59.9964 -3.83661 -2.4865 -0.576755 15.9375 14.0625 15.9375 15.6927 1.13333
165.867 2026.75 53.7618 41.0674 59.944 -4.0019 -2.61023 -0.538611 15.9375 14.0625 15.9375 15.7012 1.13333
165.978 2025.35 53.3155 40.7667 59.8604 -4.20774 -2.71333 -0.508923 15.9375 14.0625 15.9375 15.6976 1.13333
166.089 2022.27 52.8494 40.4637 59.8155 -4.38842 -2.82001 -0.450892 15.9375 14.0625 15.9375 15.6897 1.13333
166.2 2027.8 52.3463 40.1429 59.7499 -4.57452 -2.92758 -0.407895 15.9375 14.0625 15.9375 15.7039 1.13333
166.311 2028.82 51.84 39.8106 59.7051 -4.75742 -3.01976 -0.335501 15.9375 14.0625 15.9375 15.7066 1.13333
166.422 2022.28 51.2981 39.4686 59.6642 -4.9302 -3.11072 -0.25634 15.9375 15 15.9375 15.6897 1.0625
166.533 2033.62 50.7742 39.1174 59.6227 -5.10732 -3.18364 -0.20305 15.9375 14.0625 15.9375 15.719 1.13333
166.644 2027.5 50.1885 38.7595 59.6138 -5.27941 -3.26512 -0.121242 15 14.0625 15.9375 15.7032 1.13333
166.756 2024.25 49.5899 38.4038 59.5756 -5.46694 -3.35222 -0.0267767 15.9375 14.0625 15.9375 15.6948 1.13333
166.867 2032.18 48.9988 38.0303 59.5881 -5.61866 -3.42665 0.0644516 15.9375 14.0625 15.9375 15.7152 1.13333
166.978 2029.46 48.3693 37.65 59.5932 -5.79604 -3.48481 0.17127 15 14.0625 15.9375 15.7082 1.13333
167.089 2026.65 47.722 37.2577 59.6054 -5.95182 -3.55758 0.280301 15 14.0625 15.9375 15.701 1.13333
167.2 2024.51 47.0594 36.8506 59.6286 -6.11093 -3.62147 0.395214 15.9375 14.0625 15.9375 15.6954 1.13333
167.311 2026.19 46.3746 36.4491 59.66 -6.26803 -3.68304 0.509683 15 14.0625 15.9375 15.6998 1.13333
167.422 2032.5 45.6744 36.0203 59.733 -6.39789 -3.7562 0.622988 15 14.0625 15.9375 15.7161 1.13333
167.533 2027.35 44.9565 35.6132 59.804 -6.54264 -3.81551 0.757469 15 14.0625 15.9375 15.7028 1.13333
167.644 2027.16 44.246 35.1774 59.8883 -6.66084 -3.86922 0.891498 15.9375 14.0625 15.9375 15.7023 1.13333
167.756 2028.03 43.4926 34.7752 59.9734 -6.78557 -3.91759 1.02336 15 14.0625 15.9375 15.7045 1.13333
167.867 2033.27 42.7397 34.3021 60.08 -6.8778 -3.97011 1.15708 15 14.0625 15.9375 15.718 1.13333
167.978 2029.12 41.9919 33.879 60.2154 -6.96797 -4.00663 1.29181 15 14.0625 15.9375 15.7074 1.13333
168.089 2030.54 41.2054 33.4158 60.3511 -7.04247 -4.0565 1.42303 15 14.0625 16.875 15.711 1.2
168.2 2026.54 40.4145 32.9716 60.5226 -7.10022 -4.10337 1.57039 14.0625 14.0625 15.9375 15.7007 1.13333
168.311 2027.58 39.6369 32.5078 60.6934 -7.15019 -4.15673 1.70544 15 14.0625 15.9375 15.7034 1.13333
