# i t cells coeurs_suggere(~100k/coeur)
17500 211.978 160763 2
17520 212.202 161078 2
17540 212.427 160588 2
17560 212.652 160686 2
17580 212.876 160336 2
17600 213.101 160105 2
17620 213.326 159720 2
17640 213.551 159440 2
17660 213.775 158971 2
17680 214 158810 2
17700 214.225 158467 2
17720 214.449 158803 2
17740 214.674 157956 2
17760 214.899 157186 2
17780 215.124 156311 2
17800 215.348 155009 2
17820 215.573 154449 2
17840 215.798 153546 2
17860 216.022 153042 2
17880 216.247 153252 2
17900 216.472 152377 2
17920 216.697 152167 2
17940 216.921 151719 2
17960 217.146 149794 2
17980 217.371 148646 2
18000 217.596 146826 2
18020 217.82 145601 2
18040 218.045 145622 2
18060 218.27 144845 2
18080 218.494 144894 2
18100 218.719 145405 2
18120 218.944 145433 2
18140 219.169 145818 2
18160 219.393 146406 2
18180 219.618 147120 2
18200 219.843 147617 2
18220 220.067 148296 2
18240 220.292 149255 2
18260 220.517 150634 2
18280 220.742 151691 2
18300 220.966 152944 2
18320 221.191 153658 2
18340 221.416 155590 2
18360 221.64 157039 2
18380 221.865 158005 2
18400 222.09 158810 2
18420 222.315 159601 2
18440 222.539 160966 2
18460 222.764 161876 2
18480 222.989 162177 2
18500 223.213 162058 2
18520 223.438 161981 2
18540 223.663 162737 2
18560 223.888 162646 2
18580 224.112 162716 2
18600 224.337 163003 2
18620 224.562 162891 2
18640 224.787 162009 2
18660 225.011 162317 2
18680 225.236 162765 2
18700 225.461 163164 2
18720 225.685 162653 2
18740 225.91 162212 2
18760 226.135 160966 2
18780 226.36 160931 2
18800 226.584 161036 2
18820 226.809 161337 2
18840 227.034 161946 2
18860 227.258 160749 2
18880 227.483 160952 2
18900 227.708 160763 2
18920 227.933 159727 2
18940 228.157 159097 2
18960 228.382 159531 2
18980 228.607 159195 2
19000 228.831 158586 2
19020 229.056 158145 2
19040 229.281 157585 2
19060 229.506 156913 2
19080 229.73 157746 2
19100 229.955 158600 2
19120 230.18 159419 2
19140 230.404 160700 2
19160 230.629 160672 2
19180 230.854 161918 2
19200 231.079 162163 2
19220 231.303 162737 2
19240 231.528 163073 2
19260 231.753 162674 2
19280 231.978 164137 2
19300 232.202 164963 2
19320 232.427 164480 2
19340 232.652 165271 2
19360 232.876 164718 2
19380 233.101 163535 2
19400 233.326 164207 2
19420 233.551 163199 2
19440 233.775 164053 2
19460 234 163983 2
19480 234.225 164767 2
19500 234.449 165593 2
19520 234.674 165061 2
19540 234.899 165495 2
19560 235.124 164970 2
19580 235.348 164305 2
19600 235.573 163647 2
19620 235.798 163703 2
19640 236.022 162443 2
19660 236.247 162065 2
19680 236.472 161477 2
19700 236.697 159566 2
19720 236.921 159454 2
19740 237.146 158768 2
19760 237.371 157781 2
19780 237.596 157543 2
19800 237.82 156878 2
19820 238.045 155821 2
19840 238.27 156822 2
19860 238.494 157060 2
19880 238.719 157564 2
19900 238.944 158509 2
19920 239.169 159062 2
19940 239.393 160098 2
19960 239.618 160917 2
19980 239.843 161855 2
20000 240.067 162667 2
20020 240.292 163724 2
20040 240.517 164214 2
20060 240.742 164935 2
20080 240.966 165663 2
20100 241.191 166216 2
20120 241.416 166909 2
20140 241.64 167504 2
20160 241.865 168526 2
20180 242.09 169821 2
20200 242.315 170094 2
20220 242.539 171522 2
20240 242.764 172593 2
20260 242.989 173020 2
20280 243.213 173790 2
20300 243.438 174413 2
20320 243.663 175701 2
20340 243.888 176618 2
20360 244.112 177143 2
20380 244.337 177290 2
20400 244.562 178480 2
20420 244.787 179082 2
20440 245.011 179075 2
20460 245.236 181350 2
20480 245.461 181189 2
20500 245.685 181574 2
20520 245.91 182708 2
20540 246.135 183352 2
20560 246.36 183709 2
20580 246.584 183555 2
20600 246.809 184129 2
20620 247.034 184577 2
20640 247.258 184878 2
20660 247.483 185571 2
20680 247.708 186250 2
20700 247.933 186026 2
20720 248.157 186768 2
20740 248.382 186824 2
20760 248.607 186467 2
20780 248.831 185494 2
20800 249.056 185508 2
20820 249.281 185977 2
20840 249.506 185557 2
20860 249.73 184976 2
20880 249.955 183863 2
20900 250.18 182862 2
20920 250.404 182267 2
20940 250.629 181665 2
20960 250.854 181735 2
20980 251.079 180342 2
21000 251.303 179677 2
21020 251.528 179474 2
21040 251.753 179628 2
21060 251.978 179278 2
21080 252.202 179243 2
21100 252.427 179068 2
21120 252.652 179376 2
21140 252.876 179495 2
21160 253.101 179929 2
21180 253.326 180132 2
21200 253.551 180020 2
21220 253.775 180545 2
21240 254 179922 2
21260 254.225 180349 2
21280 254.449 179719 2
21300 254.674 179754 2
21320 254.899 179215 2
21340 255.124 179418 2
21360 255.348 179544 2
21380 255.573 179901 2
21400 255.798 179341 2
21420 256.022 179068 2
21440 256.247 178466 2
21460 256.472 178109 2
21480 256.697 176968 2
21500 256.921 176821 2
21520 257.146 176674 2
21540 257.371 175211 2
21560 257.596 175064 2
21580 257.82 174840 2
21600 258.045 173167 2
21620 258.27 172894 2
21640 258.494 172502 2
21660 258.719 172180 2
21680 258.944 171207 2
21700 259.169 170983 2
21720 259.393 170633 2
21740 259.618 170444 2
21760 259.843 169954 2
21780 260.067 170108 2
21800 260.292 170388 2
21820 260.517 170871 2
21840 260.742 170857 2
21860 260.966 171480 2
21880 261.191 172341 2
21900 261.416 172915 2
21920 261.64 173083 2
21940 261.865 173601 2
21960 262.09 173986 2
21980 262.315 174581 2
22000 262.539 175470 2
22020 262.764 175687 2
22040 262.989 175624 2
22060 263.213 175505 2
22080 263.438 175666 2
22100 263.663 176093 2
22120 263.888 175526 2
22140 264.112 175512 2
22160 264.337 174777 2
22180 264.562 174427 2
22200 264.787 173545 2
22220 265.011 173258 2
22240 265.236 172880 2
22260 265.461 172075 2
22280 265.685 172131 2
22300 265.91 172124 2
22320 266.135 171522 2
22340 266.36 171487 2
22360 266.584 171312 2
22380 266.809 170675 2
22400 267.034 170633 2
22420 267.258 170038 2
22440 267.483 169436 2
22460 267.708 168610 2
22480 267.933 167679 2
22500 268.157 166874 2
22520 268.382 165474 2
22540 268.607 165383 2
22560 268.831 164620 2
22580 269.056 164634 2
22600 269.281 165124 2
22620 269.506 164529 2
22640 269.73 164613 2
22660 269.955 164711 2
22680 270.18 163990 2
22700 270.404 163836 2
22720 270.629 163437 2
22740 270.854 162604 2
22760 271.079 162093 2
22780 271.303 161701 2
22800 271.528 162457 2
22820 271.753 163507 2
22840 271.978 163290 2
22860 272.202 163948 2
22880 272.427 164809 2
22900 272.652 165600 2
22920 272.876 165838 2
22940 273.101 167056 2
22960 273.326 168141 2
22980 273.551 170010 2
23000 273.775 170416 2
23020 274 172397 2
23040 274.225 174028 2
23060 274.449 175421 2
23080 274.674 176625 2
23100 274.899 177990 2
23120 275.124 179425 2
23140 275.348 179901 2
23160 275.573 181063 2
23180 275.798 182617 2
23200 276.022 183898 2
23220 276.247 184864 2
23240 276.472 185417 2
23260 276.697 186026 2
23280 276.921 186271 2
23300 277.146 187643 2
23320 277.371 188357 2
23340 277.596 188686 2
23360 277.82 189589 2
23380 278.045 190184 2
23400 278.27 189967 2
23420 278.494 189561 2
23440 278.719 189547 2
23460 278.944 189736 2
23480 279.169 190289 2
23500 279.393 190366 2
23520 279.618 189834 2
23540 279.843 190254 2
