# t px py pz frame_uz pz_lab  (vitesses barycentriques ; invariant = px, py, pz_lab ~ 0 ; pz seul -> -frame_uz, normal)
160.001 -0.0174088 0.00201969 -0.0336355 -3.37209e-05 -0.0336692
160.003 -0.0174107 0.00201943 -0.0324699 -0.00119572 -0.0336656
160.006 -0.017411 0.00202 -0.0310608 -0.00260446 -0.0336652
160.009 -0.0174114 0.00202052 -0.0293331 -0.00433172 -0.0336648
160.014 -0.0174118 0.00202105 -0.0273315 -0.00633282 -0.0336644
160.019 -0.0174121 0.0020215 -0.025217 -0.00844689 -0.0336638
160.024 -0.0174124 0.00202191 -0.0230985 -0.0105649 -0.0336634
160.03 -0.0174126 0.00202224 -0.0210821 -0.0125808 -0.0336629
160.037 -0.0174129 0.00202249 -0.0192739 -0.0143885 -0.0336624
160.044 -0.0174131 0.0020227 -0.017746 -0.0159159 -0.0336619
160.051 -0.0174135 0.00202288 -0.016557 -0.0171044 -0.0336614
160.059 -0.0174138 0.00202313 -0.0157784 -0.0178825 -0.0336609
160.067 -0.0174141 0.00202335 -0.0154587 -0.0182016 -0.0336603
160.075 -0.0174145 0.00202358 -0.0156418 -0.018018 -0.0336597
160.084 -0.0174149 0.00202383 -0.0163572 -0.0173018 -0.033659
160.092 -0.0174153 0.00202411 -0.0176432 -0.0160149 -0.0336581
160.101 -0.0174159 0.0020244 -0.0195466 -0.0141107 -0.0336573
160.111 -0.0174164 0.00202465 -0.0220802 -0.0115761 -0.0336563
160.12 -0.017417 0.00202494 -0.0252896 -0.00836562 -0.0336552
160.13 -0.0174174 0.00202519 -0.029161 -0.00449313 -0.0336542
160.14 -0.0174179 0.00202524 -0.0337791 0.00012624 -0.0336529
160.149 -0.0174182 0.00202518 -0.0391213 0.00546972 -0.0336515
160.159 -0.0174185 0.00202487 -0.0452044 0.0115542 -0.0336502
160.17 -0.017419 0.00202451 -0.0520396 0.0183907 -0.0336489
160.18 -0.0174197 0.00202432 -0.0596378 0.02599 -0.0336478
160.19 -0.0174203 0.00202425 -0.0678983 0.0342518 -0.0336465
