# t V_complet V_tronque w_complet w_tronque xc yc zc n_regions
# recalcul a posteriori par src/diag_volume.c (sommes completes)
161.00 2123.3197 2029.3185 0.836191 0.915322 29.6037 89.4231 61.9527 1
166.00 2124.1369 2033.0272 1.573760 1.714836 38.2487 76.9134 65.2027 1
171.00 2125.0897 2032.8877 0.259916 0.537910 20.9471 90.9533 71.6354 1
176.00 2122.3521 2033.4788 1.842622 2.164187 117.6290 87.8999 70.7709 1
181.00 2120.8644 2030.7107 1.796093 2.024548 23.3384 66.7668 69.1580 1
186.00 2121.1009 2019.6840 0.379988 0.714199 105.5392 90.8985 67.5545 1
191.00 2126.2830 2026.8346 3.062017 3.354908 7.1958 98.5742 70.2697 1
196.00 2127.8318 2034.0400 -2.377769 -2.145942 39.6195 91.0189 69.2926 1
201.00 2115.9219 2019.3917 0.544017 0.861231 4.2926 74.8138 68.0806 1
206.00 2116.6307 2024.6198 2.766049 3.038350 23.9016 80.0949 69.1457 1
211.00 2117.3258 2021.8508 -0.787433 -0.445918 113.4027 91.8724 71.3338 1
216.00 2122.4369 2026.3074 1.062729 1.353137 3.3826 102.4760 72.4153 1
221.00 2122.2752 2020.4751 -1.464692 -1.208119 117.2770 106.0308 70.7185 1
226.00 2127.6819 2023.1652 1.271719 1.601518 117.3314 1.4044 70.6204 1
231.00 2131.0086 2038.6433 -2.786946 -2.592531 26.2676 2.6969 67.0951 1
236.00 2129.0138 2027.5127 0.924456 1.252382 119.4498 16.5064 65.4790 1
241.00 2123.1951 2029.7846 -1.155337 -0.885390 97.4173 6.4256 66.8877 1
246.00 2121.6936 2027.8242 -0.786959 -0.555340 92.3236 115.5861 67.4407 1
251.00 2122.7175 2022.7806 0.777265 1.033113 116.7770 104.7328 65.8765 1
256.00 2129.1471 2024.7780 1.497258 1.885798 1.9934 111.9178 72.3769 1
261.00 2126.3457 2035.2483 -0.661389 -0.391781 95.4912 104.0083 70.4025 1
266.00 2125.4264 2031.2596 2.126987 2.317298 107.4809 91.3960 67.6057 1
271.00 2127.7441 2034.1479 -2.284834 -2.051455 92.3142 109.4072 66.9484 1
276.00 2120.7504 2019.6928 -2.287339 -2.078656 89.0503 86.7114 66.7421 1
