# t volume xc yc zc ub_x ub_y ub_z width depth height d_eq chi n_regions V_tag straddle
# col 1-13 : sommes COMPLETES ponderees (1-f) sur toutes les mailles, centre en moyenne circulaire.
#            (l'ancienne version ne sommait que sur les mailles taguees f<0.5 -> volume sous-estime de ~4.5 %,
#             vitesse verticale biaisee de ~+0.35 en repere mobile. Cf. event bubble dans main.c.)
# col 14-16 : diagnostic fragmentation par tag() (V_tag = plus grosse region ; straddle = bulle a cheval sur un bord).
162.371 2125.99 91.3064 29.5071 67.3567 0.763365 -0.0300351 2.77276 15.9375 16.875 13.125 15.9534 1.28571 1 2025.08 0
162.427 2126.01 91.3497 29.5058 67.5141 0.76551 -0.0183208 2.71284 16.875 16.875 12.1875 15.9535 1.38462 1 2019.78 0
162.483 2126.08 91.3931 29.505 67.6682 0.772249 -0.0110328 2.64874 16.875 16.875 13.125 15.9537 1.28571 1 2022.15 0
162.539 2126.16 91.4366 29.5044 67.8179 0.78061 -0.00530032 2.57394 16.875 16.875 13.125 15.9539 1.28571 1 2030.85 0
162.596 2126.24 91.4803 29.504 67.9634 0.772119 -0.00118376 2.51032 16.875 16.875 13.125 15.954 1.28571 1 2032.69 0
162.652 2126.31 91.5234 29.5041 68.1052 0.761725 0.00321399 2.44087 15.9375 16.875 13.125 15.9542 1.28571 1 2025.91 0
162.708 2126.4 91.5663 29.5045 68.2431 0.763637 0.00858244 2.3767 15.9375 16.875 13.125 15.9545 1.28571 1 2021.79 0
162.764 2126.47 91.6092 29.5052 68.3781 0.760317 0.0174774 2.32035 15.9375 16.875 12.1875 15.9546 1.38462 1 2024.12 0
162.82 2126.52 91.6522 29.5065 68.5104 0.763312 0.0237934 2.26432 15.9375 16.875 12.1875 15.9548 1.38462 1 2029.1 0
162.876 2126.59 91.6952 29.5082 68.639 0.762199 0.0340754 2.20525 15.9375 16.875 13.125 15.9549 1.28571 1 2030.97 0
162.933 2126.68 91.7382 29.5105 68.7639 0.764701 0.0375976 2.13956 15.9375 16.875 13.125 15.9552 1.28571 1 2029.52 0
162.989 2126.77 91.7813 29.513 68.8852 0.757959 0.0457224 2.07964 15.9375 16.875 13.125 15.9554 1.28571 1 2033.21 0
163.045 2126.82 91.824 29.5161 69.0026 0.752715 0.0567445 2.02538 15.9375 16.875 13.125 15.9555 1.28571 1 2033.51 0
163.101 2126.98 91.8665 29.5196 69.1171 0.750553 0.0593286 1.96972 15.9375 16.875 13.125 15.9559 1.28571 1 2032.75 0
163.157 2127.19 91.9087 29.5234 69.229 0.745009 0.0662207 1.93134 15.9375 16.875 12.1875 15.9564 1.38462 1 2031.8 0
163.213 2127.34 91.9502 29.5275 69.3382 0.723438 0.0763086 1.88553 15.9375 16.875 12.1875 15.9568 1.38462 1 2033.33 0
163.27 2127.43 91.9907 29.532 69.445 0.705494 0.0832197 1.84162 15.9375 16.875 12.1875 15.957 1.38462 1 2032.98 0
163.326 2127.5 92.0304 29.5368 69.5494 0.694103 0.0919153 1.79348 15.9375 16.875 12.1875 15.9572 1.38462 1 2028.37 0
163.382 2127.6 92.0695 29.5419 69.6506 0.686082 0.0960077 1.73674 15.9375 16.875 12.1875 15.9575 1.38462 1 2027.08 0
163.438 2127.65 92.108 29.5476 69.7491 0.681745 0.101169 1.68519 16.875 16.875 13.125 15.9576 1.28571 1 2031.51 0
163.494 2127.73 92.1462 29.5534 69.8451 0.671478 0.102211 1.63649 16.875 16.875 13.125 15.9578 1.28571 1 2027.04 0
163.551 2127.78 92.1837 29.5594 69.9377 0.656347 0.108314 1.57893 16.875 16.875 13.125 15.9579 1.28571 1 2027.25 0
163.607 2127.83 92.2204 29.5656 70.0274 0.642898 0.113932 1.51943 16.875 16.875 13.125 15.958 1.28571 1 2028.27 0
163.663 2127.87 92.2563 29.5722 70.1143 0.624023 0.123061 1.47847 16.875 16.875 12.1875 15.9581 1.38462 1 2031.87 0
163.719 2127.93 92.2911 29.5795 70.1984 0.59789 0.140161 1.43947 16.875 16.875 12.1875 15.9583 1.38462 1 2036.87 0
163.775 2127.98 92.3245 29.5872 70.2806 0.57656 0.143119 1.4062 16.875 16.875 12.1875 15.9584 1.38462 1 2033.26 0
163.831 2128.05 92.3567 29.5954 70.3612 0.560884 0.146984 1.37444 16.875 16.875 12.1875 15.9586 1.38462 1 2033.07 0
163.888 2128.08 92.3882 29.6038 70.4394 0.55063 0.157023 1.33094 16.875 16.875 12.1875 15.9587 1.38462 1 2032.53 0
163.944 2128.14 92.4191 29.6123 70.5154 0.540556 0.158699 1.28743 16.875 16.875 12.1875 15.9588 1.38462 1 2032.62 0
164 2128.19 92.4492 29.6209 70.5891 0.524868 0.154724 1.24631 16.875 16.875 12.1875 15.9589 1.38462 1 2032.12 0
164.056 2128.26 92.4783 29.6296 70.6598 0.501495 0.156428 1.20433 16.875 16.875 12.1875 15.9591 1.38462 1 2028.91 0
