# t Vfull Vtag Wfull Wtag xc zc nregions
248 2140.7399 2037.4602 -0.023922 0.328269 96.8006 74.4709 1
249 2141.1594 2041.3054 0.001099 0.339046 97.2583 74.4888 1
250 2141.3838 2035.9579 0.024231 0.386974 97.6309 74.5434 1
251 2141.4486 2033.0373 0.025595 0.379030 97.9477 74.6030 1
252 2141.6457 2035.0764 0.033740 0.389738 98.2604 74.6879 1
253 2141.8884 2036.6810 0.065448 0.435855 98.5899 74.7633 1
254 2141.7662 2047.8673 0.082444 0.404692 98.9989 74.8507 1
255 2141.8816 2043.9326 0.069784 0.418755 99.5237 74.9608 1
256 2142.0138 2044.4325 0.049914 0.401625 100.1663 75.0512 1
257 2142.0187 2044.8195 0.033864 0.381548 100.9018 75.1397 1
258 2141.9109 2043.9106 -0.022626 0.317627 101.7676 75.1899 1
259 2142.0785 2043.7738 -0.062347 0.283837 102.7561 75.1680 1
260 2142.0861 2045.7616 -0.096812 0.256783 103.8368 75.1045 1
