# t px py pz frame_uz pz_lab  (vitesses barycentriques ; invariant = px, py, pz_lab ~ 0 ; pz seul -> -frame_uz, normal)
160.001 0 0 0 0 0
160.003 -1.98122e-07 1.04735e-07 -1.48525e-05 1.60309e-05 1.17844e-06
160.006 -2.94965e-07 -6.89745e-08 -0.000175772 0.000176815 1.04296e-06
160.009 -2.94284e-07 -9.24763e-08 -0.000446599 0.000447622 1.02286e-06
160.014 -3.00105e-07 -8.55193e-08 -0.000866917 0.000867914 9.97165e-07
160.019 -2.97725e-07 -7.33135e-08 -0.00152696 0.00152792 9.65486e-07
160.024 -2.85727e-07 -7.80735e-08 -0.00247029 0.00247122 9.25049e-07
160.03 -2.7633e-07 -7.50342e-08 -0.00373217 0.00373307 8.99613e-07
160.037 -2.56455e-07 -7.58564e-08 -0.0053726 0.00537355 9.46721e-07
160.044 -2.42672e-07 -7.62623e-08 -0.00746033 0.00746137 1.03722e-06
160.051 -2.10064e-07 -7.05132e-08 -0.0101664 0.0101676 1.21496e-06
160.059 -2.14369e-07 -5.63349e-08 -0.0133611 0.0133626 1.46914e-06
160.067 -2.28589e-07 -6.60711e-08 -0.0173241 0.0173258 1.73058e-06
160.075 -2.34448e-07 -7.85652e-08 -0.0219323 0.0219342 1.94929e-06
160.084 -2.41585e-07 -8.75839e-08 -0.0271545 0.0271565 2.05671e-06
160.092 -2.35444e-07 -9.1439e-08 -0.0330319 0.0330341 2.18262e-06
160.101 -2.12631e-07 -9.0968e-08 -0.039607 0.0396093 2.30771e-06
160.111 -1.89683e-07 -1.15711e-07 -0.0468546 0.0468571 2.49547e-06
160.12 -1.64652e-07 -1.42884e-07 -0.0548235 0.0548265 3.0369e-06
160.13 -1.40414e-07 -1.46022e-07 -0.0634676 0.0634712 3.61781e-06
160.14 -1.0856e-07 -1.78447e-07 -0.0729313 0.0729359 4.64653e-06
160.149 -7.97679e-08 -1.80468e-07 -0.0831425 0.0831481 5.66585e-06
160.159 -6.69263e-08 -1.95545e-07 -0.0941148 0.0941215 6.70928e-06
160.17 -4.41648e-08 -1.99415e-07 -0.105864 0.105872 7.75371e-06
160.18 -3.09174e-08 -2.1156e-07 -0.118405 0.118413 8.75258e-06
160.19 -3.21904e-08 -2.03843e-07 -0.131568 0.131577 9.49805e-06
160.2 -3.28253e-08 -2.08587e-07 -0.145528 0.145538 1.01912e-05
160.211 -1.49277e-08 -2.08697e-07 -0.160299 0.16031 1.08805e-05
160.222 -5.83996e-09 -2.28098e-07 -0.175684 0.175695 1.15313e-05
160.232 -7.90156e-09 -2.19314e-07 -0.19191 0.191922 1.20993e-05
160.243 -3.13506e-08 -2.41286e-07 -0.208744 0.208757 1.26171e-05
160.254 -3.76927e-08 -7.18801e-07 -0.226175 0.226189 1.36306e-05
160.264 -3.2887e-08 -6.97087e-07 -0.244519 0.244534 1.53382e-05
160.275 -3.18304e-08 -6.6737e-07 -0.263487 0.263504 1.71299e-05
160.286 -3.66592e-08 -6.50891e-07 -0.28307 0.283089 1.89312e-05
160.297 -4.28823e-08 -6.3478e-07 -0.30326 0.303281 2.0705e-05
160.308 -6.79059e-08 -6.32728e-07 -0.324372 0.324394 2.24836e-05
160.319 -6.86712e-08 -6.03977e-07 -0.346066 0.34609 2.42474e-05
160.33 -5.89981e-08 -5.9992e-07 -0.368333 0.368359 2.60031e-05
160.341 -9.0298e-08 -5.83938e-07 -0.391169 0.391196 2.7645e-05
160.352 -4.2897e-08 -5.72524e-07 -0.414555 0.414584 2.92684e-05
160.363 -2.23031e-08 -5.64852e-07 -0.438499 0.43853 3.1203e-05
