# t V_complet V_tronque w_complet w_tronque xc yc zc n_regions
# recalcul a posteriori par src/diag_volume.c (sommes completes)
161.00 2124.2644 2030.1533 3.730951 3.951997 92.1158 28.6478 62.6292 1
166.00 2130.4557 2036.7169 -0.294850 0.035219 90.7907 33.4999 71.1810 1
171.00 2122.4436 2025.6751 0.428449 0.778168 82.8430 19.6158 71.1986 1
176.00 2126.6539 2033.9595 -0.591773 -0.282360 83.6125 26.5522 71.9029 1
181.00 2121.0659 2020.3690 -0.260159 0.103110 74.3313 19.7234 70.9138 1
186.00 2126.3716 2028.9564 -0.100131 0.207550 91.7746 20.9108 72.5982 1
191.00 2119.1805 2024.1690 0.437410 0.772158 83.6312 8.6599 71.9151 1
196.00 2125.8884 2029.9879 -0.151975 0.184822 96.1444 3.4357 73.2161 1
201.00 2119.8863 2022.7548 0.392419 0.735070 80.8187 107.2421 72.0340 1
206.00 2123.8043 2023.1633 -0.575781 -0.234518 93.8543 100.3812 72.4808 1
211.00 2125.2883 2026.0354 -0.015615 0.339874 102.3295 96.4676 75.2137 1
216.00 2120.5546 2015.9725 0.137983 0.492061 91.4136 86.8478 73.7834 1
221.00 2120.9172 2021.5746 0.407508 0.763003 102.2217 82.9023 75.9343 1
226.00 2116.5570 2020.5963 0.452598 0.786901 91.7587 63.9064 74.1287 1
231.00 2119.0439 2020.8609 0.029703 0.358587 101.2472 65.1645 75.0845 1
236.00 2113.5238 2014.7155 -0.119354 0.227063 85.8374 62.5703 73.7684 1
241.00 2113.1408 2020.6513 -0.846136 -0.549834 84.3170 73.1734 72.0041 1
246.00 2117.2018 2010.9469 -0.337853 0.050071 85.9098 84.2741 73.3140 1
251.00 2112.1170 2012.9270 -0.759046 -0.455601 79.4217 65.1462 73.7769 1
256.00 2116.9185 2017.7532 1.091476 1.416807 72.2363 91.1594 74.0746 1
261.00 2114.3585 2018.9202 0.903403 1.233860 84.3342 79.3657 75.6998 1
266.00 2115.3276 2021.5820 0.789714 1.089664 70.3757 102.1404 73.1725 1
271.00 2111.5012 2014.3066 -0.148071 0.188354 64.7051 90.4049 75.3919 1
276.00 2112.4315 2011.2538 -0.102682 0.191409 63.6798 110.5033 73.8715 1
