# t frame_uz frame_z ub_dans_repere
167.933 7.83087 44.9062 -0.327707
167.989 7.81514 45.3456 -0.246568
168.045 7.80455 45.7842 -0.14819
168.101 7.79973 46.2225 -0.0444106
168.157 7.80103 46.6607 0.0680163
168.213 7.80877 47.0992 0.184333
168.27 7.82336 47.5384 0.317018
168.326 7.84593 47.9786 0.459362
168.382 7.8763 48.4204 0.595081
168.438 7.9141 48.8641 0.728105
168.494 7.95999 49.3102 0.881987
168.551 8.01494 49.7592 1.03912
168.607 8.07843 50.2116 1.18872
168.663 8.15 50.6678 1.32791
168.719 8.22962 51.1283 1.47925
168.775 8.3171 51.5936 1.60659
168.831 8.4119 52.064 1.74285
168.888 8.51348 52.54 1.85072
168.944 8.62113 53.0219 1.95858
169 8.73347 53.51 2.0304
169.056 8.84971 54.0045 2.09229
169.112 8.96921 54.5057 2.14836
169.169 9.09109 55.0137 2.18151
169.225 9.21442 55.5286 2.19962
169.281 9.33812 56.0504 2.19946
169.337 9.46155 56.5792 2.19042
169.393 9.58372 57.1149 2.16451
169.449 9.70429 57.6574 2.13358
169.506 9.82267 58.2065 2.08591
169.562 9.93821 58.7623 2.03855
169.618 10.051 59.3244 1.98641
169.674 10.1607 59.8928 1.92521
169.73 10.2669 60.4672 1.86744
169.787 10.3698 61.0475 1.80605
169.843 10.4694 61.6334 1.75297
169.899 10.5664 62.2249 1.70948
169.955 10.6609 62.8217 1.66499
170.011 10.753 63.4238 1.6188
170.067 10.8424 64.0309 1.57518
170.124 10.9295 64.6429 1.53186
170.18 11.0137 65.2598 1.48016
170.236 11.0952 65.8813 1.43224
170.292 11.1741 66.5073 1.38583
170.348 11.2504 67.1377 1.34223
170.404 11.3243 67.7722 1.29755
170.461 11.3958 68.4108 1.26025
170.517 11.4655 69.0534 1.2281
170.573 11.5335 69.6998 1.19726
170.629 11.5996 70.35 1.1646
170.685 11.6639 71.0039 1.13102
170.742 11.7265 71.6612 1.10777
170.798 11.788 72.3221 1.08558
170.854 11.8481 72.9864 1.05683
170.91 11.9067 73.654 1.03624
170.966 11.9642 74.3249 1.01692
171.022 12.0207 74.9989 0.996737
171.079 12.0764 75.6761 0.986969
171.135 12.1313 76.3564 0.969586
171.191 12.1851 77.0398 0.949464
171.247 12.2381 77.7261 0.943037
171.303 12.2902 78.4154 0.918965
171.36 12.3416 79.1076 0.908621
171.416 12.3923 79.8027 0.898876
171.472 12.442 80.5005 0.877678
171.528 12.4907 81.2012 0.858796
171.584 12.5384 81.9045 0.839487
171.64 12.5844 82.6105 0.806147
171.697 12.6292 83.319 0.787049
171.753 12.6722 84.0299 0.752471
171.809 12.7131 84.7433 0.709821
171.865 12.7514 85.4588 0.660047
171.921 12.7865 86.1763 0.602779
171.978 12.8181 86.8958 0.533252
172.034 12.8455 87.6168 0.453629
172.09 12.868 88.3393 0.364386
172.146 12.8852 89.0628 0.267914
172.202 12.8966 89.7871 0.149916
172.258 12.9011 90.5118 0.0361113
172.315 12.8988 91.2365 -0.0873729
172.371 12.8898 91.9609 -0.209404
172.427 12.874 92.6846 -0.329029
172.483 12.8511 93.4071 -0.462941
172.539 12.8203 94.1281 -0.604122
172.596 12.7814 94.847 -0.754084
172.652 12.7338 95.5635 -0.907226
172.708 12.6776 96.277 -1.06329
172.764 12.6129 96.9871 -1.21152
172.82 12.5398 97.6933 -1.3603
172.876 12.4586 98.3951 -1.50353
172.933 12.3692 99.092 -1.64679
172.989 12.2719 99.7837 -1.78698
173.045 12.167 100.47 -1.92193
173.101 12.0547 101.149 -2.05153
173.157 11.9349 101.823 -2.18701
173.213 11.8076 102.489 -2.31907
173.27 11.673 103.148 -2.44219
173.326 11.5317 103.799 -2.56456
173.382 11.3835 104.442 -2.69033
173.438 11.2287 105.076 -2.80252
173.494 11.0674 105.701 -2.9132
173.551 10.9003 106.318 -3.01443
173.607 10.7278 106.924 -3.11257
173.663 10.5497 107.521 -3.20533
173.719 10.3668 108.107 -3.28947
173.775 10.1796 108.683 -3.35883
173.831 9.98903 109.249 -3.40991
173.888 9.79586 109.804 -3.45567
173.944 9.6007 110.347 -3.47745
174 9.40539 110.88 -3.47555
174.056 9.211 111.402 -3.45097
174.112 9.01834 111.913 -3.40955
174.169 8.82905 112.413 -3.34183
174.225 8.64422 112.903 -3.24752
174.281 8.46595 113.383 -3.11754
174.337 8.2953 113.852 -2.98278
174.393 8.13327 114.313 -2.81922
174.449 7.98071 114.765 -2.64351
174.506 7.83839 115.208 -2.45644
174.562 7.70707 115.644 -2.25028
174.618 7.58755 116.073 -2.03887
174.674 7.48027 116.496 -1.81852
174.73 7.38572 116.913 -1.59232
174.787 7.30403 117.325 -1.36462
174.843 7.23553 117.733 -1.11888
174.899 7.18095 118.137 -0.874349
174.955 7.1401 118.539 -0.627494
175.011 7.11311 118.939 -0.382161
175.067 7.09982 119.338 -0.138835
175.124 7.09987 119.737 0.094671
175.18 7.113 120.137 0.325707
175.236 7.13892 120.537 0.551317
175.292 7.17711 120.939 0.76649
175.348 7.22692 121.344 0.966929
175.404 7.28763 121.752 1.1544
175.461 7.35855 122.164 1.33216
175.517 7.4391 122.58 1.50026
175.573 7.52917 123.001 1.66485
175.629 7.62771 123.427 1.81242
175.685 7.73392 123.859 1.93889
175.742 7.84671 124.297 2.05247
175.798 7.96543 124.742 2.15297
175.854 8.08893 125.194 2.2273
175.91 8.21697 125.653 2.31084
175.966 8.34904 126.119 2.37586
176.022 8.48466 126.592 2.4386
176.079 8.62359 127.074 2.48667
176.135 8.76443 127.563 2.51556
176.191 8.90605 128.06 2.52827
176.247 9.04819 128.565 2.52941
176.303 9.18996 129.078 2.51882
176.36 9.33059 129.599 2.4934
176.416 9.46948 130.128 2.4555
176.472 9.60584 130.665 2.40847
176.528 9.73928 131.209 2.35453
176.584 9.86961 131.76 2.29401
176.64 9.99621 132.319 2.22457
176.697 10.1187 132.885 2.15096
176.753 10.2369 133.457 2.07042
176.809 10.3502 134.036 1.97893
176.865 10.4581 134.622 1.88454
176.921 10.5608 135.213 1.79198
176.978 10.6587 135.809 1.70904
177.034 10.7515 136.411 1.61198
177.09 10.8386 137.018 1.50686
177.146 10.9197 137.63 1.40186
177.202 10.9947 138.246 1.29198
177.258 11.0636 138.866 1.18412
177.315 11.1264 139.49 1.07286
177.371 11.1826 140.117 0.952034
177.427 11.2319 140.746 0.83101
177.483 11.2744 141.379 0.703561
177.539 11.3094 142.014 0.572443
177.596 11.3371 142.65 0.441775
177.652 11.3574 143.287 0.309008
177.708 11.3709 143.926 0.187182
177.764 11.3776 144.565 0.0766607
177.82 11.378 145.204 -0.0387893
177.876 11.3721 145.843 -0.146743
177.933 11.3607 146.482 -0.242427
177.989 11.3442 147.12 -0.325883
178.045 11.3237 147.756 -0.385965
178.101 11.3003 148.392 -0.432439
178.157 11.2748 149.026 -0.468123
178.213 11.2481 149.658 -0.47701
178.27 11.2214 150.289 -0.472135
178.326 11.1954 150.919 -0.454477
178.382 11.1707 151.547 -0.423416
178.438 11.1487 152.174 -0.372105
178.494 11.1297 152.799 -0.315382
178.551 11.1142 153.424 -0.247785
178.607 11.1029 154.048 -0.165413
178.663 11.0964 154.672 -0.0793768
178.719 11.0948 155.295 0.00742151
178.775 11.0983 155.918 0.0974008
178.831 11.1069 156.542 0.189841
178.888 11.121 157.166 0.288715
178.944 11.1403 157.792 0.378394
179 11.1645 158.418 0.468405
179.056 11.1935 159.047 0.543474
179.112 11.2267 159.677 0.624409
179.169 11.2644 160.309 0.70218
179.225 11.3062 160.943 0.773855
179.281 11.3518 161.58 0.838319
179.337 11.4014 162.219 0.911043
179.393 11.4548 162.861 0.977342
179.449 11.5117 163.507 1.03189
179.506 11.5713 164.155 1.08103
179.562 11.6331 164.808 1.1117
179.618 11.6965 165.463 1.137
179.674 11.7612 166.122 1.1588
179.73 11.8264 166.785 1.16006
179.787 11.8912 167.452 1.1488
179.843 11.9551 168.122 1.13047
179.899 12.0174 168.796 1.09081
179.955 12.0769 169.473 1.03745
180.011 12.1331 170.154 0.970298
180.067 12.1846 170.837 0.880865
180.124 12.2308 171.523 0.780619
180.18 12.2707 172.212 0.65976
180.236 12.3032 172.902 0.52158
180.292 12.3276 173.594 0.372676
180.348 12.3432 174.287 0.211109
180.404 12.3492 174.981 0.0364288
180.461 12.3447 175.675 -0.158492
180.517 12.3294 176.368 -0.349444
180.573 12.3029 177.059 -0.553568
180.629 12.2647 177.749 -0.763947
180.685 12.2148 178.437 -0.971143
180.742 12.1534 179.121 -1.17479
180.798 12.0806 179.801 -1.37487
180.854 11.9972 180.477 -1.55823
180.91 11.9042 181.148 -1.71728
180.966 11.8026 181.814 -1.86701
181.022 11.6933 182.473 -1.99042
181.079 11.5787 183.126 -2.06637
181.135 11.4607 183.773 -2.11823
181.191 11.3411 184.412 -2.1329
181.247 11.2219 185.046 -2.10972
181.303 11.1052 185.672 -2.04891
181.36 10.9931 186.292 -1.95131
181.416 10.8876 186.906 -1.83129
181.472 10.79 187.514 -1.67286
181.528 10.7021 188.118 -1.49133
181.584 10.6245 188.716 -1.30307
181.64 10.5584 189.311 -1.09269
181.697 10.504 189.902 -0.886113
181.753 10.462 190.491 -0.659721
181.809 10.432 191.077 -0.452363
181.865 10.4133 191.663 -0.257016
181.921 10.4052 192.247 -0.0672536
181.978 10.4073 192.832 0.10776
182.034 10.4185 193.417 0.260209
182.09 10.4379 194.003 0.40267
182.146 10.4649 194.59 0.530256
182.202 10.4988 195.179 0.649077
182.258 10.5386 195.77 0.745413
182.315 10.5837 196.364 0.841248
182.371 10.634 196.96 0.928113
182.427 10.6888 197.56 1.00307
182.483 10.7474 198.162 1.0711
182.539 10.8094 198.768 1.12484
182.596 10.8742 199.377 1.16857
182.652 10.9413 199.99 1.21118
182.708 11.0105 200.607 1.24166
182.764 11.081 201.228 1.26237
182.82 11.1524 201.853 1.278
182.876 11.2243 202.482 1.27798
182.933 11.2956 203.115 1.26556
182.989 11.3661 203.752 1.2442
183.045 11.4347 204.393 1.20425
183.101 11.5006 205.038 1.14979
183.157 11.5629 205.686 1.07879
183.213 11.6211 206.338 1.00394
183.27 11.6744 206.992 0.909525
183.326 11.7219 207.65 0.799624
183.382 11.7629 208.31 0.680244
183.438 11.7964 208.972 0.536508
183.494 11.8216 209.635 0.388311
183.551 11.8374 210.3 0.208835
183.607 11.843 210.965 0.0242118
183.663 11.8381 211.63 -0.157914
183.719 11.8226 212.295 -0.355487
183.775 11.7958 212.958 -0.559352
183.831 11.758 213.62 -0.747575
183.888 11.7101 214.279 -0.923931
183.944 11.6523 214.935 -1.09531
184 11.5857 215.587 -1.24436
184.056 11.5114 216.236 -1.36948
184.112 11.4303 216.88 -1.49056
184.169 11.3435 217.519 -1.58284
184.225 11.2521 218.153 -1.65565
184.281 11.1568 218.782 -1.72034
184.337 11.0587 219.406 -1.76284
184.393 10.9584 220.023 -1.7965
184.449 10.8566 220.636 -1.81823
184.506 10.7541 221.242 -1.82661
184.562 10.6514 221.843 -1.82759
184.618 10.549 222.438 -1.81946
184.674 10.4468 223.027 -1.81729
184.73 10.3451 223.61 -1.80341
184.787 10.2442 224.188 -1.7899
184.843 10.1442 224.76 -1.77421
184.899 10.0454 225.327 -1.74976
184.955 9.948 225.888 -1.72162
185.011 9.85263 226.444 -1.67653
185.067 9.76004 226.994 -1.62675
185.124 9.6707 227.539 -1.56501
185.18 9.58538 228.08 -1.48434
185.236 9.50541 228.615 -1.37927
185.292 9.43162 229.147 -1.26751
185.348 9.36437 229.675 -1.15015
185.404 9.30377 230.199 -1.03235
185.461 9.25022 230.719 -0.903479
185.517 9.20392 231.237 -0.771888
185.573 9.16458 231.753 -0.652185
185.629 9.1321 232.267 -0.5315
185.685 9.10592 232.779 -0.42061
185.742 9.08636 233.29 -0.303239
185.798 9.07284 233.8 -0.198376
185.854 9.06504 234.309 -0.0975764
185.91 9.06281 234.819 -0.000451012
185.966 9.06535 235.328 0.0796667
186.022 9.07283 235.837 0.168904
186.079 9.08477 236.347 0.241544
186.135 9.10072 236.858 0.313781
186.191 9.12074 237.37 0.379404
186.247 9.14472 237.883 0.455636
186.303 9.17265 238.398 0.524972
186.36 9.2042 238.914 0.587077
186.416 9.23942 239.433 0.650787
186.472 9.27805 239.953 0.713554
186.528 9.3203 240.476 0.777658
186.584 9.36589 241.001 0.834995
186.64 9.41441 241.529 0.880404
186.697 9.4652 242.059 0.921534
186.753 9.51814 242.593 0.955126
186.809 9.57209 243.129 0.964169
186.865 9.62667 243.669 0.971656
186.921 9.68074 244.212 0.958954
186.978 9.73406 244.757 0.943958
187.034 9.78613 245.306 0.910148
187.09 9.83629 245.857 0.87872
187.146 9.88387 246.411 0.825282
187.202 9.92865 246.968 0.777119
187.258 9.9707 247.528 0.728921
187.315 10.0098 248.089 0.678154
187.371 10.0462 248.653 0.628672
187.427 10.0797 249.218 0.578643
187.483 10.1111 249.785 0.543211
187.539 10.1404 250.354 0.505762
187.596 10.168 250.925 0.482637
187.652 10.1942 251.497 0.458707
187.708 10.2195 252.071 0.446511
