# i t cells coeurs_suggere(~100k/coeur)
14360 131.96 1328832 14
14380 132.236 1326767 14
14400 132.502 1326466 14
14420 132.751 1327509 14
14440 133 1326872 14
14460 133.261 1331660 14
14480 133.506 1342153 14
14500 133.742 1353129 14
14520 133.977 1360962 14
14540 134.223 1362572 14
14560 134.476 1367332 14
14580 134.725 1364784 14
14600 134.975 1361865 14
14620 135.235 1365211 14
14640 135.499 1363363 14
14660 135.754 1356384 14
14680 136 1352233 14
14700 136.257 1354746 14
14720 136.523 1359226 14
14740 136.795 1364357 14
14760 137.051 1368445 14
14780 137.304 1368970 14
14800 137.552 1372358 14
14820 137.789 1379736 14
14840 138.024 1377125 14
14860 138.272 1379855 14
14880 138.526 1385126 14
14900 138.785 1394268 14
14920 139.039 1395906 14
14940 139.301 1401037 15
14960 139.558 1400603 15
14980 139.794 1400547 15
15000 140.011 1402556 15
15020 140.239 1409521 15
15040 140.478 1413091 15
15060 140.724 1411215 15
15080 140.964 1408422 15
15100 141.212 1408779 15
15120 141.463 1415751 15
15140 141.708 1426433 15
15160 141.951 1434833 15
15180 142.197 1435967 15
15200 142.43 1438382 15
15220 142.654 1442512 15
15240 142.877 1444416 15
15260 143.11 1442960 15
15280 143.368 1437857 15
15300 143.632 1431914 15
15320 143.895 1427686 15
15340 144.159 1426279 15
15360 144.425 1422562 15
15380 144.683 1420392 15
15400 144.937 1421743 15
15420 145.198 1418453 15
15440 145.451 1417753 15
15460 145.686 1419342 15
15480 145.919 1427049 15
15500 146.16 1429401 15
15520 146.401 1430675 15
15540 146.641 1432068 15
15560 146.876 1430717 15
15580 147.086 1423857 15
15600 147.302 1417578 15
15620 147.523 1409388 15
15640 147.755 1401828 15
15660 148 1399847 14
15680 148.271 1394191 14
15700 148.551 1379134 14
15720 148.825 1377447 14
15740 149.078 1384979 14
15760 149.338 1383929 14
15780 149.601 1379351 14
15800 149.875 1379078 14
15820 150.162 1380555 14
15840 150.449 1378679 14
15860 150.719 1380212 14
15880 150.975 1381913 14
15900 151.228 1379330 14
15920 151.469 1379561 14
15940 151.693 1380471 14
15960 151.912 1382382 14
15980 152.135 1384251 14
16000 152.37 1384461 14
16020 152.608 1383719 14
16040 152.845 1388255 14
16060 153.086 1391895 14
16080 153.33 1396354 14
16100 153.573 1400743 15
16120 153.817 1405307 15
16140 154.048 1406574 15
16160 154.283 1407379 15
16180 154.522 1411040 15
16200 154.772 1414680 15
16220 155.026 1417158 15
16240 155.287 1422961 15
16260 155.554 1422660 15
16280 155.8 1423367 15
16300 156.035 1428757 15
16320 156.266 1433307 15
16340 156.488 1437339 15
16360 156.702 1440881 15
16380 156.915 1444017 15
16400 157.142 1448553 15
16420 157.386 1454594 15
16440 157.622 1456379 15
16460 157.858 1460173 15
16480 158.098 1461139 15
16500 158.349 1457954 15
16520 158.608 1451444 15
16540 158.847 1442092 15
16560 159.084 1433006 15
16580 159.331 1426839 15
16600 159.592 1428659 15
16620 159.853 1428232 15
