# i t cells coeurs_suggere(~100k/coeur)
17500 262.8 508012 6
17520 263.244 508957 6
17540 263.689 511281 6
17560 264.133 514312 6
17580 264.578 514536 6
17600 265.022 516349 6
17620 265.467 516783 6
17640 265.911 515964 6
17660 266.356 516881 6
17680 266.8 515894 6
17700 267.244 513801 6
17720 267.689 513227 6
17740 268.133 512562 6
17760 268.578 512681 6
17780 269.022 513556 6
17800 269.467 515124 6
17820 269.911 515271 6
17840 270.356 516181 6
17860 270.8 519198 6
17880 271.244 520619 6
17900 271.689 521361 6
17920 272.133 523573 6
17940 272.578 524014 6
17960 273.022 523965 6
17980 273.467 524056 6
18000 273.911 523706 6
18020 274.356 523692 6
18040 274.8 523804 6
18060 275.244 523566 6
18080 275.689 521074 6
18100 276.133 519800 6
18120 276.578 517756 6
18140 277.022 516419 6
18160 277.467 517042 6
18180 277.911 516993 6
18200 278.356 516629 6
18220 278.8 518400 6
18240 279.244 520038 6
18260 279.689 522936 6
18280 280.133 525022 6
18300 280.578 529439 6
18320 281.022 533247 6
18340 281.467 536397 6
18360 281.911 538896 6
18380 282.356 542256 6
18400 282.8 543222 6
18420 283.244 542781 6
18440 283.689 543523 6
18460 284.133 544286 6
18480 284.578 543999 6
18500 285.022 542368 6
18520 285.467 541815 6
18540 285.911 539505 6
18560 286.356 537048 6
18580 286.8 535235 6
18600 287.244 530482 6
18620 287.689 525379 6
18640 288.133 520892 6
18660 288.578 516216 6
18680 289.022 512940 6
18700 289.467 509342 6
18720 289.911 508348 6
18740 290.356 506017 6
18760 290.8 504260 6
18780 291.244 503119 6
18800 291.689 503462 6
18820 292.133 504225 6
18840 292.578 505072 6
18860 293.022 505170 6
18880 293.467 505163 6
18900 293.911 503497 6
18920 294.356 500851 6
18940 294.8 498807 5
18960 295.244 495412 5
18980 295.689 491569 5
19000 296.133 486865 5
19020 296.578 483708 5
19040 297.022 479032 5
19060 297.467 476995 5
19080 297.911 471591 5
19100 298.356 467720 5
19120 298.8 467020 5
19140 299.244 465942 5
19160 299.689 467132 5
19180 300.133 468392 5
19200 300.578 472543 5
19220 301.022 472669 5
19240 301.467 476246 5
19260 301.911 477569 5
19280 302.356 478444 5
19300 302.8 479214 5
19320 303.244 480950 5
19340 303.689 481454 5
19360 304.133 481545 5
19380 304.578 482504 5
19400 305.022 485304 5
19420 305.467 488559 5
19440 305.911 493634 5
19460 306.356 496602 5
19480 306.8 499969 5
19500 307.244 502776 6
19520 307.689 504113 6
19540 308.133 501719 6
19560 308.578 497848 5
19580 309.022 493795 5
19600 309.467 492647 5
19620 309.911 491198 5
