# t V_complet V_tronque w_complet w_tronque xc yc zc n_regions
# recalcul a posteriori par src/diag_volume.c (sommes completes)
161.00 2123.4756 2027.5094 3.355297 3.567822 89.2604 88.5923 62.2402 1
166.00 2120.6655 2020.5023 1.187286 1.531393 83.6910 76.6639 70.7766 1
171.00 2129.7966 2032.2148 0.325773 0.666128 96.9753 87.0114 72.2250 1
176.00 2122.9345 2023.6136 0.392336 0.756915 87.2354 64.4693 72.5521 1
181.00 2124.9032 2027.8114 -0.146579 0.183684 96.6049 59.1523 71.3640 1
186.00 2127.0527 2030.2136 0.652589 1.011006 110.7260 54.1874 71.4393 1
191.00 2125.4764 2025.2577 0.326916 0.704512 107.3268 39.3618 73.2853 1
196.00 2118.6049 2018.5872 -0.695779 -0.339547 101.4289 25.3851 71.3861 1
201.00 2112.1153 2021.0209 -0.863669 -0.579970 93.4813 2.9210 70.8156 1
206.00 2112.2793 2010.8528 -0.302317 0.042461 98.0919 112.0893 71.3488 1
211.00 2110.3888 2015.0989 0.535848 0.885251 101.0963 98.7284 72.3567 1
216.00 2110.3271 2010.4691 -0.183783 0.163165 107.5890 90.8806 73.9031 1
221.00 2105.1775 2008.9840 -0.400190 -0.101555 107.4526 82.5276 73.7007 1
226.00 2104.9922 2003.8144 -0.114685 0.230561 110.0004 77.0231 73.7112 1
231.00 2104.5546 2012.2093 -0.821102 -0.515890 104.0861 84.3173 72.5060 1
236.00 2105.6922 2013.5231 -0.024592 0.300318 105.1905 84.7589 75.1887 1
241.00 2105.1214 2010.3274 -0.088303 0.235819 7.0912 83.1284 72.8683 1
246.00 2105.3222 2009.9338 -0.145841 0.198388 19.2283 79.4069 73.2477 1
251.00 2107.9961 2011.8274 -0.267612 0.074468 26.7043 79.5673 73.3419 1
256.00 2103.2668 2010.7191 -0.019318 0.294172 17.0868 79.0143 72.2570 1
261.00 2104.2160 2003.8685 -0.662682 -0.311733 25.6730 79.2851 73.7738 1
266.00 2106.8857 2012.6509 -1.455481 -1.172266 34.7805 81.5906 74.4569 1
271.00 2107.5566 2007.1486 -0.501975 -0.171438 29.3576 90.5390 74.8617 1
276.00 2105.4914 2005.4091 0.503383 0.837542 34.2907 79.9670 76.4840 1
