# label z_c u_bulle uz_domaine c1 c2 c3 c4 h1 h2 h3 h4 f1 f2 f3 f4 Vb
# c=cone_sup h=hemisphere f=coquille ; bandes r/D=[1,1.5][1.5,2][2,2.5][2.5,3] ; STOCKE (repere mobile)
192.00 63.4794 0.453423 -3.33243 -4.85053 -2.99621 -2.28889 -1.84509 -5.47007 -3.95347 -3.25604 -2.81185 -5.10248 -3.90872 -3.62812 -2.84979 2121.53
193.00 64.2045 0.858682 -4.03442 -3.72476 -2.68511 -2.30337 -2.0443 -5.44897 -4.2652 -3.73542 -3.08034 -6.26081 -4.89825 -4.23988 -3.49467 2122.61
194.00 64.9918 0.604704 -4.79251 -2.96261 -2.40444 -2.57556 -2.32433 -4.77766 -4.25747 -4.07224 -3.42495 -6.53888 -5.7695 -4.81968 -4.09707 2123.02
195.00 65.7999 1.20202 -5.58786 -2.29118 -2.61175 -2.78551 -2.9125 -4.29797 -4.22729 -4.12312 -4.26735 -6.51977 -5.98428 -5.21592 -4.91672 2122.3
196.00 67.7998 2.77017 -7.59512 -3.2876 -4.18074 -4.51085 -4.46651 -4.76393 -5.44157 -6.01818 -6.56341 -7.08443 -6.96436 -6.90273 -6.98159 2122.18
197.00 71.2334 3.87572 -11.0257 -6.87376 -8.4849 -8.56755 -9.41095 -7.82724 -8.83249 -9.42094 -10.6858 -8.77008 -9.7746 -10.0918 -10.645 2122.44
198.00 74.6879 2.1171 -14.4452 -10.9928 -13.0898 -13.82 -15.2535 -12.1457 -12.4947 -13.799 -15.3293 -11.5069 -12.5279 -13.9081 -14.6667 2122.64
199.00 75.9404 0.684528 -15.6569 -11.6007 -13.6731 -16.1776 -15.6248 -13.9412 -15.0417 -16.5028 -16.4077 -13.5369 -14.1209 -15.41 -15.8997 2122.51
200.00 76.095 0.580734 -15.7934 -13.2156 -14.0054 -14.7865 -14.7963 -14.0615 -15.4508 -15.9626 -15.9977 -13.7802 -15.1568 -15.7468 -15.6055 2123.09
201.00 76.3381 -0.944507 -16.0247 -14.7363 -14.2355 -13.2987 -14.4303 -14.6792 -14.6593 -15.3565 -16.6675 -13.8672 -14.7507 -15.6066 -16.4258 2122.64
202.00 74.5319 -3.94425 -14.1771 -13.4648 -12.6951 -12.8721 -13.3651 -12.8052 -12.6629 -14.131 -14.6998 -12.417 -12.7638 -14.1076 -14.6129 2122.34
203.00 68.5324 -6.69368 -8.18824 -7.6787 -8.04594 -8.2407 -7.6268 -7.46383 -6.96491 -7.22351 -7.59351 -7.31875 -6.91432 -7.62102 -8.14655 2121.46
204.00 63.5627 -2.65517 -3.28444 -3.21997 -3.43881 -3.17351 -3.14477 -3.18304 -2.17499 -2.1894 -2.88785 -2.92822 -2.41316 -2.76711 -3.25782 2120.19
205.00 62.6404 0.457365 -2.39553 -2.91932 -2.7905 -2.85701 -2.79224 -2.81593 -1.53668 -1.70047 -2.18688 -2.70964 -1.86094 -2.0096 -2.37424 2119.56
206.00 63.4403 0.934986 -3.19119 -3.25801 -4.47609 -5.22345 -5.01908 -3.76505 -3.00729 -2.9512 -3.33962 -4.12059 -3.16614 -2.87972 -3.07827 2118.6
207.00 64.2668 0.630115 -4.00627 -3.77907 -6.47681 -7.04408 -6.99036 -4.58776 -4.66031 -4.39697 -4.47241 -5.48447 -4.49587 -3.99464 -3.89252 2117.61
208.00 64.6668 0.00450572 -4.38993 -6.75358 -8.37268 -8.14065 -8.02284 -5.76196 -6.07454 -5.23261 -5.22019 -6.23357 -5.46841 -4.63113 -4.51563 2117.22
209.00 64.4491 -0.43712 -4.16122 -9.62911 -8.89055 -8.52018 -8.48645 -7.40075 -6.6322 -5.66037 -4.99845 -6.72987 -5.84137 -4.82221 -4.31141 2120
210.00 64.1888 0.519852 -3.91595 -9.74804 -9.00928 -8.18944 -7.2847 -7.90472 -6.95858 -5.86016 -4.51453 -7.16668 -5.94504 -4.91407 -4.10854 2122.24
211.00 64.993 0.219601 -4.71924 -11.0327 -9.41234 -8.07155 -7.42421 -10.3657 -8.00633 -6.34393 -5.10137 -9.16133 -7.38752 -5.61089 -4.57511 2125.04
212.00 63.2356 -3.83037 -2.94084 -8.6642 -7.13426 -6.23802 -5.86503 -8.27331 -6.07132 -4.33945 -2.92046 -8.3968 -5.81402 -3.62028 -2.30197 2124.88
213.00 59.3834 -2.94394 0.864417 -4.42056 -2.82007 -1.95762 -1.51734 -3.49128 -1.15198 -0.142403 0.29493 -4.29397 -1.1478 0.621373 0.953984 2121.41
214.00 57.7648 -0.117011 2.4358 -1.54169 -0.262119 0.10049 0.550564 -0.665977 1.24865 1.55667 1.88055 -1.75976 1.46591 2.44655 2.32617 2117.89
215.00 58.4246 1.3756 1.75712 -0.107796 -0.0773618 -0.208871 0.0280431 -0.394489 0.927727 1.21969 1.14079 -1.66821 1.15693 1.96289 1.69381 2117.28
216.00 60.0498 1.58812 0.136564 -0.510349 -1.09745 -1.90301 -1.48837 -1.38887 -0.520299 -0.324862 -0.402558 -2.6481 -0.350699 0.409159 0.144134 2116.69
217.00 61.9238 2.26025 -1.73692 -1.34421 -2.79761 -3.77736 -2.85946 -2.72899 -2.48273 -2.46351 -2.18389 -3.61933 -2.2869 -1.58052 -1.73419 2115.87
