# t V_complet V_tronque w_complet w_tronque xc yc zc n_regions
# recalcul a posteriori par src/diag_volume.c (sommes completes)
161.00 2123.6636 2031.9391 4.503796 4.690561 61.4307 55.9167 64.4009 1
166.00 2124.2363 2028.0273 1.123403 1.404134 75.4903 49.7854 70.0254 1
171.00 2122.2293 2023.3675 -2.824923 -2.585398 60.7389 60.0336 67.3603 1
176.00 2120.2068 2020.2776 0.461065 0.670591 37.3861 66.3645 63.5134 1
181.00 2125.2203 2028.9138 0.795111 1.019131 56.4811 58.8979 67.0657 1
186.00 2124.1990 2024.2409 -1.488813 -1.248086 85.3083 16.0786 74.1844 1
191.00 2119.9184 2027.1384 -0.697555 -0.450721 76.2006 8.3830 63.7129 1
196.00 2122.1846 2020.7957 2.770174 3.046525 77.2886 18.5263 67.7998 1
201.00 2122.6389 2023.0246 -0.944507 -0.655579 76.7528 108.1427 76.3381 1
206.00 2118.5959 2024.6929 0.934986 1.139500 54.2389 118.4800 63.4403 1
211.00 2125.0374 2024.0355 0.219601 0.498727 70.4966 5.6404 64.9930 1
216.00 2116.6911 2023.1886 1.588122 1.811373 57.7203 89.8448 60.0498 1
221.00 2112.6157 2013.0884 -0.147106 0.189362 40.5616 79.9128 69.0227 1
226.00 2116.0612 2015.7696 1.181656 1.485244 50.3472 88.4461 71.1109 1
231.00 2111.4155 2012.7295 -0.714501 -0.481564 45.1116 77.9929 69.9339 1
236.00 2119.4514 2026.8726 -1.230374 -0.961766 52.2424 103.2699 68.8842 1
241.00 2119.0998 2019.1745 -0.945982 -0.681295 62.3542 115.6527 65.0717 1
246.00 2116.2165 2017.2158 0.421558 0.732451 40.5063 112.6705 69.5324 1
251.00 2117.4948 2021.5494 -1.408095 -1.190911 41.5910 17.2921 70.7550 1
256.00 2114.0806 2016.5962 0.652088 0.936645 17.6972 114.8441 65.5397 1
261.00 2128.0534 2028.4503 2.763921 3.143789 47.3587 2.1058 74.3819 1
266.00 2123.5500 2023.7433 0.618651 0.839761 35.8997 117.2327 60.7521 1
271.00 2123.2565 2023.0237 -0.841080 -0.546344 40.5993 99.9684 67.6079 1
276.00 2121.0481 2025.6618 1.345963 1.645055 66.4677 78.6156 66.0507 1
281.00 2121.4129 2022.7272 -1.544833 -1.344119 47.9664 93.8748 66.3691 1
286.00 2136.5060 2037.8725 1.359022 1.615918 63.8240 119.4519 70.9627 1
291.00 2133.0141 2040.1251 0.747473 0.889700 53.9999 109.5201 68.5618 1
296.00 2129.5733 2038.5675 -1.743085 -1.494469 29.2414 89.9437 75.2042 1
301.00 2121.6347 2021.4324 0.926062 1.267255 6.1405 47.4940 72.1190 1
306.00 2119.2107 2024.6974 -1.600050 -1.357315 117.7280 42.8718 68.8454 1
