# t volume xc yc zc ub_x ub_y ub_z width depth height d_eq chi
162.371 2045.25 60.0001 60.0002 74.1128 0.0016279 0.00272096 9.65826 15.9375 15.9375 13.125 15.7489 1.21429
162.427 2041.8 60.0001 60.0003 74.6542 0.00371962 0.00504494 9.78939 15.9375 15.9375 13.125 15.74 1.21429
162.483 2037.39 59.9992 60.0012 75.1862 -0.00052393 0.00323261 9.86625 15.9375 15.9375 13.125 15.7287 1.21429
162.539 2035.65 60.0001 60.0004 75.7633 -0.000329509 0.000903222 9.9532 15.9375 15.9375 13.125 15.7242 1.21429
162.596 2038.07 60 60.0009 76.2759 -0.000888397 0.00122116 10.0398 15.9375 15.9375 13.125 15.7304 1.21429
162.652 2039.15 60.0002 60.0005 76.8409 -0.00211308 -0.000840462 10.0777 15.9375 15.9375 12.1875 15.7332 1.30769
162.708 2042.31 60.0016 60.0042 77.3827 0.00122281 0.00122124 10.1819 15.9375 15.9375 13.125 15.7413 1.21429
162.764 2037.67 60.0002 60.0006 77.929 0.0027411 0.00372249 10.2419 15.9375 15.9375 13.125 15.7294 1.21429
162.82 2025.3 60.0002 60.0006 78.5119 0.00315354 0.00400216 10.362 15.9375 15.9375 13.125 15.6975 1.21429
162.876 2025.32 60.0003 60.0007 79.0659 0.00110574 0.00208841 10.4245 15.9375 15.9375 13.125 15.6975 1.21429
162.933 2040.12 60.0004 60.0009 79.6524 0.00168336 0.00227833 10.4504 15.9375 15.9375 12.1875 15.7357 1.30769
162.989 2039.29 60.0005 60.0009 80.2047 0.00218651 0.00216303 10.5353 15.9375 15.9375 13.125 15.7336 1.21429
163.045 2035.7 60.0005 60.001 80.7662 0.00829837 0.00868667 10.6252 15.9375 15.9375 12.1875 15.7243 1.30769
163.101 2035.06 59.9996 60.0003 81.4129 0.00148979 0.00196786 10.671 15.9375 15.9375 13.125 15.7227 1.21429
163.157 2035.84 60.0006 60.0043 81.9487 0.00617719 0.00557591 10.7303 15.9375 15.9375 13.125 15.7247 1.21429
163.213 2037.98 60.0023 60.0019 82.5436 0.00416812 0.00410851 10.7832 15.9375 15.9375 12.1875 15.7302 1.30769
163.27 2021.76 60.0022 60.002 83.141 0.00224516 0.00212471 10.8757 15.9375 15.9375 13.125 15.6883 1.21429
