# t frame_uz frame_z ub_dans_repere
160.001 -2.82865e-05 -2.91313e-08 -0.0274662
160.019 -0.00606129 -6.85655e-05 -0.29421
160.051 -0.0106099 -0.000374652 -0.0382569
160.092 -0.00473484 -0.000708459 0.257141
160.14 0.0163849 -0.000390342 0.57404
160.19 0.0551614 0.00154903 0.89057
160.243 0.11211 0.00619356 1.20122
160.297 0.186423 0.014579 1.49044
160.352 0.277476 0.027758 1.76218
160.407 0.382558 0.0464064 2.01048
160.463 0.503183 0.0718129 2.24804
160.519 0.636072 0.104393 2.44941
160.575 0.779022 0.144757 2.62145
160.631 0.930937 0.193427 2.77519
160.687 1.09102 0.250879 2.91285
160.743 1.25807 0.317532 3.02788
160.798 1.43046 0.393722 3.11295
160.854 1.60727 0.479711 3.19201
160.91 1.78809 0.575737 3.25464
160.966 1.97202 0.681992 3.30337
161.022 2.15831 0.798796 3.33621
161.079 2.34666 0.926393 3.36
161.135 2.53595 1.0646 3.37548
161.191 2.72549 1.21346 3.37454
161.247 2.91492 1.37297 3.36425
161.303 3.10365 1.54309 3.35493
161.36 3.29153 1.72379 3.33828
161.416 3.47838 1.91501 3.31716
161.472 3.66382 2.11669 3.28776
161.528 3.84723 2.32871 3.25198
161.584 4.02918 2.55099 3.23154
161.64 4.20998 2.78344 3.20881
161.697 4.38916 3.02601 3.17758
161.753 4.56683 3.27859 3.15093
161.809 4.74269 3.54109 3.11745
161.865 4.91681 3.8134 3.08996
161.921 5.0892 4.09545 3.05346
161.978 5.25938 4.38711 3.01514
162.034 5.42713 4.68824 2.96671
162.09 5.59243 4.99872 2.9243
162.146 5.75493 5.31839 2.87257
162.202 5.91468 5.6471 2.82474
162.258 6.07157 5.98469 2.77119
162.315 6.2257 6.33099 2.72546
162.371 6.37715 6.68587 2.676
162.427 6.52584 7.04916 2.62934
162.483 6.67176 7.42071 2.57559
162.539 6.81491 7.80037 2.52749
162.596 6.95528 8.18797 2.48119
162.652 7.09328 8.58338 2.44417
162.708 7.22887 8.98646 2.39435
162.764 7.36225 9.39708 2.35704
162.82 7.49333 9.81512 2.31704
162.876 7.62198 10.2404 2.27041
162.933 7.74807 10.6729 2.22727
162.989 7.87164 11.1124 2.18343
163.045 7.99302 11.5587 2.14269
163.101 8.11225 12.0118 2.10694
163.157 8.22943 12.4715 2.0724
163.213 8.34486 12.9377 2.0423
163.27 8.45848 13.4103 2.00733
163.326 8.57012 13.8893 1.9741
163.382 8.67951 14.3745 1.93257
163.438 8.78692 14.8657 1.89606
163.494 8.89202 15.3629 1.8528
163.551 8.995 15.866 1.81677
163.607 9.0959 16.3747 1.7804
163.663 9.19489 16.8891 1.7463
163.719 9.2918 17.4089 1.71072
163.775 9.38636 17.9341 1.66469
163.831 9.47857 18.4645 1.62505
163.888 9.56828 19.0001 1.57746
163.944 9.65525 19.5406 1.52695
164 9.73945 20.0859 1.48058
164.056 9.82115 20.6358 1.43694
164.112 9.90052 21.1902 1.3957
164.169 9.97778 21.749 1.36215
