# t V_complet V_tronque w_complet w_tronque xc yc zc n_regions
# recalcul a posteriori par src/diag_volume.c (sommes completes)
161.00 2125.8145 2031.9837 5.044183 5.260849 91.9185 90.8637 64.6420 1
166.00 2121.5006 2024.7991 -2.782722 -2.580261 83.0124 66.4984 64.9454 1
171.00 2123.6042 2030.6865 -0.805560 -0.587449 91.6184 51.8671 66.5321 1
176.00 2120.4847 2019.0685 0.247654 0.582121 93.6068 39.6794 67.6598 1
181.00 2119.1379 2014.5054 -1.243716 -0.924624 88.4288 53.4679 68.3911 1
186.00 2115.0330 2015.2182 0.162048 0.501901 74.5049 45.4430 70.5816 1
191.00 2108.2756 2017.1307 -0.766124 -0.460192 74.5671 24.4029 69.9531 1
196.00 2104.3409 2006.5703 -0.256300 0.082529 40.6226 29.1947 71.3895 1
201.00 2102.6786 2001.8475 1.066822 1.404645 49.7387 18.9138 72.6535 1
206.00 2094.3661 2000.0281 1.380591 1.699260 6.6083 8.9766 67.1292 1
211.00 2099.2315 2007.3066 -1.767737 -1.517814 25.9484 9.2847 66.2367 1
216.00 2105.9486 2016.2611 0.727074 1.017161 30.4010 15.9347 71.7462 1
221.00 2100.6494 2000.4404 1.272396 1.631573 8.2334 10.8125 72.1296 1
226.00 2105.1426 2012.9086 2.114109 2.427124 42.4211 19.4985 71.6000 1
231.00 2104.0488 1997.6973 -0.053787 0.327410 36.4091 9.7752 74.5118 1
236.00 2104.7576 2003.5006 0.806962 1.143229 51.8763 25.4027 75.3056 1
241.00 2101.5788 2011.3189 -0.943335 -0.666515 36.8115 25.2719 73.6081 1
246.00 2092.4703 1989.3908 0.712928 1.051873 4.5119 15.5814 68.3158 1
251.00 2093.0288 1996.0357 -0.146884 0.182241 0.7047 22.4671 67.6729 1
256.00 2091.3044 2000.7398 0.867090 1.127751 7.6122 119.2323 67.5291 1
261.00 2091.2025 1993.7555 0.163580 0.518965 19.6348 101.2005 70.5755 1
266.00 2095.1210 1998.6807 1.341446 1.668063 24.4950 117.9293 71.6711 1
271.00 2095.7620 1995.7461 -2.131433 -1.875563 28.7041 111.4539 72.0836 1
276.00 2082.9622 1984.0838 0.416785 0.737327 19.0463 83.5959 71.7762 1
