# t V_complet V_tronque w_complet w_tronque xc yc zc n_regions
# recalcul a posteriori par src/diag_volume.c (sommes completes)
161.00 2126.0588 2033.4826 3.584916 3.793349 32.5612 89.2457 64.8912 1
166.00 2134.6348 2035.5138 1.604825 1.933157 28.2064 1.0717 66.9988 1
171.00 2144.3249 2049.4804 0.992825 1.318469 59.4875 3.4330 72.0625 1
176.00 2137.4140 2038.9568 2.387978 2.677216 47.9421 98.1654 68.4887 1
181.00 2144.9001 2045.6457 -1.923977 -1.690099 76.6024 118.9153 71.8639 1
186.00 2148.8374 2053.4395 0.132448 0.331765 100.0906 105.2894 69.1721 1
191.00 2143.4508 2048.4176 -2.191579 -2.006994 79.7019 99.6118 67.6354 1
196.00 2153.5156 2058.9827 1.004488 1.284653 2.4912 100.5154 65.1569 1
201.00 2157.6238 2057.8287 -0.252543 0.074332 28.1439 109.9762 66.6745 1
206.00 2158.2363 2060.3554 0.062816 0.301000 31.9451 98.5580 64.9655 1
211.00 2156.5207 2053.0528 0.360709 0.690956 27.5803 93.3514 69.5109 1
216.00 2158.5523 2059.9158 -1.880900 -1.574922 33.0389 105.7134 67.3647 1
221.00 2155.5375 2058.3258 0.698607 1.025681 22.7589 104.2377 67.0575 1
226.00 2159.2241 2061.0125 1.056685 1.352820 27.1760 117.7142 70.7670 1
231.00 2164.5139 2061.8662 1.592556 1.904280 68.5909 119.5976 66.5899 1
236.00 2158.6003 2056.0608 0.125881 0.422380 84.8544 75.8608 70.7439 1
241.00 2156.4818 2061.2336 -3.051627 -2.864198 83.6206 83.2874 67.2665 1
246.00 2164.9661 2067.5155 1.994317 2.326880 5.9981 49.6589 68.7314 1
251.00 2163.3153 2068.2319 0.291145 0.485879 2.0972 56.2380 63.8615 1
256.00 2167.3856 2070.1599 1.894830 2.212625 16.2456 75.0240 69.8553 1
261.00 2168.9004 2071.1041 1.155857 1.383614 49.4758 57.6545 63.4044 1
266.00 2176.5134 2079.2554 0.735291 1.018555 73.5173 68.2486 69.2145 1
271.00 2183.1451 2081.3099 -0.319658 -0.014583 81.9929 90.6310 76.6631 1
276.00 2175.1164 2070.9256 2.200656 2.504031 65.1395 68.2628 70.3848 1
