# t frame_uz frame_z ub_dans_repere
160.009 -0.0335781 -0.000191889 -3.92789
160.037 -0.133958 -0.00278397 -3.48483
160.075 -0.252389 -0.010729 -2.84087
160.12 -0.359366 -0.0251531 -2.07164
160.17 -0.438513 -0.0453859 -1.30225
160.222 -0.483055 -0.0697015 -0.569605
160.275 -0.491191 -0.0960249 0.11395
160.33 -0.463819 -0.122097 0.750247
160.385 -0.404151 -0.145743 1.29864
160.44 -0.3159 -0.165368 1.7629
160.496 -0.205246 -0.179415 2.09772
160.552 -0.0809414 -0.186771 2.28079
160.608 0.0484344 -0.186961 2.31426
160.664 0.176096 -0.179946 2.25184
160.72 0.297304 -0.165979 2.10341
160.776 0.408774 -0.145547 1.91447
160.832 0.508834 -0.119248 1.69475
160.888 0.595483 -0.0877928 1.44734
160.944 0.668355 -0.0519495 1.19852
161 0.727508 -0.0124911 0.958571
161.056 0.772563 0.0299577 0.705664
161.112 0.803853 0.0744783 0.463168
161.169 0.821169 0.120287 0.208399
161.225 0.823865 0.166579 -0.0615785
161.281 0.811031 0.212505 -0.347893
161.337 0.781783 0.257158 -0.64036
161.393 0.734545 0.299571 -0.973848
161.449 0.668494 0.338696 -1.30943
161.506 0.583945 0.37348 -1.62297
161.562 0.48338 0.402964 -1.89606
161.618 0.368648 0.426314 -2.14028
161.674 0.241385 0.442788 -2.34833
161.73 0.103474 0.451742 -2.51842
161.787 -0.0429429 0.452657 -2.66417
161.843 -0.196635 0.445094 -2.78092
161.899 -0.355424 0.428714 -2.85402
161.955 -0.516857 0.40331 -2.88082
162.011 -0.67886 0.368813 -2.88376
162.067 -0.840431 0.325224 -2.86647
162.124 -0.999402 0.272629 -2.79742
162.18 -1.15315 0.211271 -2.68518
162.236 -1.29826 0.141549 -2.50664
162.292 -1.43126 0.0640675 -2.26806
162.348 -1.54941 -0.0203956 -1.98355
162.404 -1.65037 -0.110925 -1.66687
162.461 -1.73234 -0.206502 -1.30665
162.517 -1.79327 -0.305974 -0.934709
162.573 -1.83353 -0.40817 -0.565409
162.629 -1.8529 -0.511923 -0.197997
162.685 -1.85186 -0.616073 0.15858
162.742 -1.83141 -0.719506 0.501268
162.798 -1.79264 -0.821167 0.813524
162.854 -1.73713 -0.920077 1.09977
162.91 -1.66635 -1.01535 1.36733
162.966 -1.58155 -1.10617 1.60291
163.022 -1.48423 -1.19179 1.81823
163.079 -1.37557 -1.27156 2.01415
163.135 -1.25643 -1.34487 2.18567
163.191 -1.12884 -1.41119 2.33192
163.247 -0.994456 -1.47011 2.43493
163.303 -0.854254 -1.52127 2.536
163.36 -0.708839 -1.56438 2.61806
163.416 -0.559786 -1.59919 2.673
163.472 -0.408376 -1.62555 2.70562
163.528 -0.255628 -1.64335 2.73158
163.584 -0.10184 -1.65253 2.74083
163.64 0.0522891 -1.65306 2.74918
163.697 0.206729 -1.64491 2.74687
163.753 0.360619 -1.62811 2.73487
163.809 0.513909 -1.60268 2.72246
163.865 0.667171 -1.56864 2.72791
163.921 0.819648 -1.52602 2.7052
163.978 0.971366 -1.47485 2.69001
164.034 1.12124 -1.41522 2.65352
164.09 1.2689 -1.34724 2.6097
164.146 1.41324 -1.27107 2.54274
164.202 1.55382 -1.18691 2.47053
164.258 1.68919 -1.09503 2.36938
164.315 1.81827 -0.995753 2.24943
164.371 1.93992 -0.889466 2.11194
164.427 2.05247 -0.776649 1.93022
164.483 2.15591 -0.657809 1.7686
164.539 2.24865 -0.533513 1.56287
164.596 2.33048 -0.404374 1.37441
164.652 2.39989 -0.27105 1.13919
164.708 2.45667 -0.134253 0.916595
164.764 2.49986 0.00528035 0.670107
164.82 2.52959 0.146782 0.436067
164.876 2.54631 0.289514 0.209652
164.933 2.55088 0.432774 -0.00624229
164.989 2.54285 0.575868 -0.23185
165.045 2.52283 0.718101 -0.43882
165.101 2.49204 0.85884 -0.617094
165.157 2.45262 0.997548 -0.757665
165.213 2.40604 1.13379 -0.876103
165.27 2.35385 1.26723 -0.961363
165.326 2.29771 1.39759 -1.01886
165.382 2.23982 1.52472 -1.03263
165.438 2.18225 1.64861 -1.01418
165.494 2.12655 1.76932 -0.975124
165.551 2.07383 1.88699 -0.910414
165.607 2.0253 2.00185 -0.830573
165.663 1.98181 2.11414 -0.737417
165.719 1.94365 2.22416 -0.640561
165.775 1.91102 2.33223 -0.541511
165.831 1.88375 2.43865 -0.446808
165.888 1.86199 2.54372 -0.348299
165.944 1.84591 2.64776 -0.247045
166 1.83532 2.75108 -0.149806
166.056 1.8307 2.854 -0.0362645
166.112 1.8326 2.95688 0.0826208
166.169 1.84139 3.0601 0.20742
166.225 1.85773 3.16407 0.34945
166.281 1.88258 3.26923 0.506685
166.337 1.91697 3.37611 0.684158
166.393 1.96178 3.48527 0.875404
166.449 2.01793 3.59732 1.08666
166.506 2.08661 3.71294 1.31281
166.562 2.16836 3.83286 1.5504
166.618 2.2637 3.95783 1.79655
166.674 2.37292 4.08862 2.04376
166.73 2.49566 4.22601 2.27778
166.787 2.63133 4.37073 2.50287
166.843 2.77888 4.52349 2.70397
166.899 2.93736 4.6849 2.89624
166.955 3.1061 4.85556 3.07271
167.011 3.28389 5.03602 3.21984
167.067 3.46901 5.22671 3.34609
167.124 3.66065 5.42803 3.45183
167.18 3.85764 5.64031 3.5447
167.236 4.05952 5.86382 3.6219
167.292 4.26422 6.09877 3.65376
167.348 4.47056 6.34528 3.68284
167.404 4.67765 6.60342 3.67726
167.461 4.88398 6.87317 3.66335
167.517 5.08915 7.15447 3.64471
167.573 5.29299 7.44726 3.62006
167.629 5.49521 7.75144 3.58536
167.685 5.69546 8.06692 3.55457
167.742 5.89405 8.39359 3.52485
167.798 6.09133 8.73137 3.50371
167.854 6.28783 9.0802 3.49246
167.91 6.48372 9.44006 3.48751
167.966 6.67927 9.8109 3.47593
168.022 6.87421 10.1927 3.46827
168.079 7.06903 10.5855 3.46957
168.135 7.26425 10.9892 3.47744
168.191 7.4603 11.4039 3.49315
168.247 7.65766 11.8297 3.51647
168.303 7.85605 12.2665 3.54068
168.36 8.05556 12.7146 3.55872
168.416 8.25623 13.1739 3.58794
168.472 8.45793 13.6446 3.60012
168.528 8.65958 14.1265 3.58646
168.584 8.86038 14.6198 3.56443
168.64 9.05942 15.1243 3.52707
168.697 9.25672 15.6399 3.49867
168.753 9.45198 16.1665 3.4546
168.809 9.64426 16.704 3.39868
168.865 9.83291 17.2522 3.32963
168.921 10.0173 17.8109 3.24958
168.978 10.1975 18.3797 3.17902
169.034 10.3734 18.9586 3.09758
169.09 10.5442 19.5471 3.00237
169.146 10.7095 20.1451 2.90591
169.202 10.87 20.7522 2.82492
169.258 11.0257 21.3681 2.73951
169.315 11.1768 21.9927 2.65607
169.371 11.3231 22.6255 2.57293
169.427 11.4654 23.2665 2.50756
169.483 11.6043 23.9153 2.45015
169.539 11.7402 24.5718 2.3944
169.596 11.873 25.2359 2.34387
169.652 12.0028 25.9073 2.28835
169.708 12.1298 26.5859 2.2438
169.764 12.2543 27.2716 2.19795
169.82 12.3765 27.9641 2.15866
169.876 12.4965 28.6635 2.12531
169.933 12.6148 29.3695 2.09124
169.989 12.7312 30.0822 2.05941
170.045 12.8458 30.8013 2.02622
170.101 12.9585 31.5267 1.99376
170.157 13.0695 32.2585 1.96313
170.213 13.1784 32.9964 1.92592
170.27 13.2857 33.7404 1.89813
170.326 13.3908 34.4903 1.85124
170.382 13.4936 35.2461 1.81522
170.438 13.5939 36.0076 1.76326
170.494 13.6908 36.7746 1.69457
170.551 13.783 37.5468 1.60205
170.607 13.8692 38.3241 1.49237
170.663 13.948 39.106 1.33972
170.719 14.0173 39.8919 1.15764
170.775 14.0755 40.6815 0.945637
170.831 14.1206 41.4738 0.700742
170.888 14.151 42.2682 0.430276
170.944 14.1654 43.0637 0.143344
171 14.1632 43.8595 -0.160056
171.056 14.1442 44.6547 -0.460227
171.112 14.108 45.4481 -0.761242
171.169 14.0556 46.239 -1.04481
171.225 13.9879 47.0265 -1.30541
171.281 13.9063 47.8096 -1.54668
171.337 13.8122 48.5877 -1.75306
171.393 13.7077 49.3602 -1.92543
171.449 13.5947 50.1265 -2.0631
171.506 13.4754 50.8863 -2.16308
171.562 13.3524 51.6392 -2.19873
171.618 13.2288 52.3852 -2.19214
171.674 13.1078 53.1243 -2.12498
171.73 12.9918 53.8567 -2.01569
171.787 12.8833 54.5829 -1.86966
171.843 12.7846 55.3033 -1.67829
171.899 12.6974 56.0185 -1.4675
171.955 12.6225 56.7293 -1.23876
172.011 12.5607 57.4363 -1.00419
172.067 12.5115 58.1402 -0.792335
172.124 12.4732 58.8418 -0.615445
172.18 12.4434 59.5415 -0.479275
172.236 12.4196 60.2397 -0.389973
172.292 12.3994 60.9368 -0.34023
