# t px py pz frame_uz pz_lab  (vitesses barycentriques ; invariant = px, py, pz_lab ~ 0 ; pz seul -> -frame_uz, normal)
160.001 -0.0163515 0.0026596 -0.0349791 2.68049e-05 -0.0349523
160.003 -0.0163527 0.00266035 -0.0357673 0.000817637 -0.0349497
160.006 -0.0163529 0.00266046 -0.037062 0.0021132 -0.0349488
160.009 -0.016353 0.00266071 -0.0388582 0.00390995 -0.0349482
160.014 -0.0163532 0.002661 -0.0410491 0.00610131 -0.0349478
160.019 -0.0163534 0.00266132 -0.0436892 0.00874193 -0.0349473
160.024 -0.0163537 0.0026616 -0.0468339 0.0118873 -0.0349466
160.03 -0.0163541 0.00266188 -0.0505495 0.0156035 -0.034946
160.037 -0.0163545 0.00266217 -0.0547687 0.0198233 -0.0349454
160.044 -0.016355 0.00266235 -0.0597315 0.0247867 -0.0349447
160.051 -0.0163555 0.00266251 -0.06539 0.0304459 -0.0349441
160.059 -0.016356 0.00266265 -0.0717512 0.0368077 -0.0349435
160.067 -0.0163564 0.00266286 -0.0788247 0.043882 -0.0349427
160.075 -0.0163567 0.00266302 -0.0866114 0.0516695 -0.0349419
160.084 -0.0163571 0.0026633 -0.0950714 0.0601303 -0.0349411
160.092 -0.0163575 0.00266358 -0.104271 0.069331 -0.0349403
160.101 -0.016358 0.00266373 -0.114224 0.0792848 -0.0349393
160.111 -0.0163583 0.00266387 -0.124898 0.0899596 -0.0349382
160.12 -0.0163588 0.00266417 -0.136339 0.101402 -0.0349371
160.13 -0.0163596 0.00266463 -0.148466 0.11353 -0.0349361
160.14 -0.0163603 0.00266521 -0.161446 0.126511 -0.034935
160.149 -0.0163611 0.0026657 -0.175148 0.140215 -0.0349336
160.159 -0.0163618 0.0026663 -0.189627 0.154695 -0.0349321
160.17 -0.0163625 0.00266669 -0.204892 0.169961 -0.0349305
160.18 -0.0163631 0.00266699 -0.220952 0.186023 -0.0349289
160.19 -0.0163637 0.00266731 -0.237594 0.202666 -0.0349273
160.2 -0.0163643 0.0026677 -0.255039 0.220113 -0.0349257
160.211 -0.0163649 0.00266799 -0.2733 0.238376 -0.034924
160.222 -0.0163655 0.00266831 -0.292146 0.257224 -0.0349223
160.232 -0.016366 0.00266862 -0.311843 0.276922 -0.0349206
160.243 -0.0163666 0.00266889 -0.332122 0.297203 -0.0349188
160.254 -0.0163672 0.00266918 -0.352976 0.31806 -0.0349169
160.264 -0.0163679 0.00266951 -0.374716 0.339801 -0.0349151
160.275 -0.0163685 0.00266985 -0.397024 0.362111 -0.0349133
160.286 -0.016369 0.0026702 -0.419892 0.38498 -0.0349116
160.297 -0.0163695 0.00267041 -0.443306 0.408396 -0.0349099
160.308 -0.01637 0.00267063 -0.467675 0.432766 -0.0349082
160.319 -0.0163705 0.00267095 -0.492571 0.457664 -0.0349066
160.33 -0.016371 0.00267121 -0.518032 0.483127 -0.034905
160.341 -0.0163714 0.00267155 -0.54402 0.509117 -0.0349032
160.352 -0.0163722 0.00267207 -0.570478 0.535576 -0.0349014
160.363 -0.0163729 0.0026726 -0.597354 0.562455 -0.0348998
160.374 -0.0163735 0.00267297 -0.624683 0.589785 -0.0348981
160.385 -0.0163743 0.00267335 -0.652475 0.617578 -0.0348964
160.396 -0.0163752 0.00267366 -0.680733 0.645838 -0.0348949
160.407 -0.0163757 0.00267409 -0.70944 0.674547 -0.0348931
160.418 -0.0163763 0.00267436 -0.739145 0.704254 -0.0348911
160.429 -0.016377 0.00267471 -0.769317 0.734428 -0.034889
160.44 -0.0163776 0.00267492 -0.799913 0.765026 -0.0348868
160.451 -0.0163781 0.00267535 -0.830939 0.796054 -0.0348848
160.463 -0.0163785 0.00267567 -0.862387 0.827504 -0.0348828
160.474 -0.0163786 0.00267601 -0.894252 0.859371 -0.0348806
160.485 -0.0163787 0.00267653 -0.92653 0.891651 -0.0348784
160.496 -0.016379 0.00267684 -0.959217 0.924341 -0.0348759
160.507 -0.0163796 0.00267709 -0.992296 0.957423 -0.0348734
160.519 -0.0163803 0.00267742 -1.02576 0.990891 -0.0348711
160.53 -0.016381 0.00267772 -1.0596 1.02473 -0.034869
160.541 -0.0163816 0.00267843 -1.09379 1.05892 -0.0348669
160.552 -0.0163822 0.00267918 -1.12833 1.09347 -0.0348647
160.563 -0.016383 0.0026796 -1.16321 1.12835 -0.0348626
160.575 -0.0163841 0.00268029 -1.19842 1.16356 -0.03486
160.586 -0.016385 0.00268105 -1.23397 1.19911 -0.0348575
160.597 -0.0163858 0.00268164 -1.26983 1.23497 -0.0348549
160.608 -0.0163867 0.00268204 -1.30599 1.27114 -0.0348522
160.619 -0.0163876 0.0026825 -1.34246 1.30761 -0.03485
160.631 -0.0163886 0.00268293 -1.37921 1.34436 -0.034848
160.642 -0.0163896 0.00268345 -1.41624 1.3814 -0.0348463
160.653 -0.0163905 0.00268398 -1.4535 1.41865 -0.0348446
160.664 -0.0163912 0.00268441 -1.49099 1.45614 -0.034843
160.675 -0.0163921 0.00268484 -1.52873 1.49389 -0.034841
160.687 -0.016393 0.0026853 -1.56673 1.53189 -0.0348388
160.698 -0.016394 0.00268579 -1.60495 1.57011 -0.0348367
160.709 -0.0163948 0.00268584 -1.64339 1.60856 -0.0348342
160.72 -0.0163961 0.00268611 -1.68205 1.64722 -0.0348318
160.731 -0.0163973 0.00268617 -1.72092 1.68609 -0.0348297
160.743 -0.0163982 0.00268619 -1.75999 1.72516 -0.0348275
160.754 -0.0163989 0.00268621 -1.79924 1.76442 -0.0348253
160.765 -0.0163994 0.00268661 -1.83867 1.80385 -0.0348229
160.776 -0.0164001 0.00268705 -1.87826 1.84344 -0.0348209
160.787 -0.0164009 0.00268749 -1.918 1.88318 -0.034819
160.798 -0.0164018 0.0026876 -1.95791 1.92309 -0.0348172
160.81 -0.0164026 0.00268814 -1.99795 1.96314 -0.0348154
160.821 -0.0164032 0.00268852 -2.03814 2.00332 -0.0348131
160.832 -0.0164039 0.00268903 -2.07846 2.04365 -0.034811
160.843 -0.0164046 0.00268974 -2.1189 2.08409 -0.0348087
160.854 -0.0164059 0.00269085 -2.15942 2.12461 -0.0348064
160.866 -0.0164072 0.00269186 -2.20007 2.16526 -0.0348037
160.877 -0.0164091 0.00269286 -2.24082 2.20602 -0.0348011
160.888 -0.0164109 0.00269396 -2.28169 2.24689 -0.0347983
160.899 -0.0164125 0.00269474 -2.32266 2.28787 -0.0347954
160.91 -0.0164138 0.00269565 -2.36372 2.32893 -0.0347928
160.922 -0.0164149 0.00269594 -2.40487 2.37008 -0.0347901
160.933 -0.0164158 0.00269629 -2.4461 2.41131 -0.0347877
160.944 -0.0164165 0.00269674 -2.48741 2.45262 -0.0347855
160.955 -0.0164171 0.00269696 -2.52881 2.49402 -0.0347833
160.966 -0.0164179 0.00269707 -2.57031 2.53553 -0.0347813
160.978 -0.0164189 0.00269711 -2.61185 2.57707 -0.0347793
160.989 -0.0164198 0.00269738 -2.65345 2.61867 -0.0347771
161 -0.0164207 0.0026976 -2.69512 2.66034 -0.0347753
161.011 -0.0164216 0.00269831 -2.73696 2.70218 -0.0347732
161.022 -0.0164226 0.00269876 -2.77884 2.74407 -0.0347715
161.034 -0.0164235 0.00269911 -2.82075 2.78598 -0.03477
161.045 -0.0164245 0.00269916 -2.86269 2.82793 -0.0347681
161.056 -0.0164251 0.00269946 -2.90466 2.86989 -0.0347659
161.067 -0.0164259 0.00270027 -2.94664 2.91188 -0.0347639
161.079 -0.0164268 0.00270134 -2.98862 2.95386 -0.0347622
161.09 -0.0164276 0.00270272 -3.0306 2.99584 -0.0347603
161.101 -0.0164284 0.00270413 -3.07256 3.03781 -0.0347583
161.112 -0.0164293 0.00270528 -3.11453 3.07978 -0.0347557
161.124 -0.0164302 0.002706 -3.1565 3.12175 -0.0347527
