# t cellules_par_niveau_0_a_15
160.385 0 0 0 0 0 840 141803 908968 0 0 0 0 0 0 0 0
161.506 0 0 0 0 0 1053 142008 893696 0 0 0 0 0 0 0 0
162.629 0 0 0 0 0 1150 143650 874352 0 0 0 0 0 0 0 0
163.753 0 0 0 0 0 968 144022 883024 0 0 0 0 0 0 0 0
164.876 0 0 0 0 0 910 143654 889680 0 0 0 0 0 0 0 0
166 0 0 0 0 0 796 142922 902832 0 0 0 0 0 0 0 0
167.124 0 0 0 0 0 984 143063 889672 0 0 0 0 0 0 0 0
168.247 0 0 0 0 0 1070 141379 897640 0 0 0 0 0 0 0 0
169.371 0 0 0 0 0 1097 141425 895544 0 0 0 0 0 0 0 0
170.482 0 0 0 0 0 943 139966 917072 0 0 0 0 0 0 0 0
171.604 0 0 0 0 0 841 139320 928768 0 0 0 0 0 0 0 0
172.719 0 0 0 0 0 993 140068 913056 0 0 0 0 0 0 0 0
173.843 0 0 0 0 0 1221 140277 896792 0 0 0 0 0 0 0 0
174.966 0 0 0 0 0 1254 137722 915120 0 0 0 0 0 0 0 0
176.09 0 0 0 0 0 1167 138391 915336 0 0 0 0 0 0 0 0
177.213 0 0 0 0 0 985 139687 916616 0 0 0 0 0 0 0 0
178.337 0 0 0 0 0 985 138908 922848 0 0 0 0 0 0 0 0
179.461 0 0 0 0 0 1085 140776 901504 0 0 0 0 0 0 0 0
180.584 0 0 0 0 0 1320 140544 888320 0 0 0 0 0 0 0 0
181.708 0 0 0 0 0 994 138657 924280 0 0 0 0 0 0 0 0
182.831 0 0 0 0 0 755 138455 941192 0 0 0 0 0 0 0 0
183.955 0 0 0 0 0 766 139051 935720 0 0 0 0 0 0 0 0
185.079 0 0 0 0 0 809 140058 924912 0 0 0 0 0 0 0 0
186.202 0 0 0 0 0 839 140367 920520 0 0 0 0 0 0 0 0
187.326 0 0 0 0 0 1007 141826 898096 0 0 0 0 0 0 0 0
188.449 0 0 0 0 0 952 141865 901304 0 0 0 0 0 0 0 0
189.573 0 0 0 0 0 950 140676 910944 0 0 0 0 0 0 0 0
190.697 0 0 0 0 0 1033 142651 889832 0 0 0 0 0 0 0 0
191.82 0 0 0 0 0 958 145464 872128 0 0 0 0 0 0 0 0
192.944 0 0 0 0 0 911 144774 880656 0 0 0 0 0 0 0 0
194.067 0 0 0 0 0 1275 143182 870096 0 0 0 0 0 0 0 0
195.191 0 0 0 0 0 1255 143397 869656 0 0 0 0 0 0 0 0
196.315 0 0 0 0 0 1297 144402 858928 0 0 0 0 0 0 0 0
197.41 0 0 0 0 0 1493 145392 838464 0 0 0 0 0 0 0 0
198.461 0 0 0 0 0 1469 147068 826592 0 0 0 0 0 0 0 0
199.584 0 0 0 0 0 1600 145227 832936 0 0 0 0 0 0 0 0
200.708 0 0 0 0 0 1656 144022 838992 0 0 0 0 0 0 0 0
201.831 0 0 0 0 0 1715 145289 825080 0 0 0 0 0 0 0 0
202.955 0 0 0 0 0 1729 147285 808216 0 0 0 0 0 0 0 0
204.079 0 0 0 0 0 1411 146284 836576 0 0 0 0 0 0 0 0
205.199 0 0 0 0 0 1424 143056 861568 0 0 0 0 0 0 0 0
206.315 0 0 0 0 0 1408 146510 834960 0 0 0 0 0 0 0 0
207.438 0 0 0 0 0 1310 145314 850800 0 0 0 0 0 0 0 0
208.562 0 0 0 0 0 1221 144209 865336 0 0 0 0 0 0 0 0
209.685 0 0 0 0 0 1258 142030 880400 0 0 0 0 0 0 0 0
210.809 0 0 0 0 0 1319 141399 881544 0 0 0 0 0 0 0 0
211.933 0 0 0 0 0 1385 139244 894560 0 0 0 0 0 0 0 0
213.056 0 0 0 0 0 1120 139262 911376 0 0 0 0 0 0 0 0
214.18 0 0 0 0 0 1014 139926 912848 0 0 0 0 0 0 0 0
215.303 0 0 0 0 0 960 142044 899360 0 0 0 0 0 0 0 0
216.427 0 0 0 0 0 764 143361 901368 0 0 0 0 0 0 0 0
217.551 0 0 0 0 0 726 138763 940584 0 0 0 0 0 0 0 0
218.674 0 0 0 0 0 871 140067 920872 0 0 0 0 0 0 0 0
219.798 0 0 0 0 0 1014 140423 908872 0 0 0 0 0 0 0 0
220.921 0 0 0 0 0 1033 139824 912448 0 0 0 0 0 0 0 0
222.045 0 0 0 0 0 932 139336 922816 0 0 0 0 0 0 0 0
223.169 0 0 0 0 0 938 138327 930504 0 0 0 0 0 0 0 0
224.292 0 0 0 0 0 861 138103 937224 0 0 0 0 0 0 0 0
225.416 0 0 0 0 0 692 138538 944560 0 0 0 0 0 0 0 0
226.539 0 0 0 0 0 634 137710 954896 0 0 0 0 0 0 0 0
227.663 0 0 0 0 0 683 140148 932256 0 0 0 0 0 0 0 0
228.787 0 0 0 0 0 814 140735 919176 0 0 0 0 0 0 0 0
229.91 0 0 0 0 0 787 138086 942096 0 0 0 0 0 0 0 0
231.034 0 0 0 0 0 907 139123 926120 0 0 0 0 0 0 0 0
232.157 0 0 0 0 0 1024 140515 907496 0 0 0 0 0 0 0 0
233.281 0 0 0 0 0 1070 142215 890952 0 0 0 0 0 0 0 0
234.404 0 0 0 0 0 1028 143109 886488 0 0 0 0 0 0 0 0
235.528 0 0 0 0 0 902 145735 873544 0 0 0 0 0 0 0 0
236.652 0 0 0 0 0 903 146114 870448 0 0 0 0 0 0 0 0
237.775 0 0 0 0 0 956 146368 865024 0 0 0 0 0 0 0 0
238.899 0 0 0 0 0 991 143664 884416 0 0 0 0 0 0 0 0
240.022 0 0 0 0 0 890 141784 905920 0 0 0 0 0 0 0 0
241.146 0 0 0 0 0 1049 139746 912048 0 0 0 0 0 0 0 0
242.27 0 0 0 0 0 1170 140753 896248 0 0 0 0 0 0 0 0
243.393 0 0 0 0 0 1210 138669 910360 0 0 0 0 0 0 0 0
244.517 0 0 0 0 0 1100 139695 909192 0 0 0 0 0 0 0 0
245.64 0 0 0 0 0 1005 138233 926968 0 0 0 0 0 0 0 0
246.763 0 0 0 0 0 961 135593 950904 0 0 0 0 0 0 0 0
247.876 0 0 0 0 0 880 137475 941032 0 0 0 0 0 0 0 0
249 0 0 0 0 0 869 136000 953536 0 0 0 0 0 0 0 0
250.124 0 0 0 0 0 645 134593 979128 0 0 0 0 0 0 0 0
251.247 0 0 0 0 0 615 136063 969288 0 0 0 0 0 0 0 0
252.371 0 0 0 0 0 694 135057 972280 0 0 0 0 0 0 0 0
253.494 0 0 0 0 0 779 136682 953840 0 0 0 0 0 0 0 0
254.618 0 0 0 0 0 767 137017 951928 0 0 0 0 0 0 0 0
255.741 0 0 0 0 0 698 136325 961880 0 0 0 0 0 0 0 0
256.865 0 0 0 0 0 625 136266 967024 0 0 0 0 0 0 0 0
257.989 0 0 0 0 0 532 137153 965880 0 0 0 0 0 0 0 0
259.112 0 0 0 0 0 593 139330 944560 0 0 0 0 0 0 0 0
260.236 0 0 0 0 0 733 137413 950936 0 0 0 0 0 0 0 0
261.36 0 0 0 0 0 790 136915 951272 0 0 0 0 0 0 0 0
262.483 0 0 0 0 0 872 138391 934216 0 0 0 0 0 0 0 0
263.607 0 0 0 0 0 910 137910 935632 0 0 0 0 0 0 0 0
264.73 0 0 0 0 0 783 138273 940856 0 0 0 0 0 0 0 0
265.854 0 0 0 0 0 736 138980 938208 0 0 0 0 0 0 0 0
266.978 0 0 0 0 0 773 137231 949832 0 0 0 0 0 0 0 0
268.101 0 0 0 0 0 884 139834 921904 0 0 0 0 0 0 0 0
269.225 0 0 0 0 0 947 138862 925648 0 0 0 0 0 0 0 0
270.348 0 0 0 0 0 950 135968 948608 0 0 0 0 0 0 0 0
271.472 0 0 0 0 0 876 135869 954136 0 0 0 0 0 0 0 0
272.596 0 0 0 0 0 762 136210 958704 0 0 0 0 0 0 0 0
273.699 0 0 0 0 0 619 134339 982824 0 0 0 0 0 0 0 0
274.791 0 0 0 0 0 589 134286 985168 0 0 0 0 0 0 0 0
275.878 0 0 0 0 0 670 135948 966688 0 0 0 0 0 0 0 0
277 0 0 0 0 0 584 133307 993320 0 0 0 0 0 0 0 0
278.124 0 0 0 0 0 488 131794 1011568 0 0 0 0 0 0 0 0
279.247 0 0 0 0 0 394 132126 1014928 0 0 0 0 0 0 0 0
