# t volume xc yc zc ub_x ub_y ub_z width depth height d_eq chi
160.003 2006.97 30.002 89.9992 59.9986 4.53573 -1.71177 -3.22683 14.0625 14.0625 14.0625 15.65 1
160.024 2015.89 30.081 89.9647 59.9369 4.55609 -1.75876 -3.01384 15 15 15 15.6731 1
160.059 2024.75 30.2511 89.9102 59.8362 4.6331 -1.7472 -2.66795 15 15 15 15.6961 1
160.101 2028.37 30.4532 89.8321 59.7301 4.68796 -1.75384 -2.28795 15 15 15 15.7054 1
160.149 2035.64 30.6896 89.7555 59.6204 4.72995 -1.76078 -1.87677 15 15 15 15.7242 1
160.2 2035.83 30.9136 89.6495 59.5328 4.78225 -1.77386 -1.47546 15.9375 15 15 15.7247 1.0625
160.254 2034.22 31.1815 89.5591 59.4621 4.82615 -1.78877 -1.09284 15 15 15 15.7205 1
160.308 2028.79 31.4278 89.4716 59.3994 4.87916 -1.81384 -0.727925 15 15 15 15.7065 1
160.363 2026.12 31.7146 89.3622 59.3641 4.91929 -1.84154 -0.394191 15 15 15 15.6996 1
160.418 2026.8 31.9702 89.2585 59.3463 4.96253 -1.87148 -0.0856307 15 15 15 15.7014 1
160.474 2032.2 32.2497 89.1526 59.3528 5.01335 -1.91316 0.194768 15 14.0625 15 15.7153 1.06667
160.53 2022.25 32.5401 89.0561 59.3516 5.07678 -1.9517 0.466492 15 14.0625 15 15.6896 1.06667
160.586 2022.07 32.8091 88.955 59.3823 5.13298 -1.99774 0.706011 14.0625 14.0625 15 15.6892 1.06667
160.642 2033.08 33.0958 88.838 59.4234 5.19105 -2.03903 0.888797 15 15 15 15.7176 1
160.698 2029.01 33.3989 88.7229 59.4607 5.25269 -2.06899 1.08263 15 15 15 15.7071 1
160.754 2027.23 33.6928 88.6073 59.5081 5.31941 -2.09616 1.23921 15 15 15 15.7025 1
160.81 2032.86 33.9799 88.4904 59.5874 5.38336 -2.12036 1.37771 15 15 15 15.717 1
160.866 2031.9 34.2889 88.3753 59.6529 5.43623 -2.13091 1.49589 15 15 15 15.7145 1
