# t V_complet V_tronque w_complet w_tronque xc yc zc n_regions
# recalcul a posteriori par src/diag_volume.c (sommes completes)
161.00 2123.7774 2027.0702 3.115946 3.326207 63.3720 59.2026 61.5776 1
166.00 2130.9537 2032.6605 1.231236 1.562259 60.7542 56.2575 72.5376 1
171.00 2130.7898 2033.0464 -1.116515 -0.771255 66.1224 56.9908 72.5359 1
176.00 2128.9527 2036.0440 -0.203665 0.097892 60.3017 40.9159 71.5978 1
181.00 2124.5256 2022.3615 -1.883052 -1.562402 49.9312 31.6406 72.0762 1
186.00 2123.6433 2025.8451 0.776744 1.105204 58.6008 23.2073 71.0123 1
191.00 2123.4642 2026.3932 -0.004232 0.324496 63.7135 19.3341 71.3592 1
196.00 2128.6464 2032.7154 0.905587 1.253072 67.1629 49.1653 70.4170 1
201.00 2131.2190 2036.1530 0.061224 0.380604 77.6857 44.5889 71.2771 1
206.00 2134.9830 2036.6642 1.382532 1.724978 83.5520 59.1416 72.9523 1
211.00 2130.7889 2031.6076 0.044182 0.380005 76.7211 34.1018 72.2584 1
216.00 2128.3046 2034.7400 0.686473 1.029867 73.8126 46.9796 70.7377 1
221.00 2126.5128 2028.3924 0.275676 0.600982 63.7771 41.2338 72.0847 1
226.00 2126.2117 2020.3533 0.416728 0.768655 58.6264 30.6758 73.5848 1
231.00 2123.6101 2028.3107 0.176105 0.508630 33.7629 45.4043 71.4209 1
236.00 2126.5339 2028.9055 0.295000 0.617789 38.9345 47.7288 73.7186 1
241.00 2125.8316 2026.0539 -0.545944 -0.207470 36.1320 47.2213 74.7050 1
246.00 2122.1973 2025.3051 0.017238 0.380880 28.3333 47.6454 73.4723 1
251.00 2123.3316 2026.6987 0.431872 0.755208 21.5688 67.6130 73.1185 1
256.00 2124.3275 2025.0697 0.447089 0.788218 24.8620 62.3275 73.4417 1
261.00 2123.7417 2022.0195 0.535065 0.902308 22.0207 73.4522 72.8445 1
266.00 2123.9957 2028.6892 -0.162211 0.156386 30.0848 71.1880 73.6288 1
271.00 2124.1945 2030.4357 -0.837062 -0.527994 44.3378 73.0100 73.6618 1
276.00 2128.4755 2024.2474 0.431865 0.791335 45.1299 87.4739 73.8719 1
281.00 2128.8995 2026.2918 -0.033352 0.327647 51.7272 86.1829 74.7989 1
286.00 2127.2562 2031.1324 0.251984 0.599207 51.2106 84.5133 75.0006 1
291.00 2130.5345 2027.2381 -0.144697 0.212584 50.8533 91.5882 75.3748 1
296.00 2127.0898 2034.7647 -0.759469 -0.463787 36.7460 93.0986 73.3269 1
301.00 2126.6623 2024.5359 0.261248 0.603644 34.2955 90.3237 73.7175 1
306.00 2130.4883 2029.7703 1.001921 1.353963 51.1983 92.4793 75.7847 1
