# label z_c u_bulle uz_domaine c1 c2 c3 c4 h1 h2 h3 h4 f1 f2 f3 f4 Vb
# c=cone_sup h=hemisphere f=coquille ; bandes r/D=[1,1.5][1.5,2][2,2.5][2.5,3] ; STOCKE (repere mobile)
161.00 61.5776 3.11595 -1.6526 -1.0169 -0.946289 -1.01221 -1.23071 -1.72105 -1.70827 -2.00496 -2.13688 -2.02008 -1.8361 -1.88696 -1.84083 2123.78
162.00 64.9252 3.21836 -4.98869 -3.68017 -3.73109 -3.93937 -4.19225 -4.6591 -4.93546 -5.3646 -5.42334 -5.15345 -5.21788 -5.38771 -5.31223 2124.85
163.00 67.6921 2.20549 -7.72789 -5.7737 -5.89484 -6.28171 -6.51501 -6.94258 -7.50797 -7.98706 -7.97534 -7.47846 -7.91764 -8.20609 -8.11571 2126.06
164.00 69.5582 1.51158 -9.56751 -6.85118 -7.451 -7.82858 -8.29985 -8.29706 -8.99874 -9.46736 -9.55928 -8.93656 -9.57654 -9.95851 -9.91677 2127.88
165.00 71.0693 1.50495 -11.0596 -8.31339 -9.00046 -9.62613 -10.1694 -9.49772 -10.1599 -10.6404 -10.8723 -10.0817 -10.8192 -11.2731 -11.3555 2129.6
166.00 72.5376 1.23124 -12.5043 -10.1723 -11.0573 -11.6903 -12.2002 -10.7284 -11.5228 -12.052 -12.3387 -11.0288 -11.965 -12.5444 -12.7892 2130.95
167.00 73.4879 0.641289 -13.4281 -11.4584 -12.4547 -13.1947 -13.7048 -11.9404 -12.7532 -13.2818 -13.5438 -11.7106 -12.7059 -13.3299 -13.6675 2131.73
168.00 73.9613 0.269464 -13.8707 -12.1214 -13.3752 -14.1478 -14.561 -12.9281 -13.8447 -14.2836 -14.3625 -12.4186 -13.3171 -13.8223 -14.0435 2132.12
169.00 74.1375 -0.0766392 -14.0155 -13.1489 -14.3762 -14.9687 -15.1215 -13.9273 -14.5886 -14.798 -14.6939 -13.2566 -13.9069 -14.1939 -14.1923 2132.28
170.00 73.6447 -0.954217 -13.486 -13.3217 -14.1576 -14.326 -14.118 -14.1932 -14.4324 -14.2804 -14.0023 -13.5719 -13.8587 -13.7932 -13.6337 2132.22
171.00 72.5359 -1.11651 -12.3539 -11.7278 -12.1112 -12.2145 -12.1508 -13.1514 -13.2016 -12.9866 -12.6812 -12.9489 -13.004 -12.7758 -12.4632 2130.79
172.00 71.6793 -0.518662 -11.485 -10.0327 -10.4432 -10.557 -10.5153 -11.6205 -11.8122 -11.8549 -11.6824 -11.9186 -12.1263 -12.0069 -11.7005 2129.63
173.00 71.5311 0.13985 -11.3228 -9.67754 -9.90408 -10.0922 -10.345 -10.8933 -11.1249 -11.383 -11.545 -11.3401 -11.6879 -11.8352 -11.7223 2129.2
174.00 71.7167 0.0949786 -11.4885 -9.94783 -10.3739 -10.7448 -11.1286 -10.7914 -11.1121 -11.5046 -11.7727 -11.105 -11.5968 -11.9849 -12.0516 2128.81
175.00 71.7578 -0.0491185 -11.5098 -10.5901 -11.09 -11.3687 -11.4641 -11.0026 -11.257 -11.5265 -11.6138 -11.0422 -11.499 -11.9371 -12.0455 2128.27
176.00 71.5978 -0.203665 -11.3322 -10.8023 -10.9655 -11.0327 -11.1244 -10.9634 -11.0316 -11.1228 -11.2303 -10.8819 -11.1551 -11.5102 -11.6865 2128.95
177.00 71.677 0.322826 -11.3962 -10.1774 -10.5066 -10.9939 -11.2591 -10.7969 -10.82 -11.1084 -11.323 -10.8806 -11.0158 -11.3576 -11.5794 2127.93
178.00 72.2148 0.685517 -11.9114 -10.6559 -11.6483 -12.0123 -12.1308 -10.9982 -11.3958 -11.7289 -11.9942 -11.1979 -11.5172 -11.8295 -12.0415 2126.69
179.00 72.9842 0.602059 -12.6531 -12.3707 -13.1103 -13.2237 -13.0895 -12.2196 -12.4361 -12.5808 -12.8497 -11.923 -12.2722 -12.5822 -12.8372 2126.6
180.00 73.1481 -0.37334 -12.7833 -13.2071 -13.4842 -13.1945 -13.1674 -13.2497 -12.9823 -12.8344 -12.9596 -12.5777 -12.4989 -12.6539 -12.936 2126.26
181.00 72.0762 -1.88305 -11.6755 -12.5628 -12.1607 -11.956 -11.9582 -12.6483 -11.9015 -11.6725 -11.743 -12.2985 -11.64 -11.4109 -11.6274 2124.53
182.00 69.7698 -2.18756 -9.35333 -10.1894 -9.91983 -9.69111 -9.75845 -10.4261 -9.58832 -9.25692 -9.41651 -10.4996 -9.59693 -9.09386 -9.16225 2122.11
183.00 68.4497 -0.395258 -8.04739 -8.57589 -8.42134 -8.55539 -8.70974 -8.88291 -8.27648 -8.148 -8.28477 -9.18288 -8.46753 -8.05091 -7.9691 2121.44
184.00 68.8242 0.93257 -8.42228 -8.25342 -8.75401 -9.08523 -9.11157 -8.85474 -8.90566 -8.90296 -8.84813 -9.18906 -9.00663 -8.73017 -8.52346 2121.43
185.00 69.9717 1.16901 -9.55037 -9.36344 -10.1283 -10.2207 -10.0128 -10.0446 -10.2823 -10.2245 -9.96037 -10.121 -10.2047 -10.0072 -9.75153 2123.18
186.00 71.0123 0.776744 -10.5623 -11.0137 -11.2691 -11.0485 -10.9389 -11.2076 -11.2767 -11.1237 -10.8807 -11.0985 -11.164 -10.991 -10.7659 2123.64
187.00 71.5193 0.182307 -11.0412 -11.7792 -11.7383 -11.677 -11.6158 -11.7549 -11.5335 -11.4753 -11.3747 -11.5294 -11.5661 -11.4794 -11.2626 2122.7
188.00 71.5036 -0.236877 -10.9935 -11.6664 -11.8972 -11.8883 -11.7151 -11.8109 -11.5443 -11.4393 -11.3073 -11.5418 -11.4893 -11.4915 -11.2923 2121.79
189.00 71.2261 -0.241172 -10.6884 -11.3273 -11.851 -11.6901 -11.379 -11.5194 -11.426 -11.2075 -10.8996 -11.3673 -11.2413 -11.1679 -11.0069 2122.18
190.00 71.2021 0.121695 -10.6415 -11.4558 -11.8488 -11.551 -11.1641 -11.653 -11.5535 -11.1515 -10.6532 -11.4567 -11.343 -11.0901 -10.8407 2122.58
191.00 71.3592 -0.00423245 -10.7738 -11.5753 -11.7133 -11.3616 -11.0002 -11.9617 -11.8141 -11.1361 -10.485 -11.6189 -11.5925 -11.1365 -10.7768 2123.46
192.00 71.0072 -0.740178 -10.3968 -11.1051 -10.8524 -10.6665 -10.6334 -11.8532 -11.2381 -10.4626 -9.95849 -11.5084 -11.1024 -10.5097 -10.1625 2124.37
193.00 70.0515 -0.988085 -9.42759 -9.87537 -9.80262 -9.56432 -9.42026 -10.6745 -9.87782 -9.16201 -8.96747 -10.7279 -9.94627 -9.19041 -8.9246 2127.64
194.00 69.4524 -0.157181 -8.82525 -9.12958 -8.89287 -8.61353 -8.55625 -9.45295 -8.60581 -8.30397 -8.44367 -9.92968 -8.95653 -8.3523 -8.2402 2128.31
195.00 69.6643 0.505204 -9.02709 -8.88359 -8.67915 -8.55725 -8.24733 -8.71093 -8.287 -8.39909 -8.63627 -9.29087 -8.6977 -8.46217 -8.51585 2128.49
196.00 70.417 0.905587 -9.76431 -9.03404 -9.11216 -8.77988 -8.67743 -8.97415 -8.87351 -8.93405 -9.18777 -9.1968 -9.02474 -9.01919 -9.30775 2128.65
197.00 71.4779 1.04891 -10.8018 -9.60867 -9.74354 -9.81941 -9.86334 -9.96889 -9.77621 -9.85369 -10.2605 -9.82763 -9.71837 -9.90243 -10.3282 2130.57
198.00 72.3812 0.639077 -11.6742 -10.6042 -11.0523 -11.0937 -11.2623 -10.8785 -10.7186 -10.7284 -11.3531 -10.7158 -10.5623 -10.7031 -11.2511 2132.02
199.00 72.6774 -0.29514 -11.934 -11.8156 -12.148 -12.0465 -11.8072 -11.5254 -11.08 -11.2256 -11.7304 -11.3108 -10.9482 -11.0948 -11.6131 2131.84
200.00 71.7954 -1.08742 -11.0308 -11.6523 -11.7526 -11.6931 -11.4639 -10.9289 -10.5754 -10.6339 -10.8507 -10.6375 -10.355 -10.4678 -10.8262 2131.57
201.00 71.2771 0.0612244 -10.5096 -10.484 -11.3015 -11.5964 -11.2446 -10.7693 -10.7104 -10.4685 -10.3564 -10.3142 -10.3061 -10.2826 -10.3934 2131.22
202.00 71.7595 0.67856 -10.9771 -11.4941 -12.1194 -12.0259 -11.5297 -11.7477 -11.7863 -11.2153 -10.7686 -11.1895 -11.162 -10.9198 -10.814 2131.09
203.00 72.1923 0.0322547 -11.3762 -12.0837 -12.103 -11.7592 -11.3121 -12.4801 -12.1864 -11.411 -11.0434 -12.0187 -11.7487 -11.12 -11.0036 2131.34
204.00 71.9789 -0.332696 -11.142 -10.6674 -10.4526 -10.3925 -10.6388 -11.5129 -11.014 -10.8122 -10.9645 -11.5097 -11.1956 -10.7781 -10.7594 2131.62
205.00 71.9565 0.404802 -11.112 -8.50832 -9.12602 -9.99805 -10.7772 -9.90251 -10.4301 -10.8817 -11.2836 -10.4253 -10.7793 -10.9641 -11.0522 2132.88
206.00 72.9523 1.38253 -12.0947 -8.80213 -10.2562 -11.3852 -11.7605 -10.4883 -11.6653 -12.2922 -12.2881 -10.8176 -11.7716 -12.2112 -12.2224 2134.98
207.00 74.0489 0.497961 -13.161 -10.656 -11.9975 -12.4949 -12.5861 -12.0312 -13.2087 -13.337 -13.0767 -11.9457 -13.0673 -13.3237 -13.2403 2135.66
208.00 73.9623 -0.652856 -13.0469 -11.6361 -12.206 -12.1125 -12.2238 -12.6726 -12.9489 -12.8146 -12.7923 -12.4573 -12.9954 -13.0623 -12.9911 2133.4
209.00 73.0361 -0.954992 -12.1095 -11.1297 -11.0704 -11.1075 -11.6983 -11.6286 -11.497 -11.804 -12.1249 -11.7984 -11.886 -12.0328 -12.0898 2131.91
210.00 72.3852 -0.347092 -11.4553 -9.96828 -10.2926 -11.125 -11.8347 -10.6092 -10.8448 -11.4666 -11.8181 -10.9801 -11.2367 -11.546 -11.6201 2131.05
211.00 72.2584 0.0441822 -11.3172 -10.9111 -11.737 -11.9631 -11.7534 -10.8303 -11.4078 -11.7473 -11.5967 -10.8801 -11.4001 -11.6031 -11.5093 2130.79
212.00 72.33 -0.107478 -11.3651 -13.0384 -12.6025 -11.9324 -11.3811 -11.9207 -11.7438 -11.6513 -11.4011 -11.3806 -11.5061 -11.5693 -11.4412 2130.29
213.00 71.9082 -0.66971 -10.9137 -12.2701 -11.542 -10.8857 -10.7056 -11.7086 -11.1665 -10.9 -10.7731 -11.1338 -10.945 -10.8968 -10.8466 2129.83
214.00 71.2971 -0.580272 -10.2781 -10.9509 -10.3568 -10.0887 -10.1254 -10.8521 -10.1488 -10.0953 -10.1162 -10.5746 -10.1081 -10.0976 -10.1204 2128.54
215.00 70.7094 -0.5265 -9.67151 -10.0049 -9.82208 -9.6674 -9.4653 -9.60733 -9.22416 -9.39922 -9.55903 -9.78692 -9.35154 -9.42915 -9.43702 2127.99
216.00 70.7377 0.686473 -9.69644 -9.64015 -9.80163 -9.58877 -9.42303 -9.38292 -9.25737 -9.46076 -9.71725 -9.53375 -9.3512 -9.47841 -9.56284 2128.3
217.00 71.7189 0.946046 -10.6605 -10.2937 -10.3679 -10.3208 -10.1279 -10.3866 -10.3568 -10.5249 -10.4972 -10.2498 -10.3346 -10.4954 -10.5398 2128.55
218.00 72.3178 0.122867 -11.2206 -10.6455 -10.6184 -10.3723 -10.3541 -11.0052 -10.8861 -10.7166 -10.6634 -10.796 -10.838 -10.8497 -10.9215 2128.54
219.00 72.2065 -0.294195 -11.0801 -10.027 -9.93728 -10.0123 -10.4164 -10.8027 -10.4937 -10.2728 -10.485 -10.8505 -10.519 -10.476 -10.7105 2128.08
220.00 71.9676 -0.118483 -10.8238 -9.24967 -9.64137 -10.1736 -10.443 -10.392 -10.202 -10.095 -10.3328 -10.6625 -10.3448 -10.0786 -10.4063 2127.41
221.00 72.0847 0.275676 -10.9258 -9.53551 -10.2673 -10.688 -11.1547 -10.458 -10.4972 -10.4337 -10.6787 -10.7409 -10.6468 -10.3109 -10.4787 2126.51
222.00 72.3871 0.229059 -11.2066 -10.2569 -11.08 -11.8748 -11.8446 -10.8495 -11.0339 -11.1918 -11.2409 -11.0035 -11.0932 -10.9314 -10.8711 2125.75
223.00 72.6215 0.275131 -11.4221 -10.9842 -12.1239 -12.2183 -11.5061 -11.4654 -11.854 -11.7202 -11.1853 -11.4146 -11.5969 -11.4299 -11.0348 2125.58
224.00 72.9334 0.204545 -11.7076 -11.5024 -11.9761 -11.608 -11.2511 -12.4375 -12.4391 -11.5988 -11.0641 -12.0265 -12.1022 -11.6079 -11.2235 2125.48
225.00 73.1487 0.241567 -11.8964 -10.8875 -11.33 -11.4515 -11.6291 -12.5643 -12.0414 -11.4102 -11.3084 -12.3626 -12.0912 -11.6393 -11.4384 2125.61
226.00 73.5848 0.416728 -12.3103 -11.0385 -11.784 -12.1325 -11.9876 -12.2106 -12.0295 -11.9182 -11.8787 -12.6175 -12.3557 -12.0199 -11.871 2126.21
227.00 73.7239 -0.202126 -12.4198 -11.7712 -12.2447 -12.1711 -12.1159 -12.1619 -12.1746 -12.0092 -12.0089 -12.4385 -12.4532 -12.1103 -12.0031 2126.16
