# t V_complet V_tronque w_complet w_tronque xc yc zc n_regions
# recalcul a posteriori par src/diag_volume.c (sommes completes)
161.00 2122.8594 2019.8567 3.735823 3.935459 88.9834 83.2817 63.0178 1
166.00 2128.8649 2036.8834 -1.397792 -1.121664 89.0883 91.1334 68.8459 1
171.00 2133.2829 2038.9026 0.594309 0.907776 101.5108 96.8733 68.2666 1
176.00 2136.3178 2045.5796 1.890796 2.152942 112.0794 116.9778 59.8546 1
181.00 2143.2497 2040.8622 0.326155 0.611074 116.6739 4.6316 68.9909 1
186.00 2136.3662 2043.7460 1.104794 1.366340 10.6759 89.6879 66.4210 1
191.00 2126.3938 2030.6801 -1.552095 -1.349646 104.1454 69.7168 59.8108 1
196.00 2122.7492 2022.7399 0.001885 0.289090 79.8386 47.8649 66.1265 1
201.00 2124.3861 2029.8618 0.602898 0.774535 88.3699 57.3300 60.5766 1
206.00 2131.3077 2030.2385 -1.147881 -0.879503 88.3859 59.4854 73.7506 1
211.00 2123.8368 2026.8840 0.831472 1.121862 62.7375 55.9736 69.9115 1
216.00 2121.8462 2027.3766 -0.488609 -0.272325 69.1949 71.4438 68.1649 1
221.00 2121.4593 2024.1270 -1.265366 -0.980577 70.5332 68.4278 67.2049 1
226.00 2120.8788 2025.9017 -0.398460 -0.199455 73.1006 56.6838 66.8012 1
231.00 2127.3024 2027.6576 1.214019 1.596610 79.7647 58.0468 71.5061 1
236.00 2124.1786 2029.1320 -0.734395 -0.481072 56.4842 70.7222 66.2733 1
241.00 2127.7770 2030.6159 -0.529720 -0.226658 70.6718 76.6212 68.2547 1
246.00 2119.1877 2024.3604 0.593453 0.866537 48.8500 33.8345 68.3082 1
251.00 2116.2699 2021.3545 0.204332 0.506023 68.3437 19.5283 70.2151 1
256.00 2115.3128 2018.2116 -3.488777 -3.241162 74.2563 13.1469 66.5778 1
261.00 2118.1796 2022.2808 -0.488453 -0.154058 82.9867 10.5709 67.4409 1
266.00 2119.0905 2023.4888 0.048017 0.375447 71.2986 19.2405 69.6187 1
271.00 2117.9678 2012.8923 -0.806528 -0.452060 77.5940 11.1126 66.6770 1
276.00 2123.5195 2024.2903 1.473887 1.806264 101.0156 8.9323 67.6772 1
