# t V_complet V_tronque w_complet w_tronque xc yc zc n_regions
# recalcul a posteriori par src/diag_volume.c (sommes completes)
161.00 2124.1058 2033.6481 2.581952 2.770414 62.1605 64.2363 62.0387 1
166.00 2127.9192 2037.3803 0.834903 1.138494 50.7952 78.9500 68.7936 1
171.00 2125.2939 2029.8301 1.645257 1.957492 50.9117 50.6815 69.9910 1
176.00 2125.6328 2031.1208 -0.838108 -0.540642 50.7191 53.3321 70.1824 1
181.00 2123.6812 2027.8018 0.669264 0.985617 36.9426 49.2769 71.9465 1
186.00 2116.0984 2014.3358 -0.723545 -0.392392 28.4598 18.9944 74.7480 1
191.00 2114.1990 2018.8795 -0.386351 -0.052975 37.7445 17.1742 69.9502 1
196.00 2113.6327 2016.7728 -0.113966 0.235030 34.8112 1.1865 71.5887 1
201.00 2114.1570 2025.1265 -2.571559 -2.355525 27.1887 1.1823 73.6686 1
206.00 2114.9789 2012.8374 0.227463 0.550516 50.3665 10.3038 70.2638 1
211.00 2107.4462 2011.7155 0.763525 1.116624 21.0813 5.1630 71.3305 1
216.00 2114.1765 2016.5270 1.717823 2.038708 37.3725 15.5634 70.0655 1
221.00 2113.5059 2015.8120 -0.521421 -0.160886 38.6578 118.8544 70.0894 1
226.00 2114.0251 2018.4049 0.352946 0.624251 43.1532 14.1489 69.2326 1
231.00 2119.1104 2021.1203 -0.466674 -0.141571 70.1621 25.2834 70.3760 1
236.00 2117.8248 2014.8113 0.522080 0.866111 57.9589 19.5694 70.6775 1
241.00 2123.0110 2028.2786 0.302639 0.615318 77.5871 35.4731 71.7451 1
246.00 2122.5088 2030.7228 -0.188356 0.127524 96.0055 19.9530 71.7505 1
251.00 2123.7042 2023.5764 -0.732991 -0.391707 105.1717 23.7742 72.0545 1
256.00 2120.5895 2022.8011 -1.666023 -1.363251 111.8803 6.2367 71.2413 1
261.00 2119.5471 2020.0924 -0.427519 -0.120718 107.7463 7.0267 70.1888 1
266.00 2118.7146 2021.0450 -1.296298 -0.986346 97.5090 119.6980 70.0694 1
271.00 2119.8782 2026.4346 -0.235449 0.051356 107.8730 17.9377 70.5902 1
276.00 2113.5739 2013.2878 -1.481899 -1.242296 94.6047 6.8820 68.4664 1
281.00 2113.2148 2004.9823 0.639733 1.015394 81.9149 24.9002 72.1078 1
286.00 2112.9365 2020.1715 -1.613712 -1.356439 104.8508 8.9320 71.6659 1
291.00 2109.1054 2015.0249 0.856765 1.186316 78.3016 13.7656 73.6046 1
296.00 2110.6592 2014.6053 0.814543 1.140198 95.8001 19.8179 73.1435 1
301.00 2105.8912 2017.0812 1.028214 1.323612 93.8533 113.4134 70.7716 1
306.00 2109.4779 2013.4094 -1.511562 -1.248127 107.4532 113.3214 69.7627 1
