# i t cells coeurs_suggere(~100k/coeur)
19400 207.494 1238119 13
19420 207.719 1246897 13
19440 207.944 1252483 13
19460 208.169 1257642 13
19480 208.393 1262535 13
19500 208.618 1266693 13
19520 208.843 1265818 13
19540 209.067 1261338 13
19560 209.292 1254317 13
19580 209.517 1248794 13
19600 209.742 1244944 13
19620 209.966 1243320 13
19640 210.191 1242004 13
19660 210.416 1242662 13
19680 210.64 1240058 13
19700 210.865 1237741 13
19720 211.09 1231175 13
19740 211.315 1230041 13
19760 211.539 1227339 13
19780 211.764 1221340 13
19800 211.989 1218365 13
19820 212.213 1219548 13
19840 212.438 1220913 13
19860 212.663 1222355 13
19880 212.888 1221732 13
19900 213.112 1225470 13
19920 213.335 1229992 13
19940 213.56 1238196 13
19960 213.786 1245763 13
19980 214.011 1249347 13
20000 214.236 1249466 13
20020 214.461 1247653 13
20040 214.673 1249445 13
20060 214.829 1251629 13
20080 215.011 1252595 13
20100 215.231 1252105 13
20120 215.454 1249823 13
20140 215.677 1245581 13
20160 215.9 1242249 13
20180 216.124 1241185 13
20200 216.348 1240674 13
20220 216.573 1243467 13
20240 216.798 1247289 13
20260 217.022 1253281 13
20280 217.247 1253918 13
20300 217.472 1252686 13
20320 217.697 1248752 13
20340 217.921 1248381 13
20360 218.146 1244692 13
20380 218.371 1246806 13
20400 218.596 1250432 13
20420 218.82 1251930 13
20440 219.032 1250663 13
20460 219.253 1247863 13
20480 219.476 1246435 13
20500 219.699 1248486 13
20520 219.922 1247562 13
20540 220.146 1245196 13
20560 220.371 1240555 13
20580 220.596 1240667 13
20600 220.82 1240625 13
20620 221.045 1241304 13
20640 221.27 1245140 13
20660 221.494 1252378 13
20680 221.719 1253960 13
20700 221.944 1253414 13
20720 222.169 1251006 13
20740 222.393 1244447 13
20760 222.618 1240170 13
20780 222.843 1233905 13
20800 223.064 1231672 13
20820 223.277 1230916 13
20840 223.477 1228578 13
20860 223.667 1221242 13
20880 223.881 1215306 13
20900 224.101 1211029 13
20920 224.326 1212226 13
20940 224.551 1216615 13
20960 224.775 1214508 13
20980 225 1214137 13
21000 225.225 1210581 13
21020 225.449 1205800 13
21040 225.674 1199213 12
21060 225.899 1186487 12
21080 226.124 1177646 12
21100 226.348 1168567 12
21120 226.573 1158396 12
21140 226.798 1154819 12
21160 227 1156037 12
21180 227.224 1159656 12
21200 227.449 1163317 12
21220 227.674 1170163 12
21240 227.899 1175588 12
21260 228.124 1183022 12
21280 228.348 1186837 12
21300 228.573 1185801 12
21320 228.798 1190183 12
21340 229.01 1190449 12
