# t frame_uz frame_z ub_dans_repere
160.001 3.87892e-05 3.99477e-08 0.0376643
160.019 0.0122673 0.000128492 0.735989
160.051 0.0403199 0.00105067 0.963628
160.092 0.0869079 0.00384789 1.22228
160.14 0.15232 0.00974484 1.50123
160.19 0.23685 0.0199471 1.78327
160.243 0.339327 0.0356261 2.04808
160.297 0.458095 0.0577151 2.2999
160.352 0.592296 0.0872517 2.52886
160.407 0.737685 0.124535 2.72856
160.463 0.89704 0.17113 2.92381
160.519 1.06656 0.226994 3.09504
160.575 1.24494 0.29265 3.24259
160.631 1.43155 0.36857 3.38746
160.687 1.6252 0.455176 3.50571
160.743 1.825 0.552834 3.60583
160.798 2.02933 0.661833 3.6815
160.854 2.23747 0.782402 3.74022
160.91 2.44844 0.914719 3.7877
160.966 2.66169 1.05893 3.81992
161.022 2.87626 1.21535 3.83094
161.079 3.09148 1.38419 3.82999
161.135 3.30656 1.56512 3.82606
161.191 3.52077 1.75811 3.80333
161.247 3.73359 1.96309 3.77686
161.303 3.94433 2.17995 3.73493
161.36 4.15307 2.40859 3.70278
161.416 4.35999 2.64889 3.66985
161.472 4.56487 2.90075 3.63021
161.528 4.76732 3.16404 3.58626
161.584 4.96745 3.43862 3.54517
161.64 5.16494 3.72436 3.4963
161.697 5.36001 4.02111 3.45627
161.753 5.55274 4.32874 3.41301
161.809 5.7431 4.64712 3.36914
161.865 5.93083 4.97611 3.32199
161.921 6.11587 5.31555 3.27454
161.978 6.29834 5.6653 3.23241
162.034 6.47822 6.02521 3.18471
162.09 6.65526 6.39514 3.12635
162.146 6.82896 6.7749 3.06809
162.202 6.99887 7.1643 2.99875
162.258 7.16484 7.56311 2.92363
162.315 7.32673 7.9711 2.85414
162.371 7.48496 8.38806 2.79204
162.427 7.63941 8.81379 2.71837
162.483 7.78969 9.24805 2.64614
162.539 7.93592 9.69062 2.57527
162.596 8.07816 10.1413 2.50301
162.652 8.21636 10.5998 2.4336
162.708 8.35094 11.0659 2.36897
162.764 8.48184 11.5395 2.30374
162.82 8.60915 12.0203 2.24089
162.876 8.73293 12.5082 2.17639
162.933 8.85314 13.0029 2.11562
162.989 8.97054 13.5042 2.07525
163.045 9.08509 14.012 2.02136
163.101 9.19639 14.5262 1.96803
163.157 9.3049 15.0465 1.91122
163.213 9.41073 15.5728 1.86504
163.27 9.51385 16.105 1.81532
163.326 9.61455 16.6429 1.77274
163.382 9.71247 17.1864 1.72274
163.438 9.80767 17.7352 1.67507
163.494 9.90012 18.2894 1.62678
163.551 9.99011 18.8486 1.58657
163.607 10.0781 19.4128 1.5495
163.663 10.164 19.9819 1.51467
163.719 10.2477 20.5557 1.47496
163.775 10.3293 21.1342 1.43441
163.831 10.4085 21.7172 1.39601
163.888 10.4856 22.3045 1.35982
163.944 10.5609 22.8962 1.3278
164 10.6342 23.492 1.29031
164.056 10.7052 24.0918 1.24471
164.112 10.7738 24.6955 1.20562
164.169 10.8403 25.303 1.17101
164.225 10.9052 25.9142 1.14465
164.281 10.9688 26.529 1.12272
164.337 11.0316 27.1474 1.11573
164.393 11.0936 27.7692 1.09893
164.449 11.1552 28.3945 1.09493
164.506 11.2159 29.0233 1.07166
164.562 11.2753 29.6554 1.04239
164.618 11.3332 30.2908 1.01959
164.674 11.39 30.9294 1.00563
164.73 11.4461 31.5712 0.995699
164.787 11.5015 32.2161 0.980127
164.843 11.5563 32.8641 0.972327
