# i t cells coeurs_suggere(~100k/coeur)
12880 160.092 196400 2
12900 160.297 196757 2
12920 160.519 197597 2
12940 160.743 198703 2
12960 160.966 199032 2
12980 161.191 199795 2
13000 161.416 200873 3
13020 161.64 200866 3
13040 161.865 200950 3
13060 162.09 200187 3
13080 162.315 199060 2
13100 162.539 198990 2
13120 162.764 198787 2
13140 162.989 198780 2
13160 163.213 198738 2
13180 163.438 199025 2
13200 163.663 199515 2
13220 163.888 199676 2
13240 164.112 199739 2
13260 164.337 200306 3
13280 164.562 199991 2
13300 164.787 200873 3
13320 165.011 200733 3
13340 165.236 201825 3
13360 165.461 201706 3
13380 165.685 201258 3
13400 165.91 201111 3
13420 166.135 200047 3
13440 166.36 200145 3
13460 166.584 200159 3
13480 166.809 200047 3
13500 167.034 200614 3
13520 167.258 200068 3
13540 167.483 200306 3
13560 167.708 199606 2
13580 167.933 200586 3
13600 168.157 199158 2
13620 168.382 199543 2
13640 168.607 200250 3
13660 168.831 200642 3
13680 169.056 201461 3
13700 169.281 201993 3
13720 169.506 202441 3
13740 169.73 204121 3
13760 169.955 204744 3
13780 170.18 205192 3
13800 170.404 206893 3
13820 170.629 207369 3
13840 170.854 207691 3
13860 171.079 208272 3
13880 171.303 208440 3
13900 171.528 209623 3
13920 171.753 210085 3
13940 171.978 210232 3
13960 172.202 210869 3
13980 172.427 211534 3
14000 172.652 212822 3
14020 172.876 213347 3
14040 173.101 213403 3
14060 173.326 213823 3
14080 173.551 213844 3
14100 173.775 214005 3
14120 174 213928 3
14140 174.225 214061 3
14160 174.449 213592 3
14180 174.674 213151 3
14200 174.899 213375 3
14220 175.124 213508 3
14240 175.348 212367 3
14260 175.573 211807 3
14280 175.798 211009 3
14300 176.022 210239 3
14320 176.247 209581 3
14340 176.472 209105 3
14360 176.697 207929 3
14380 176.921 207145 3
14400 177.146 207152 3
14420 177.371 206907 3
14440 177.596 206746 3
14460 177.82 205920 3
14480 178.045 204310 3
14500 178.27 203981 3
14520 178.494 203092 3
14540 178.719 202049 3
14560 178.944 201391 3
14580 179.169 200019 3
14600 179.393 199830 2
14620 179.618 199368 2
14640 179.843 198535 2
14660 180.067 199207 2
14680 180.292 198773 2
14700 180.517 199228 2
14720 180.742 200383 3
14740 180.966 200775 3
14760 181.191 200306 3
14780 181.416 200803 3
14800 181.64 201356 3
14820 181.865 200285 3
14840 182.09 200866 3
14860 182.315 199557 2
14880 182.539 199137 2
14900 182.764 198689 2
14920 182.989 196897 2
14940 183.213 196288 2
14960 183.438 195091 2
14980 183.663 193852 2
15000 183.888 192382 2
15020 184.112 190898 2
15040 184.337 188770 2
15060 184.562 187951 2
15080 184.787 186593 2
15100 185.011 186040 2
15120 185.236 185844 2
15140 185.461 184808 2
15160 185.685 184829 2
15180 185.91 184612 2
15200 186.135 185039 2
15220 186.36 185480 2
15240 186.584 185837 2
15260 186.809 185074 2
15280 187.034 185592 2
15300 187.258 186117 2
15320 187.483 186404 2
15340 187.708 187160 2
15360 187.933 187692 2
15380 188.157 188420 2
15400 188.382 189267 2
15420 188.607 189407 2
15440 188.831 190177 2
15460 189.056 190884 2
15480 189.281 192319 2
15500 189.506 193075 2
15520 189.73 194769 2
15540 189.955 195448 2
15560 190.18 196582 2
15580 190.404 197856 2
15600 190.629 199865 2
15620 190.854 201608 3
15640 191.079 202420 3
15660 191.303 202714 3
15680 191.528 203988 3
15700 191.753 204940 3
15720 191.978 205052 3
15740 192.202 205493 3
15760 192.427 205010 3
15780 192.652 204149 3
15800 192.876 204282 3
15820 193.101 204233 3
15840 193.326 203351 3
15860 193.551 202616 3
15880 193.775 201685 3
15900 194 201146 3
15920 194.225 201055 3
15940 194.449 200586 3
15960 194.674 200362 3
15980 194.899 198885 2
16000 195.124 198248 2
16020 195.348 198906 2
16040 195.573 198367 2
16060 195.798 197233 2
16080 196.022 197548 2
16100 196.247 198402 2
16120 196.472 197982 2
16140 196.697 197849 2
16160 196.921 198017 2
16180 197.146 198654 2
16200 197.371 199403 2
16220 197.596 199991 2
16240 197.82 201195 3
16260 198.045 202959 3
16280 198.27 203442 3
16300 198.494 204863 3
16320 198.719 206620 3
16340 198.944 207383 3
16360 199.169 207936 3
16380 199.393 209168 3
16400 199.618 210225 3
16420 199.843 211555 3
16440 200.067 211247 3
16460 200.292 212143 3
16480 200.517 212738 3
16500 200.742 212717 3
16520 200.966 213151 3
16540 201.191 214453 3
16560 201.416 214593 3
16580 201.64 215237 3
16600 201.865 215930 3
16620 202.09 216329 3
16640 202.315 216819 3
16660 202.539 217141 3
16680 202.764 217785 3
16700 202.989 217309 3
16720 203.213 216966 3
16740 203.438 217533 3
16760 203.663 216994 3
16780 203.888 217162 3
16800 204.112 217561 3
16820 204.337 217281 3
16840 204.562 217085 3
16860 204.787 215909 3
16880 205.011 215769 3
16900 205.236 213865 3
16920 205.461 212885 3
16940 205.685 211597 3
16960 205.91 210218 3
16980 206.135 208048 3
17000 206.36 206732 3
17020 206.584 205472 3
17040 206.809 204128 3
17060 207.034 202105 3
17080 207.258 200145 3
17100 207.483 198661 2
17120 207.708 198094 2
17140 207.933 197121 2
17160 208.157 196211 2
17180 208.382 195273 2
17200 208.607 194986 2
17220 208.831 194860 2
17240 209.056 193950 2
17260 209.281 193985 2
17280 209.506 194118 2
17300 209.73 194944 2
17320 209.955 194629 2
17340 210.18 194503 2
17360 210.404 194769 2
17380 210.629 194650 2
17400 210.854 195455 2
17420 211.079 195189 2
17440 211.303 196015 2
17460 211.528 196428 2
17480 211.753 196526 2
17500 211.978 196848 2
17520 212.202 197156 2
17540 212.427 197912 2
17560 212.652 198171 2
17580 212.876 197835 2
17600 213.101 197779 2
17620 213.326 198801 2
17640 213.551 198367 2
17660 213.775 198738 2
17680 214 199914 2
17700 214.225 199557 2
17720 214.449 200418 3
17740 214.674 200810 3
17760 214.899 201433 3
17780 215.124 201286 3
17800 215.348 201657 3
17820 215.573 201475 3
17840 215.798 201391 3
17860 216.022 200628 3
17880 216.247 199620 2
17900 216.472 198059 2
17920 216.697 196288 2
17940 216.921 195007 2
17960 217.146 193922 2
17980 217.371 191619 2
18000 217.596 190611 2
18020 217.82 189351 2
18040 218.045 187790 2
18060 218.27 187552 2
18080 218.494 186936 2
18100 218.719 186152 2
18120 218.944 186530 2
18140 219.169 185872 2
18160 219.393 186341 2
18180 219.618 186236 2
18200 219.843 186334 2
18220 220.067 186061 2
18240 220.292 186425 2
18260 220.517 185837 2
18280 220.742 185865 2
18300 220.966 186411 2
18320 221.191 185214 2
18340 221.416 184962 2
18360 221.64 183835 2
18380 221.865 183422 2
18400 222.09 182953 2
18420 222.315 182274 2
18440 222.539 181630 2
18460 222.764 180853 2
18480 222.989 180146 2
18500 223.213 180013 2
