# t V_complet V_tronque w_complet w_tronque xc yc zc n_regions
# recalcul a posteriori par src/diag_volume.c (sommes completes)
161.00 2124.0482 2031.6582 3.776755 3.941306 57.8344 60.4680 63.3821 1
166.00 2121.6689 2024.0134 -2.648352 -2.511113 41.0329 50.0523 66.3815 1
171.00 2115.4057 2013.7779 -0.661646 -0.327828 29.5741 29.1858 69.3145 1
176.00 2113.8236 2018.0675 1.263862 1.552757 110.1205 50.7083 67.6082 1
181.00 2114.9039 2014.0932 -0.641926 -0.360546 12.0657 40.6902 70.1275 1
186.00 2116.9826 2013.3539 -0.546133 -0.183804 29.6706 33.6039 69.2225 1
191.00 2110.4897 2011.3391 -2.874502 -2.627872 23.8059 10.3524 71.2172 1
196.00 2116.8366 2017.4379 0.189745 0.519529 58.9915 98.1258 71.2442 1
201.00 2116.4986 2017.5110 -5.759898 -5.604299 51.8652 90.4823 69.0149 1
206.00 2121.3391 2026.1868 1.404314 1.728691 74.8602 98.3687 69.8126 1
211.00 2123.1636 2018.5452 -0.213928 0.092512 96.7081 89.2145 71.7087 1
216.00 2120.0567 2026.0640 -0.054194 0.229241 87.8963 84.0294 67.5559 1
221.00 2119.2852 2017.3186 -3.492390 -3.341409 90.1255 71.6436 73.0899 1
226.00 2119.0502 2023.8539 1.313375 1.582446 81.9215 84.4854 63.1580 1
231.00 2122.7028 2022.2118 -2.068753 -1.796122 83.1603 94.0705 64.2007 1
236.00 2124.6085 2027.5174 1.363084 1.727852 74.7105 111.1900 66.1111 1
241.00 2123.6429 2023.8470 0.179720 0.443497 65.2875 99.2175 70.3277 1
246.00 2122.4512 2026.5471 -0.972693 -0.696404 42.5644 110.0424 68.0321 1
251.00 2119.8106 2023.9049 -2.053600 -1.775713 19.3594 103.4649 70.5569 1
256.00 2125.9873 2032.9378 0.881430 1.189815 34.4343 109.7685 69.4700 1
261.00 2123.6439 2032.3834 0.377990 0.648728 46.4605 93.2383 66.9160 1
266.00 2128.2179 2027.2962 0.249667 0.539441 68.5081 87.5171 72.9958 1
271.00 2119.1429 2025.3274 0.386049 0.604702 40.3747 58.4099 67.6650 1
276.00 2122.5225 2014.7470 0.336357 0.651287 27.5533 89.8650 69.0236 1
281.00 2119.1966 2019.8967 1.391728 1.709864 28.2065 56.6010 73.8184 1
286.00 2118.1866 2023.6978 -1.937339 -1.778445 23.6509 85.9360 62.1648 1
291.00 2126.4680 2031.2060 2.228168 2.540352 29.7930 107.2129 69.1465 1
296.00 2123.3314 2026.2511 0.152937 0.493580 40.9792 83.8064 73.4256 1
301.00 2124.7392 2030.5791 0.757169 1.025541 44.3644 97.7482 66.4755 1
306.00 2128.2260 2039.1730 1.993878 2.293082 41.3582 3.1403 69.7570 1
