# i t cells coeurs_suggere(~100k/coeur)
15120 160.092 1294280 13
15140 160.297 1291690 13
15160 160.519 1291571 13
15180 160.735 1290171 13
15200 160.947 1292810 13
15220 161.157 1288883 13
15240 161.379 1285544 13
15260 161.601 1280854 13
15280 161.822 1276010 13
15300 162.045 1273238 13
15320 162.27 1271719 13
15340 162.494 1269381 13
15360 162.719 1269682 13
15380 162.944 1268233 13
15400 163.168 1270368 13
15420 163.393 1267974 13
15440 163.614 1264257 13
15460 163.834 1263158 13
15480 164.044 1259364 13
15500 164.269 1254100 13
15520 164.494 1247744 13
15540 164.719 1246974 13
15560 164.944 1246701 13
15580 165.169 1248423 13
15600 165.393 1249053 13
15620 165.618 1249179 13
15640 165.843 1247359 13
15660 166.053 1243383 13
15680 166.274 1241122 13
15700 166.497 1241444 13
15720 166.721 1240653 13
15740 166.944 1239624 13
15760 167.169 1235774 13
15780 167.393 1237832 13
15800 167.616 1247205 13
15820 167.835 1254233 13
15840 168.056 1263095 13
15860 168.279 1271978 13
15880 168.5 1273994 13
15900 168.718 1269346 13
15920 168.935 1259364 13
15940 169.139 1253001 13
15960 169.362 1245714 13
15980 169.586 1242158 13
16000 169.81 1238714 13
16020 170.034 1233940 13
16040 170.258 1231994 13
16060 170.483 1229278 13
16080 170.708 1230426 13
16100 170.933 1230720 13
16120 171.149 1233646 13
16140 171.365 1238252 13
16160 171.588 1240072 13
16180 171.811 1240499 13
16200 172.034 1244972 13
16220 172.258 1247289 13
16240 172.483 1250299 13
16260 172.708 1252021 13
16280 172.933 1249200 13
16300 173.157 1244846 13
16320 173.366 1239946 13
16340 173.587 1239351 13
16360 173.81 1239232 13
16380 174.034 1241857 13
16400 174.258 1239757 13
16420 174.483 1238077 13
16440 174.708 1242193 13
16460 174.933 1243019 13
16480 175.157 1242452 13
16500 175.382 1245896 13
16520 175.607 1244916 13
16540 175.831 1247191 13
16560 176.056 1248353 13
16580 176.281 1248801 13
16600 176.506 1251573 13
16620 176.73 1257600 13
16640 176.955 1256690 13
16660 177.18 1258566 13
16680 177.404 1257607 13
16700 177.629 1255612 13
16720 177.854 1254198 13
16740 178.079 1256242 13
16760 178.303 1256907 13
16780 178.528 1260071 13
16800 178.753 1262969 13
16820 178.978 1264425 13
16840 179.193 1266056 13
16860 179.415 1268688 13
16880 179.64 1264460 13
16900 179.865 1256907 13
16920 180.09 1248766 13
16940 180.315 1248255 13
16960 180.539 1250887 13
16980 180.764 1254569 13
17000 180.989 1256256 13
17020 181.213 1260680 13
17040 181.438 1263704 13
17060 181.66 1266532 13
17080 181.879 1265594 13
17100 182.101 1266392 13
17120 182.326 1262185 13
17140 182.548 1260386 13
17160 182.768 1254429 13
17180 182.979 1250614 13
17200 183.202 1247177 13
17220 183.423 1243089 13
17240 183.645 1240268 13
17260 183.867 1232022 13
17280 184.09 1224693 13
17300 184.315 1226905 13
17320 184.539 1233989 13
17340 184.763 1237727 13
17360 184.978 1239757 13
17380 185.2 1238721 13
17400 185.422 1238476 13
17420 185.644 1234192 13
17440 185.867 1231553 13
17460 186.09 1229306 13
17480 186.315 1227696 13
17500 186.539 1226723 13
17520 186.764 1229796 13
17540 186.989 1231000 13
17560 187.213 1233744 13
17580 187.438 1237937 13
17600 187.663 1242487 13
17620 187.888 1249193 13
17640 188.112 1255941 13
17660 188.336 1259245 13
17680 188.557 1261674 13
17700 188.779 1261317 13
17720 189 1268016 13
17740 189.225 1270172 13
17760 189.449 1270690 13
17780 189.67 1274743 13
17800 189.89 1274085 13
17820 190.087 1268702 13
17840 190.267 1263830 13
17860 190.477 1264257 13
17880 190.699 1261457 13
17900 190.922 1263312 13
17920 191.11 1266931 13
17940 191.317 1267029 13
17960 191.537 1262143 13
17980 191.757 1262437 13
18000 191.964 1258384 13
18020 192.173 1259539 13
18040 192.393 1260008 13
18060 192.614 1259987 13
18080 192.834 1261870 13
18100 193.056 1263879 13
18120 193.281 1264677 13
18140 193.506 1266049 13
18160 193.73 1259945 13
18180 193.955 1263340 13
18200 194.18 1264236 13
18220 194.404 1267407 13
18240 194.629 1266371 13
18260 194.854 1265685 13
18280 195.079 1266630 13
18300 195.297 1270704 13
18320 195.52 1274463 13
18340 195.743 1281484 13
18360 195.967 1283836 13
18380 196.191 1287693 13
18400 196.413 1286342 13
18420 196.635 1286076 13
18440 196.856 1289394 13
18460 197.079 1293146 13
18480 197.301 1295099 13
18500 197.523 1297864 13
18520 197.745 1297276 13
18540 197.967 1296443 13
18560 198.191 1296408 13
18580 198.416 1296016 13
18600 198.64 1288869 13
18620 198.865 1282065 13
18640 199.09 1274785 13
18660 199.315 1270585 13
18680 199.539 1265741 13
18700 199.764 1260631 13
18720 199.979 1257775 13
18740 200.201 1256242 13
18760 200.426 1251468 13
18780 200.651 1247772 13
18800 200.876 1241633 13
18820 201.101 1238588 13
18840 201.326 1234878 13
18860 201.551 1234283 13
18880 201.775 1234017 13
18900 201.981 1232715 13
18920 202.192 1233422 13
18940 202.413 1230468 13
18960 202.635 1227920 13
18980 202.856 1226681 13
19000 203.079 1230769 13
19020 203.273 1235445 13
19040 203.49 1241080 13
19060 203.712 1247268 13
19080 203.933 1249578 13
19100 204.157 1254471 13
19120 204.382 1259371 13
19140 204.607 1260330 13
19160 204.831 1260554 13
19180 205.056 1262850 13
19200 205.281 1265748 13
19220 205.506 1266665 13
19240 205.73 1268240 13
19260 205.955 1264096 13
19280 206.18 1263053 13
19300 206.404 1264943 13
19320 206.629 1265776 13
19340 206.854 1264698 13
19360 207.079 1265125 13
19380 207.303 1266686 13
19400 207.528 1269668 13
19420 207.753 1273420 13
19440 207.978 1278593 13
19460 208.202 1276528 13
19480 208.427 1274106 13
19500 208.652 1274932 13
19520 208.876 1280469 13
19540 209.101 1285404 13
19560 209.326 1286881 13
19580 209.551 1286307 13
