# t volume xc yc zc ub_x ub_y ub_z width depth height d_eq chi n_regions V_tag straddle
# col 1-13 : sommes COMPLETES ponderees (1-f) sur toutes les mailles, centre en moyenne circulaire.
#            (l'ancienne version ne sommait que sur les mailles taguees f<0.5 -> volume sous-estime de ~4.5 %,
#             vitesse verticale biaisee de ~+0.35 en repere mobile. Cf. event bubble dans main.c.)
# col 14-16 : diagnostic fragmentation par tag() (V_tag = plus grosse region ; straddle = bulle a cheval sur un bord).
160.804 2139.29 61.9343 63.3105 61.5273 1.51185 4.99456 2.68854 15.9375 15.4688 15 15.9866 1.0625 1 2093.64 0
160.824 2139.3 61.9639 63.4109 61.5812 1.44634 5.04463 2.68379 15.9375 15.4688 15 15.9866 1.0625 1 2092.05 0
160.844 2139.3 61.9924 63.5124 61.635 1.38495 5.0954 2.67745 15.9375 15.9375 15 15.9867 1.0625 1 2092.13 0
160.864 2139.3 62.0196 63.6147 61.6886 1.32162 5.14056 2.66676 15.9375 15.4688 15 15.9867 1.0625 1 2093.84 0
160.884 2139.31 62.0455 63.718 61.7421 1.2595 5.18841 2.65603 15.9375 15.4688 15 15.9867 1.0625 1 2093.73 0
160.904 2139.32 62.0701 63.8222 61.7953 1.19713 5.23498 2.64412 15.9375 15.4688 15 15.9867 1.0625 1 2093.48 0
160.924 2139.32 62.0936 63.9274 61.8483 1.13558 5.28167 2.63037 15.9375 15.9375 14.5312 15.9867 1.09677 1 2093.04 0
160.944 2139.33 62.1158 64.0334 61.9009 1.07298 5.32246 2.61314 15.9375 15.4688 14.5312 15.9867 1.09677 1 2093.31 0
160.964 2139.34 62.1367 64.1403 61.9532 1.01093 5.36667 2.59534 15.9375 15.4688 15 15.9867 1.0625 1 2093.83 0
160.984 2139.34 62.1565 64.2481 62.0052 0.949748 5.4073 2.57443 15.9375 15.4688 15 15.9868 1.0625 1 2092.78 0
161.004 2139.34 62.175 64.3566 62.0567 0.889357 5.44776 2.5553 16.4062 15.4688 15 15.9868 1.09375 1 2092.95 0
161.024 2139.35 62.1924 64.466 62.1078 0.831065 5.48361 2.53469 16.4062 15.9375 15 15.9868 1.09375 1 2092.28 0
161.044 2139.35 62.2086 64.5761 62.1585 0.774024 5.51943 2.51346 16.4062 15.4688 15 15.9868 1.09375 1 2093.61 0
161.064 2139.35 62.2236 64.6869 62.2087 0.716846 5.55452 2.49103 16.4062 15.4688 15 15.9868 1.09375 1 2093.35 0
161.084 2139.35 62.2375 64.7983 62.2584 0.660045 5.58667 2.46749 16.4062 15.4688 14.5312 15.9868 1.12903 1 2091.39 0
161.104 2139.36 62.2503 64.9105 62.3077 0.605615 5.61802 2.44312 16.4062 15.9375 14.5312 15.9868 1.12903 1 2092.6 0
161.124 2139.36 62.2619 65.0232 62.3565 0.550924 5.64443 2.42073 16.4062 15.4688 14.5312 15.9868 1.12903 1 2094.21 0
161.144 2139.36 62.2725 65.1365 62.4048 0.49479 5.67252 2.39793 16.4062 15.4688 14.5312 15.9868 1.12903 1 2094.13 0
161.164 2139.36 62.282 65.2504 62.4526 0.439372 5.70183 2.37079 16.4062 15.4688 14.5312 15.9868 1.12903 1 2093.13 0
161.184 2139.36 62.2904 65.3648 62.5 0.38476 5.72833 2.34609 16.4062 15.9375 14.5312 15.9868 1.12903 1 2092.74 0
161.204 2139.36 62.2977 65.4797 62.5468 0.331598 5.75218 2.32231 16.4062 15.9375 15 15.9868 1.09375 1 2092.08 0
161.224 2139.36 62.3039 65.5951 62.5933 0.281024 5.77961 2.30076 16.4062 15.4688 15 15.9868 1.09375 1 2092.7 0
161.244 2139.35 62.3091 65.7109 62.6392 0.22803 5.80168 2.27763 16.4062 15.4688 15 15.9868 1.09375 1 2091.89 0
161.264 2139.35 62.3131 65.8272 62.6847 0.170904 5.8168 2.2554 16.4062 15.9375 15 15.9868 1.09375 1 2092.93 0
161.284 2139.34 62.316 65.9439 62.7297 0.11638 5.83385 2.23199 16.4062 15.9375 14.5312 15.9868 1.12903 1 2093.46 0
161.304 2139.34 62.3178 66.0611 62.7742 0.0593416 5.85525 2.20705 16.4062 15.4688 14.5312 15.9868 1.12903 1 2094.38 0
161.324 2139.34 62.3184 66.1786 62.8182 1.0588e-05 5.88292 2.18453 16.4062 15.4688 14.5312 15.9868 1.12903 1 2093.87 0
161.344 2139.34 62.3179 66.2966 62.8618 -0.0617723 5.90367 2.16041 16.4062 15.9375 14.5312 15.9868 1.12903 1 2093.59 0
161.364 2139.33 62.3161 66.4149 62.9048 -0.124351 5.92308 2.13361 16.4062 15.9375 14.5312 15.9867 1.12903 1 2092.93 0
161.384 2139.31 62.3131 66.5337 62.9474 -0.1836 5.93819 2.11012 16.4062 15.4688 14.5312 15.9867 1.12903 1 2091.64 0
161.404 2139.3 62.3089 66.6528 62.9895 -0.245835 5.95126 2.08606 16.4062 15.9375 15 15.9867 1.09375 1 2091.72 0
161.424 2139.3 62.3034 66.7723 63.0311 -0.310361 5.96963 2.06298 16.4062 15.9375 15 15.9867 1.09375 1 2092.71 0
161.444 2139.29 62.2965 66.8922 63.0721 -0.379426 5.991 2.03891 16.4062 15.9375 15 15.9866 1.09375 1 2092.38 0
161.464 2139.29 62.2883 67.0125 63.1127 -0.450347 6.01708 2.01131 15.9375 15.4688 15 15.9866 1.0625 1 2092.76 0
