# t frame_uz frame_z ub_dans_repere
162.844 4.34206 7.49362 0.432952
162.864 4.35084 7.58057 0.443417
162.884 4.35983 7.66769 0.453533
162.904 4.36903 7.755 0.463542
162.924 4.37842 7.84249 0.473715
162.944 4.38799 7.93017 0.48191
162.964 4.39778 8.01805 0.494393
162.984 4.40777 8.10613 0.50351
163.004 4.41796 8.1944 0.513473
163.024 4.42836 8.28289 0.524221
163.044 4.43894 8.37158 0.532906
163.064 4.44968 8.46049 0.540162
163.084 4.46059 8.54961 0.548959
163.104 4.47166 8.63896 0.557624
163.124 4.48293 8.72852 0.566069
163.144 4.49439 8.81832 0.578025
163.164 4.50609 8.90835 0.58938
163.184 4.518 8.99861 0.600161
163.204 4.53011 9.08912 0.609294
163.224 4.54241 9.17987 0.618976
163.244 4.55493 9.27086 0.630198
163.264 4.56767 9.36212 0.641705
163.284 4.58062 9.45362 0.651479
163.304 4.59379 9.54539 0.663971
163.324 4.60722 9.63743 0.67611
163.344 4.62092 9.72974 0.690981
163.364 4.63492 9.82232 0.706749
163.384 4.64924 9.91519 0.721518
163.404 4.66389 10.0084 0.739469
163.424 4.67888 10.1018 0.755437
163.444 4.69425 10.1956 0.776265
163.464 4.70998 10.2896 0.79343
163.484 4.7261 10.384 0.813791
163.504 4.7426 10.4788 0.833969
163.524 4.75955 10.5738 0.856142
163.544 4.77694 10.6692 0.877189
163.564 4.79477 10.765 0.901277
163.584 4.81307 10.8611 0.923953
163.604 4.83186 10.9576 0.949218
163.624 4.85119 11.0544 0.97797
163.644 4.87106 11.1517 1.00453
163.664 4.89149 11.2494 1.03198
163.684 4.91246 11.3474 1.05923
163.704 4.93396 11.4459 1.08589
163.724 4.95602 11.5449 1.11452
163.744 4.97867 11.6443 1.14469
163.764 5.00191 11.7441 1.17368
163.784 5.02577 11.8445 1.20503
163.804 5.05024 11.9453 1.23545
163.824 5.07532 12.0466 1.26617
163.844 5.10102 12.1484 1.29831
163.864 5.12735 12.2507 1.3292
163.884 5.15431 12.3536 1.36024
163.904 5.18194 12.457 1.39744
163.924 5.21017 12.561 1.42391
163.944 5.23901 12.6655 1.45399
163.964 5.26847 12.7707 1.48611
163.984 5.29859 12.8764 1.51863
164.004 5.32933 12.9827 1.54902
164.024 5.36067 13.0897 1.57861
164.044 5.39261 13.1973 1.60864
164.064 5.42515 13.3055 1.63919
164.084 5.45826 13.4144 1.6664
164.104 5.49191 13.524 1.69264
164.124 5.52608 13.6342 1.71867
164.144 5.56077 13.7452 1.74435
164.164 5.59595 13.8568 1.76832
164.184 5.63163 13.9692 1.79298
164.204 5.66775 14.0822 1.81485
164.224 5.70433 14.196 1.8372
164.244 5.74137 14.3106 1.86107
164.264 5.77884 14.4258 1.88161
164.284 5.81672 14.5419 1.90145
164.304 5.855 14.6587 1.92284
164.324 5.89364 14.7762 1.93907
164.344 5.93261 14.8946 1.95418
164.364 5.97189 15.0137 1.97081
164.384 6.01148 15.1336 1.98595
164.404 6.05139 15.2543 2.00095
164.424 6.09161 15.3758 2.01918
164.444 6.13214 15.4981 2.02978
164.464 6.17285 15.6213 2.03852
164.484 6.21377 15.7452 2.04962
164.504 6.25495 15.87 2.06464
164.524 6.29632 15.9956 2.06936
164.544 6.33781 16.122 2.0784
164.564 6.37947 16.2493 2.08582
164.584 6.42128 16.3773 2.09242
164.604 6.46322 16.5063 2.10048
164.624 6.50531 16.636 2.10628
164.644 6.54751 16.7667 2.11628
164.664 6.58982 16.8981 2.11645
164.684 6.63214 17.0304 2.11722
164.704 6.67451 17.1636 2.11967
164.724 6.71695 17.2976 2.12472
164.744 6.75946 17.4324 2.12441
164.764 6.80198 17.5681 2.12613
164.784 6.8445 17.7047 2.12565
164.804 6.88698 17.8421 2.12384
164.824 6.92943 17.9803 2.12113
164.844 6.97183 18.1194 2.11885
164.864 7.01415 18.2594 2.11385
164.884 7.05641 18.4001 2.11202
164.904 7.09859 18.5418 2.10642
164.924 7.14067 18.6843 2.10253
164.944 7.18266 18.8276 2.09695
164.964 7.22455 18.9717 2.09234
164.984 7.26632 19.1167 2.08614
165.004 7.30798 19.2625 2.08074
165.024 7.34951 19.4092 2.0739
165.044 7.39087 19.5567 2.0656
165.064 7.43209 19.705 2.05665
165.084 7.47309 19.8541 2.04558
165.104 7.51393 20.0041 2.03821
165.124 7.55459 20.1549 2.02937
165.144 7.59505 20.3064 2.01894
165.164 7.6353 20.4588 2.00721
165.184 7.67532 20.612 1.99521
165.204 7.71508 20.766 1.98285
165.224 7.75454 20.9208 1.96863
165.244 7.79363 21.0763 1.9479
165.264 7.83249 21.2327 1.93605
165.284 7.87098 21.3898 1.91815
165.304 7.90912 21.5477 1.90019
165.324 7.9469 21.7063 1.88082
165.344 7.98431 21.8657 1.86208
165.364 8.0213 22.0258 1.84222
165.384 8.05789 22.1867 1.82082
165.404 8.09402 22.3483 1.79805
165.424 8.12969 22.5106 1.77367
165.444 8.16487 22.6736 1.74965
165.464 8.19956 22.8373 1.7239
165.484 8.23372 23.0017 1.69704
165.504 8.26735 23.1668 1.67069
165.524 8.30043 23.3325 1.64301
165.544 8.33293 23.4989 1.61274
165.564 8.36481 23.666 1.58357
165.584 8.3961 23.8337 1.55258
165.604 8.42678 24.0019 1.52287
165.624 8.45684 24.1708 1.48842
165.644 8.48622 24.3403 1.45952
165.664 8.51485 24.5104 1.41724
165.684 8.54279 24.681 1.38331
165.704 8.57 24.8522 1.34687
165.724 8.59651 25.0239 1.31042
165.744 8.62232 25.1962 1.2731
165.764 8.64735 25.3689 1.23487
165.784 8.67153 25.5422 1.19279
165.804 8.69492 25.7159 1.15268
165.824 8.71748 25.89 1.11174
165.844 8.73924 26.0647 1.07162
165.864 8.76019 26.2397 1.03259
165.884 8.78031 26.4151 0.989795
165.904 8.7996 26.591 0.948548
165.924 8.81808 26.7672 0.90738
165.944 8.83569 26.9438 0.862555
165.964 8.85244 27.1207 0.819841
165.984 8.86831 27.2979 0.775973
166.004 8.88331 27.4755 0.732271
166.024 8.89744 27.6533 0.689421
166.044 8.91071 27.8314 0.645884
166.064 8.9231 28.0098 0.602257
166.084 8.93461 28.1884 0.557727
166.104 8.94523 28.3672 0.513686
166.124 8.95502 28.5462 0.472599
166.144 8.96394 28.7254 0.42791
166.164 8.97201 28.9048 0.386567
166.184 8.97922 29.0843 0.342874
166.204 8.98555 29.264 0.298199
166.224 8.99101 29.4438 0.256218
166.244 8.99561 29.6237 0.213248
166.264 8.99939 29.8036 0.171891
166.284 9.00236 29.9836 0.132511
166.304 9.0045 30.1637 0.0909335
166.324 9.00582 30.3438 0.0488529
166.344 9.00626 30.5239 0.00419962
166.364 9.00586 30.7041 -0.0336919
166.384 9.00467 30.8842 -0.0752031
166.404 9.00273 31.0642 -0.113219
166.424 9.00002 31.2443 -0.151292
166.444 8.99653 31.4242 -0.189802
166.464 8.99227 31.6041 -0.228052
166.484 8.98725 31.7839 -0.266055
166.504 8.98145 31.9636 -0.304011
166.524 8.9749 32.1431 -0.342938
166.544 8.9676 32.3225 -0.379027
166.564 8.95957 32.5018 -0.415266
166.584 8.95086 32.6809 -0.448309
166.604 8.94145 32.8598 -0.485019
166.624 8.93131 33.0385 -0.521392
166.644 8.92048 33.217 -0.555073
166.664 8.90892 33.3953 -0.590308
166.684 8.89673 33.5733 -0.622376
166.704 8.88397 33.7511 -0.64958
166.724 8.87061 33.9286 -0.681229
166.744 8.85662 34.1058 -0.712074
166.764 8.84199 34.2828 -0.743118
166.784 8.82678 34.4595 -0.771235
166.804 8.81101 34.6358 -0.799473
166.824 8.79471 34.8118 -0.825087
166.844 8.77791 34.9875 -0.849972
166.864 8.76064 35.1629 -0.873635
166.884 8.7429 35.3379 -0.895753
166.904 8.7247 35.5125 -0.919241
166.924 8.70606 35.6868 -0.940716
166.944 8.68702 35.8607 -0.959849
166.964 8.66759 36.0342 -0.979145
166.984 8.64778 36.2073 -0.998541
167.004 8.62761 36.38 -1.01464
167.024 8.60711 36.5523 -1.03146
167.044 8.58632 36.7242 -1.04503
167.064 8.56526 36.8957 -1.05884
167.084 8.54392 37.0667 -1.07206
167.104 8.52236 37.2374 -1.08257
167.124 8.50061 37.4076 -1.09146
167.144 8.47871 37.5773 -1.09721
