# t V_complet V_tronque w_complet w_tronque xc yc zc n_regions
# recalcul a posteriori par src/diag_volume.c (sommes completes)
161.00 2124.2595 2025.2761 3.503002 3.717215 32.9233 27.9897 62.7653 1
166.00 2131.1606 2041.6873 0.262319 0.555120 35.8307 33.9656 70.6779 1
171.00 2135.3866 2039.1152 -1.156566 -0.850935 35.0918 49.9981 74.4003 1
176.00 2135.3884 2040.1360 0.473184 0.814711 47.4353 53.5108 72.2932 1
181.00 2139.7980 2038.7707 -1.532162 -1.225275 51.3477 58.5078 74.6477 1
186.00 2135.3864 2037.3031 -0.207586 0.115689 58.6863 39.9182 72.4257 1
191.00 2128.5034 2030.0494 -0.702654 -0.348172 45.2551 28.3070 70.2841 1
196.00 2130.2602 2031.7235 0.585607 0.921533 51.2602 27.6639 71.7984 1
201.00 2126.4119 2018.8407 0.030531 0.392002 39.5288 23.7839 72.6902 1
206.00 2125.5068 2026.2093 0.005713 0.366355 32.9243 25.4304 73.3084 1
211.00 2126.8900 2025.6688 -0.297560 0.056456 27.0653 36.7918 74.2202 1
216.00 2123.2889 2022.1833 -0.672437 -0.364224 11.7513 36.0427 72.3988 1
221.00 2124.0480 2024.5460 -0.627746 -0.288832 1.8517 37.4934 73.1064 1
226.00 2121.1423 2024.2167 -0.985912 -0.709292 4.3978 30.7606 73.6210 1
231.00 2116.9611 2019.7562 -0.696106 -0.345413 98.0165 32.8872 72.5706 1
236.00 2116.9545 2017.7402 0.884306 1.232139 109.0759 28.4400 72.4323 1
241.00 2115.6273 2018.2936 -0.164681 0.171487 92.4290 34.8182 73.1886 1
246.00 2116.4639 2019.9803 -0.179897 0.122017 102.9105 45.3491 69.6863 1
251.00 2117.7707 2013.0669 -0.180165 0.202477 97.5398 56.0430 71.4970 1
256.00 2115.4057 2017.3833 0.268327 0.628332 100.1652 50.8437 70.1411 1
261.00 2117.8599 2017.6089 -1.061528 -0.744417 100.0326 59.9552 72.1725 1
266.00 2116.6153 2021.9470 -0.689607 -0.372190 91.9799 68.0311 71.0007 1
271.00 2119.2344 2018.5468 0.981728 1.350156 107.4283 70.6563 74.0507 1
276.00 2117.9375 2024.5790 -0.137459 0.188176 97.8113 73.3260 73.3292 1
