# i t cells coeurs_suggere(~100k/coeur)
12880 160.092 144103 2
12900 160.297 144054 2
12920 160.519 144285 2
12940 160.743 144439 2
12960 160.966 144831 2
12980 161.191 144292 2
13000 161.416 142822 2
13020 161.64 142766 2
13040 161.865 141415 2
13060 162.09 139651 2
13080 162.315 139140 2
13100 162.539 138909 2
13120 162.764 137061 2
13140 162.989 136879 2
13160 163.213 135598 2
13180 163.438 135549 2
13200 163.663 135955 2
13220 163.888 135290 2
13240 164.112 136487 2
13260 164.337 135325 2
13280 164.562 135591 2
13300 164.787 135941 2
13320 165.011 135311 2
13340 165.236 135906 2
13360 165.461 136676 2
13380 165.685 136438 2
13400 165.91 137537 2
13420 166.135 138300 2
13440 166.36 138475 2
13460 166.584 139511 2
13480 166.809 140421 2
13500 167.034 140995 2
13520 167.258 141324 2
13540 167.483 141891 2
13560 167.708 142367 2
13580 167.933 142689 2
13600 168.157 144019 2
13620 168.382 144537 2
13640 168.607 145034 2
13660 168.831 146336 2
13680 169.056 146959 2
13700 169.281 147253 2
13720 169.506 148023 2
13740 169.73 148408 2
13760 169.955 148898 2
13780 170.18 149689 2
13800 170.404 150564 2
13820 170.629 150949 2
13840 170.854 151999 2
13860 171.079 153364 2
13880 171.303 153574 2
13900 171.528 154533 2
13920 171.753 155548 2
13940 171.978 155996 2
13960 172.202 156934 2
13980 172.427 157683 2
14000 172.652 157977 2
14020 172.876 158866 2
14040 173.101 158747 2
14060 173.326 159153 2
14080 173.551 159524 2
14100 173.775 159566 2
14120 174 159419 2
14140 174.225 159328 2
14160 174.449 159433 2
14180 174.674 160308 2
14200 174.899 161624 2
14220 175.124 162093 2
14240 175.348 162793 2
14260 175.573 163605 2
14280 175.798 163752 2
14300 176.022 164263 2
14320 176.247 164963 2
14340 176.472 165194 2
14360 176.697 165537 2
14380 176.921 166020 2
14400 177.146 167049 2
14420 177.371 167455 2
14440 177.596 167028 2
14460 177.82 167882 2
14480 178.045 168477 2
14500 178.27 169002 2
14520 178.494 169779 2
14540 178.719 170052 2
14560 178.944 170710 2
14580 179.169 170906 2
14600 179.393 171718 2
14620 179.618 172628 2
14640 179.843 173412 2
14660 180.067 173944 2
14680 180.292 174126 2
14700 180.517 173748 2
14720 180.742 174273 2
14740 180.966 174413 2
14760 181.191 175239 2
14780 181.416 175659 2
14800 181.64 176667 2
14820 181.865 176877 2
14840 182.09 177717 2
14860 182.315 178249 2
14880 182.539 178144 2
14900 182.764 178494 2
14920 182.989 178683 2
14940 183.213 178942 2
14960 183.438 179404 2
14980 183.663 179768 2
15000 183.888 180531 2
15020 184.112 180510 2
15040 184.337 181042 2
15060 184.562 181903 2
15080 184.787 182064 2
15100 185.011 182582 2
15120 185.236 182365 2
15140 185.461 183058 2
15160 185.685 183828 2
15180 185.91 183947 2
15200 186.135 184556 2
15220 186.36 185018 2
15240 186.584 185200 2
15260 186.809 185809 2
15280 187.034 185781 2
15300 187.258 185991 2
15320 187.483 186110 2
15340 187.708 186614 2
15360 187.933 187020 2
15380 188.157 186859 2
15400 188.382 187062 2
15420 188.607 187727 2
15440 188.831 187944 2
15460 189.056 188658 2
15480 189.281 188665 2
15500 189.506 188819 2
15520 189.73 188672 2
15540 189.955 188126 2
15560 190.18 187251 2
15580 190.404 187097 2
15600 190.629 186817 2
15620 190.854 186096 2
15640 191.079 186012 2
15660 191.303 186187 2
15680 191.528 185494 2
15700 191.753 184941 2
15720 191.978 184871 2
