# t volume xc yc zc ub_x ub_y ub_z width depth height d_eq chi n_regions V_tag straddle
# col 1-13 : sommes COMPLETES ponderees (1-f) sur toutes les mailles, centre en moyenne circulaire.
#            (l'ancienne version ne sommait que sur les mailles taguees f<0.5 -> volume sous-estime de ~4.5 %,
#             vitesse verticale biaisee de ~+0.35 en repere mobile. Cf. event bubble dans main.c.)
# col 14-16 : diagnostic fragmentation par tag() (V_tag = plus grosse region ; straddle = bulle a cheval sur un bord).
160.001 2122.62 90.0001 30 60 -0.124012 -0.177642 0.0252744 14.0625 14.0625 14.0625 15.945 1 1 2006.97 0
160.019 2122.19 89.9673 29.9455 60.0141 -1.99222 -3.31489 0.929981 14.0625 15 14.0625 15.9439 1.06667 1 2014.89 0
160.051 2122.53 89.9022 29.8371 60.0486 -2.03724 -3.36963 1.22121 14.0625 15 14.0625 15.9448 1.06667 1 2024.01 0
160.092 2122.36 89.816 29.6959 60.1055 -2.12465 -3.44039 1.53291 15 15 15 15.9443 1 1 2031.28 0
160.14 2122.49 89.7134 29.5319 60.1864 -2.24891 -3.49846 1.89475 15 15 15 15.9447 1 1 2026.04 0
160.19 2122.5 89.5964 29.3529 60.2909 -2.4015 -3.55005 2.24264 15 15.9375 15 15.9447 1.0625 1 2026.01 0
160.243 2122.57 89.4656 29.164 60.4178 -2.58095 -3.58143 2.56562 15 15.9375 15 15.9449 1.0625 1 2033.78 0
160.297 2122.59 89.3222 28.9697 60.5648 -2.75942 -3.5899 2.86761 15 15.9375 15 15.9449 1.0625 1 2026.62 0
160.352 2122.63 89.167 28.7721 60.7306 -2.92011 -3.56223 3.12465 14.0625 15.9375 15 15.945 1.13333 1 2029.34 0
160.407 2122.71 89.0031 28.5767 60.91 -3.0607 -3.4964 3.3414 14.0625 16.875 14.0625 15.9452 1.2 1 2030.44 0
160.463 2122.8 88.8285 28.3822 61.1038 -3.17711 -3.39289 3.50316 14.0625 15.9375 14.0625 15.9455 1.13333 1 2028.09 0
160.519 2123.02 88.6481 28.1943 61.3057 -3.2606 -3.26806 3.62329 15 15.9375 15 15.946 1.0625 1 2032.03 0
160.575 2123.15 88.4633 28.0143 61.5137 -3.32944 -3.12015 3.70745 15 15.9375 15 15.9463 1.0625 1 2030.2 0
160.631 2123.28 88.2752 27.8424 61.7262 -3.37508 -2.96606 3.78288 15 15.9375 15 15.9467 1.0625 1 2032.28 0
160.687 2123.39 88.0849 27.6791 61.9429 -3.4026 -2.80551 3.84904 15 15 14.0625 15.9469 1.06667 1 2030.84 0
160.743 2123.48 87.8929 27.5249 62.1636 -3.42214 -2.63859 3.91873 15 15 14.0625 15.9472 1.06667 1 2023.31 0
160.798 2123.48 87.6997 27.3803 62.3878 -3.44644 -2.47219 3.98411 15 15.9375 15 15.9472 1.0625 1 2032.06 0
160.854 2123.48 87.5056 27.2455 62.6152 -3.48703 -2.29991 4.03945 15 15.9375 15 15.9471 1.0625 1 2029.29 0
160.91 2123.49 87.3093 27.1206 62.8453 -3.52663 -2.1229 4.07526 15 15.9375 14.0625 15.9472 1.13333 1 2031.14 0
160.966 2123.49 87.1102 27.0051 63.0766 -3.57997 -1.95706 4.07826 15.9375 15.9375 14.0625 15.9472 1.13333 1 2026.93 0
161.022 2123.45 86.907 26.8986 63.3075 -3.65903 -1.80169 4.03969 15.9375 15.9375 14.0625 15.9471 1.13333 1 2031.71 0
161.079 2123.46 86.6987 26.8 63.5364 -3.75747 -1.6651 3.96723 15.9375 15 14.0625 15.9471 1.13333 1 2028.7 0
161.135 2123.44 86.4839 26.7088 63.76 -3.88461 -1.54664 3.87119 15 15 14.0625 15.947 1.06667 1 2028.16 0
161.191 2123.51 86.2616 26.6238 63.9771 -4.03069 -1.44451 3.74678 15.9375 15 14.0625 15.9472 1.13333 1 2030.43 0
161.247 2123.39 86.0313 26.5445 64.1873 -4.19041 -1.34801 3.60961 15.9375 15.9375 13.125 15.9469 1.21429 1 2035.08 0
161.303 2123.31 85.7914 26.4703 64.3899 -4.34695 -1.26508 3.47015 15.9375 15.9375 13.125 15.9467 1.21429 1 2027.86 0
161.36 2123.15 85.5422 26.4005 64.5843 -4.507 -1.19627 3.33186 15.9375 15.9375 13.125 15.9463 1.21429 1 2025.95 0
161.416 2122.91 85.2846 26.3343 64.7715 -4.65979 -1.13814 3.20134 15.9375 15.9375 14.0625 15.9457 1.13333 1 2028.27 0
161.472 2122.87 85.0183 26.271 64.9516 -4.79708 -1.08026 3.07377 15.9375 15.9375 13.125 15.9456 1.21429 1 2025.75 0
161.528 2122.86 84.7442 26.2108 65.1246 -4.92313 -1.03421 2.97154 16.875 15.9375 13.125 15.9456 1.28571 1 2032.48 0
161.584 2122.8 84.4644 26.1534 65.2913 -5.01588 -0.984847 2.86313 15.9375 15.9375 13.125 15.9455 1.21429 1 2028.04 0
161.64 2122.75 84.1798 26.0986 65.4531 -5.07909 -0.947143 2.79121 15.9375 15.9375 13.125 15.9453 1.21429 1 2029.82 0
161.697 2122.64 83.8928 26.0459 65.6107 -5.09272 -0.908298 2.72044 16.875 15.9375 13.125 15.945 1.28571 1 2021.91 0
161.753 2122.5 83.606 25.9957 65.7649 -5.07458 -0.859748 2.65224 16.875 15.9375 12.1875 15.9447 1.38462 1 2022.33 0
161.809 2122.45 83.3206 25.9483 65.9159 -5.02698 -0.800424 2.59539 15.9375 15.9375 13.125 15.9446 1.21429 1 2020.23 0
161.865 2122.48 83.0386 25.9042 66.0635 -4.94903 -0.737303 2.5596 16.875 15.9375 13.125 15.9446 1.28571 1 2023.35 0
161.921 2122.54 82.7623 25.8637 66.2086 -4.8283 -0.674452 2.52541 16.875 15.9375 13.125 15.9448 1.28571 1 2020.87 0
161.978 2122.54 82.4932 25.8269 66.3523 -4.68428 -0.609069 2.49669 15.9375 15.9375 13.125 15.9448 1.21429 1 2030.1 0
162.034 2122.56 82.2326 25.7939 66.4945 -4.52785 -0.537533 2.46903 15.9375 15.9375 13.125 15.9448 1.21429 1 2026.59 0
162.09 2122.58 81.9818 25.765 66.6357 -4.33413 -0.458489 2.44023 16.875 15.9375 13.125 15.9449 1.28571 1 2023.25 0
