# t frame_uz frame_z ub_dans_repere
160.001 2.6056e-05 2.68342e-08 0.0253004
160.019 0.0154096 0.000161106 0.93459
160.051 0.051413 0.00133435 1.23026
160.092 0.110629 0.00489766 1.54653
160.14 0.194181 0.012414 1.91346
160.19 0.301618 0.0254115 2.26587
160.243 0.431504 0.04536 2.59327
160.297 0.5814 0.0734161 2.89897
160.352 0.749541 0.110839 3.15937
160.407 0.930509 0.157932 3.37853
160.463 1.12541 0.216525 3.54283
160.519 1.32798 0.286294 3.66432
160.575 1.53601 0.367595 3.74943
160.631 1.74849 0.460692 3.82571
160.687 1.96492 0.565817 3.89262
160.743 2.1852 0.683185 3.9631
160.798 2.4092 0.81301 4.02922
160.854 2.63659 0.95549 4.08518
160.91 2.86664 1.11079 4.1214
160.966 3.09777 1.27902 4.12443
161.022 3.32781 1.46042 4.08559
161.079 3.55505 1.65505 4.01231
161.135 3.77728 1.86229 3.91518
161.191 3.99308 2.08181 3.78936
161.247 4.20126 2.31319 3.65063
161.303 4.40165 2.55601 3.50958
161.36 4.5942 2.80981 3.36972
161.416 4.77904 3.07418 3.23772
161.472 4.95664 3.34868 3.1087
161.528 5.12776 3.63294 3.00531
161.584 5.29311 3.92662 2.89566
161.64 5.45355 4.22941 2.82293
161.697 5.60961 4.54107 2.75136
161.753 5.76178 4.86136 2.68238
161.809 5.91067 5.19009 2.62489
161.865 6.05676 5.52709 2.58869
161.921 6.20093 5.87222 2.55411
161.978 6.34343 6.2254 2.52506
162.034 6.48431 6.58653 2.49708
162.09 6.62366 6.95552 2.46796
162.146 6.76159 7.33229 2.44897
162.202 6.89815 7.71676 2.4159
162.258 7.03292 8.10885 2.38835
162.315 7.16599 8.50845 2.35124
162.371 7.2962 8.91544 2.29528
162.427 7.42308 9.32963 2.22903
162.483 7.54536 9.7508 2.14061
162.539 7.66227 10.1787 2.04386
162.596 7.77339 10.6129 1.92815
162.652 7.87806 11.0532 1.82192
162.708 7.97673 11.4991 1.71102
162.764 8.06943 11.9504 1.60822
162.82 8.1571 12.4067 1.52651
162.876 8.23993 12.8678 1.44121
162.933 8.31823 13.3334 1.36047
162.989 8.3919 13.8032 1.27954
163.045 8.46138 14.277 1.20686
163.101 8.52701 14.7546 1.14316
163.157 8.5894 15.2357 1.08875
163.213 8.64932 15.7203 1.04836
163.27 8.70701 16.2082 1.01276
163.326 8.76311 16.6993 0.991646
163.382 8.81834 17.1934 0.978802
163.438 8.87294 17.6907 0.967261
163.494 8.92683 18.191 0.956979
163.551 8.98003 18.6943 0.943313
163.607 9.03276 19.2006 0.935284
163.663 9.08523 19.7098 0.928821
163.719 9.13685 20.2219 0.916187
163.775 9.18718 20.737 0.878722
163.831 9.23554 21.2547 0.84591
163.888 9.28149 21.7751 0.794784
163.944 9.32446 22.298 0.744454
164 9.36361 22.8232 0.66296
164.056 9.39853 23.3505 0.593512
164.112 9.42915 23.8795 0.510754
164.169 9.45511 24.4101 0.427555
164.225 9.47571 24.942 0.324697
164.281 9.49046 25.4749 0.218099
164.337 9.49843 26.0084 0.0939467
164.393 9.49954 26.5421 -0.0306766
164.449 9.49348 27.0756 -0.16254
164.506 9.4796 27.6085 -0.306609
164.562 9.4571 28.1403 -0.463452
164.618 9.42573 28.6706 -0.623076
164.674 9.38494 29.1988 -0.796291
164.73 9.33416 29.7244 -0.977178
164.787 9.27299 30.2468 -1.16706
164.843 9.20111 30.7654 -1.34938
164.899 9.11905 31.2796 -1.5365
164.955 9.0265 31.7888 -1.72269
165.011 8.92372 32.2925 -1.89794
165.067 8.81144 32.7901 -2.06494
165.124 8.69028 33.281 -2.21713
165.18 8.56052 33.7649 -2.36506
165.236 8.42312 34.2413 -2.50109
165.292 8.27807 34.7096 -2.6451
165.348 8.12614 35.1696 -2.73892
165.404 7.96893 35.6208 -2.83639
165.461 7.80651 36.0631 -2.92975
165.517 7.63946 36.496 -3.0024
165.573 7.46917 36.9195 -3.05126
165.629 7.2962 37.3333 -3.0967
165.685 7.1208 37.7373 -3.1402
165.742 6.94314 38.1313 -3.17684
165.798 6.76375 38.5154 -3.20297
165.854 6.58329 38.8893 -3.21834
165.91 6.40201 39.253 -3.23219
165.966 6.22077 39.6066 -3.22198
166.022 6.0402 39.9499 -3.21086
166.079 5.8602 40.2832 -3.19782
166.135 5.68171 40.6064 -3.16149
166.191 5.50555 40.9197 -3.11868
166.247 5.33215 41.2231 -3.06208
166.303 5.16228 41.5169 -2.99453
166.36 4.99643 41.8013 -2.91916
166.416 4.83519 42.0766 -2.83512
166.472 4.67932 42.3429 -2.73363
166.528 4.52941 42.6007 -2.62549
166.584 4.38548 42.8503 -2.52038
166.64 4.24841 43.092 -2.39023
166.697 4.11835 43.3263 -2.26476
166.753 3.99544 43.5535 -2.13435
166.809 3.88002 43.774 -2.00192
166.865 3.77184 43.9883 -1.8742
166.921 3.67092 44.1968 -1.74183
166.978 3.57756 44.3998 -1.60923
167.034 3.49169 44.5979 -1.47673
167.09 3.41291 44.7914 -1.35316
167.146 3.34109 44.9807 -1.23112
167.202 3.27599 45.1661 -1.1184
167.258 3.21796 45.3482 -0.987701
167.315 3.16616 45.5272 -0.878659
167.371 3.12035 45.7035 -0.772843
167.427 3.08043 45.8774 -0.670358
167.483 3.04616 46.0493 -0.569062
167.539 3.01764 46.2195 -0.468447
167.596 2.9946 46.3882 -0.369886
167.652 2.97703 46.5558 -0.273985
167.708 2.96462 46.7226 -0.186668
167.764 2.95708 46.8889 -0.0985617
167.82 2.95424 47.0549 -0.0203777
167.876 2.95563 47.2209 0.0557289
167.933 2.96123 47.3871 0.128924
167.989 2.97067 47.5538 0.196754
168.045 2.98455 47.7211 0.281067
168.101 3.00312 47.8894 0.36049
168.157 3.02576 48.0589 0.431992
168.213 3.05277 48.2297 0.514081
168.27 3.08421 48.4023 0.588622
168.326 3.11958 48.5767 0.656604
168.382 3.15908 48.7533 0.73324
168.438 3.2027 48.9322 0.804202
168.494 3.25007 49.1137 0.869637
168.551 3.30119 49.298 0.937512
168.607 3.35591 49.4853 0.999293
168.663 3.41393 49.6758 1.05329
168.719 3.4747 49.8696 1.0995
168.775 3.53809 50.0669 1.14709
168.831 3.60439 50.2679 1.20058
168.888 3.6734 50.4727 1.24665
168.944 3.74471 50.6815 1.28286
169 3.81776 50.8943 1.31296
169.056 3.89259 51.1113 1.34218
169.112 3.96858 51.3326 1.3601
169.169 4.04544 51.5581 1.37139
169.225 4.12275 51.788 1.37874
169.281 4.20032 52.0222 1.38256
169.337 4.27768 52.2608 1.37379
169.393 4.35487 52.5037 1.37219
169.449 4.43162 52.751 1.35988
169.506 4.5075 53.0025 1.34574
169.562 4.58276 53.2583 1.33407
169.618 4.65707 53.5182 1.31569
169.674 4.73001 53.7823 1.28101
169.73 4.80147 54.0505 1.25816
169.787 4.871 54.3226 1.22471
169.843 4.93812 54.5985 1.17532
169.899 5.00257 54.8781 1.1261
169.955 5.06419 55.1613 1.07717
170.011 5.12255 55.4477 1.01266
170.067 5.17725 55.7374 0.946888
170.124 5.22811 56.03 0.876525
170.18 5.27463 56.3253 0.797036
170.236 5.31646 56.623 0.709252
170.292 5.35334 56.923 0.622867
170.348 5.38564 57.2248 0.542202
170.404 5.41335 57.5284 0.46139
170.461 5.43649 57.8333 0.377472
170.517 5.45509 58.1394 0.298855
